time,step,_step,loss_interior,loss_boundary,loss,l2_error,_runtime,_timestamp
182.42961597442627,21,21,1.5100858922599953e-05,7.7619694479756e-06,2.2862828370575553e-05,0.003141427039358762,186.33297777175903,1715690798.7486918
188.85404467582703,22,22,1.42297411066387e-05,7.804053181246223e-06,2.2033794287884922e-05,0.0030002059544682017,192.7576687335968,1715690805.1733828
195.24690985679626,23,23,1.3355285153543107e-05,7.748338329053844e-06,2.110362348259695e-05,0.0029295370462378077,199.15032529830933,1715690811.5660393
201.77380442619324,24,24,1.3162911714277843e-05,7.013141289318337e-06,2.017605300359618e-05,0.0028772821855619266,205.6771628856659,1715690818.092877
210.29462552070618,25,25,1.1907280011687971e-05,6.4785586242497705e-06,1.838583863593774e-05,0.0029505124956185416,214.19799089431763,1715690826.613705
217.96008729934692,26,26,1.0528599184753661e-05,6.664007246442352e-06,1.719260643119601e-05,0.002978193149307686,221.86345505714417,1715690834.279169
232.9763798713684,27,27,9.820769446150459e-06,6.9430194689067074e-06,1.6763788915057165e-05,0.0030795835089146013,236.87979245185852,1715690849.2955065
241.10969877243042,28,28,9.347286009384269e-06,8.135204034262112e-06,1.748249004364638e-05,0.002193312150253379,245.01328992843628,1715690857.429004
250.97593545913696,29,29,9.167728880853613e-06,3.912812386457302e-06,1.3080541267310915e-05,0.0026638852169719083,254.87927722930908,1715690867.2949913
276.42014050483704,30,30,5.422215992750538e-06,4.0186767625977685e-06,9.440892755348306e-06,0.0032368200413719866,280.3235433101654,1715690892.7392573
285.58174538612366,31,31,3.5752024435499634e-06,7.44653410291625e-06,1.1021736546466213e-05,0.0036486760011635996,289.48513197898865,1715690901.900846
311.0764727592468,32,32,3.0555326894480204e-06,7.42577889159037e-06,1.048131158103839e-05,0.0028344532100095087,314.9800901412964,1715690927.3958042
319.31458139419556,33,33,1.3496128259019677e-06,6.40018596669826e-06,7.749798792600228e-06,0.0027456576995930036,323.2179880142212,1715690935.633702
328.2689321041107,34,34,9.446772280465269e-07,3.8068369170596664e-06,4.7515141451061935e-06,0.002755179088807399,332.17232275009155,1715690944.5880368
353.72913551330566,35,35,8.079993572137677e-07,3.526692517982491e-06,4.334691875196259e-06,0.002074666649010629,357.6328024864197,1715690970.0485165
362.45043182373047,36,36,6.327068690412282e-07,2.3420576890687466e-06,2.974764558109975e-06,0.0016499696842921653,366.35380125045776,1715690978.7695153
388.0668475627899,37,37,4.3047623706375255e-07,1.4109536720998696e-06,1.8414299091636222e-06,0.0013413973737755461,391.9702117443085,1715691004.3859258
413.6405119895935,38,38,3.3557282076843236e-07,1.3203614129182929e-06,1.6559342336867253e-06,0.0011764512069909402,417.5441732406616,1715691029.9598873
419.9238257408142,39,39,3.520072775586227e-07,9.613966538358905e-07,1.3134039313945132e-06,0.0012706730411711613,423.8272113800049,1715691036.2429254
442.25182914733887,40,40,2.1202604862467868e-07,1.300788327901542e-06,1.5128143765262207e-06,0.0008958609195633246,446.1551744937897,1715691058.5708885
493.0543520450592,42,41,1.8241061702816238e-07,3.5463643018539727e-07,5.370470472135597e-07,0.0008530261439300522,496.9579589366913,1715691109.373673
576.4195990562439,46,42,7.041115785460682e-08,1.4430826370280423e-07,2.1471942155741105e-07,0.0006335895081239019,580.3232276439667,1715691192.7389417
661.3455610275269,50,43,6.178338694384252e-08,1.2449663548803077e-07,1.8628002243187327e-07,0.0002949472544707462,665.2491617202759,1715691277.6648757
772.2594521045685,55,44,4.359632430249808e-08,5.878197999523983e-08,1.0237830429773791e-07,0.00022493689552676943,776.1631264686584,1715691388.5788405
925.0116937160492,61,45,1.8009613848496196e-08,4.867881870959172e-08,6.668843255808791e-08,0.00028409975732796825,928.9159226417542,1715691541.3316367
1077.5257103443146,67,46,5.05636959163728e-09,3.434808173159518e-08,3.940445132323246e-08,0.00019289022877992665,1081.4294056892395,1715691693.8451197
1229.9391667842865,73,47,5.10878903696955e-09,1.652030304737028e-08,2.162909208433983e-08,0.0001372309392034846,1233.8429043293,1715691846.2586184
1433.691311597824,81,48,1.8337839480921082e-09,8.585778634924559e-09,1.0419562583016666e-08,0.00011625006950842989,1437.5949928760529,1715692050.010707
1637.3531122207642,89,49,1.6605325954579172e-09,6.257539803738079e-09,7.918072399195995e-09,9.027807535125096e-05,1641.256749868393,1715692253.672464
1866.2264358997345,98,50,9.493879205222738e-10,2.7435141127106317e-09,3.6929020332329056e-09,5.1484665865230084e-05,1870.1300992965698,1715692482.5458133
2095.3674023151398,107,51,6.55038237185307e-10,2.1580073616347772e-09,2.813045598820084e-09,5.031401293430234e-05,2099.271047115326,1715692711.6867611
2375.1559545993805,118,52,5.018297347535505e-10,1.6167483696383227e-09,2.1185781043918734e-09,4.1259165876711766e-05,2379.059679746628,1715692991.4753938
2680.1587574481964,130,53,4.4175876243829476e-10,9.472956864188384e-10,1.3890544488571332e-09,3.4309147578939906e-05,2684.0624589920044,1715693296.478173
3010.727244615555,143,54,3.1954756517771335e-10,9.536984068770367e-10,1.27324597205475e-09,3.073976630234356e-05,3014.630888223648,1715693627.0466022
