l2_error,_timestamp,loss_interior,loss,step,_step,loss_boundary,time,_runtime
0.007744091143431624,1715688831.119268,3.416806952728063e-05,7.703209245646947e-05,40,40,4.2864022929188836e-05,61.76734447479248,65.87209296226501
0.007454607053838342,1715688834.1597238,3.4550662158304695e-05,7.609061805740351e-05,42,41,4.153995589909882e-05,64.80767631530762,68.91254878044128
0.007794013582870153,1715688840.1506076,2.8374986594582702e-05,7.306050869960701e-05,46,42,4.4685522105024304e-05,70.79826974868774,74.90343260765076
0.007405369918278824,1715688846.1620064,2.6511869795451976e-05,6.648844143397942e-05,50,43,3.9976571638527446e-05,76.80996513366699,80.9148313999176
0.18292119286603767,1715688853.6560538,0.06237347934811826,0.2364346644126175,55,44,0.17406118506449925,84.3036732673645,88.40887880325317
0.019997085137068712,1715688862.6539965,0.0003106115618448492,0.0007562815553537936,61,45,0.0004456699935089444,93.30156898498535,97.4068214893341
0.012091498088990332,1715688871.648525,7.876572997503274e-05,0.0001975956389975758,67,46,0.00011882990902254307,102.29648089408875,106.4013500213623
0.009912777040848583,1715688880.633475,5.391649843671405e-05,0.0001422738677424849,73,47,8.835736930577085e-05,111.28139066696167,115.3863000869751
0.00895061841205418,1715688892.6479228,4.464431184757289e-05,0.00011445641637096982,81,48,6.981210452339692e-05,123.29557013511658,127.4007477760315
0.0082134471760805,1715688904.60806,3.778004535678495e-05,9.425055307568512e-05,89,49,5.647050771890016e-05,135.25602078437805,139.36088490486145
0.007708782455592866,1715688918.0674314,2.5593416021941045e-05,7.5085266128876e-05,98,50,4.9491850106934965e-05,148.7154107093811,152.8202564716339
0.006921551049164035,1715688931.4753737,1.791996968485441e-05,5.940735301389436e-05,107,51,4.148738332903994e-05,162.12318682670593,166.22819876670837
0.006523097486004182,1715688947.946203,1.38801336871668e-05,4.4789860415993656e-05,118,52,3.0909726728826854e-05,178.5938892364502,182.69902801513672
0.0059400732441787715,1715688965.7848504,1.2874415964793892e-05,3.700514075281373e-05,130,53,2.413072478801984e-05,196.4327368736267,200.5376753807068
0.0057364454361082335,1715688985.2313983,1.076547424130593e-05,3.5363790574025034e-05,143,54,2.4598316332719104e-05,215.8792576789856,219.9842233657837
0.005107759656379837,1715689006.1547706,1.1313624797283724e-05,3.1505101263579794e-05,157,55,2.0191476466296068e-05,236.80243349075317,240.90759563446045
0.004183040740407421,1715689028.5888329,8.192563263027005e-06,2.20792545381632e-05,172,56,1.3886691275136197e-05,259.2368071079254,263.3416578769684
0.003806783743702456,1715689055.45165,6.114293582020384e-06,1.767440274858489e-05,190,57,1.1560109166564505e-05,286.09924960136414,290.2044749259949
0.0030830752761024835,1715689082.436155,5.382259333231341e-06,1.2749689022522529e-05,208,58,7.367429689291189e-06,313.08407044410706,317.18898010253906
0.00259197986710472,1715689113.7990053,4.472765939860402e-06,1.0138942481541805e-05,229,59,5.6661765416814045e-06,344.44656229019165,348.55183029174805
0.0022412999108287215,1715689148.0951636,4.093542761632308e-06,8.424973070321954e-06,252,60,4.331430308689646e-06,378.7428410053253,382.84798860549927
0.0021054799017436255,1715689185.485155,2.8458948584913027e-06,6.159655684688051e-06,277,61,3.3137608261967487e-06,416.13309049606323,420.2379801273346
0.001721557026452463,1715689227.3897653,2.4267682769788807e-06,4.993110146626625e-06,305,62,2.566341869647744e-06,458.0373623371124,462.14259028434753
0.0015806490039706569,1715689272.3625877,2.1824580494289566e-06,4.066381702609888e-06,335,63,1.8839236531809318e-06,503.01025104522705,507.11541271209717
0.001431836838186905,1715689321.3446798,1.6744980698466925e-06,3.154914629215595e-06,369,64,1.4804165593689022e-06,551.992267370224,556.0975048542023
0.0013006689654410433,1715689375.2223134,1.6728618584278154e-06,3.0661363611040803e-06,406,65,1.3932745026762649e-06,605.870019197464,609.975138425827
0.0012418120725906788,1715689433.6569154,1.1814695860683058e-06,2.672551858437843e-06,446,66,1.491082272369537e-06,664.3045308589935,668.409740447998
0.001120550748926046,1715689494.612438,1.0553024268462585e-06,2.187163949749306e-06,491,67,1.1318615229030475e-06,725.2601640224457,729.3652629852295
0.000991196829682936,1715689558.8516169,9.176700297255678e-07,1.8803361938294476e-06,540,68,9.626661641038797e-07,789.4992070198059,793.6044418811798
0.0009961434256917985,1715689632.354888,8.772378214429429e-07,1.5163766206201885e-06,594,69,6.391387991772456e-07,863.0024592876434,867.1077129840851
0.0008751014686068917,1715689706.8121903,7.854316305354123e-07,1.4387783544758425e-06,653,70,6.533467239404302e-07,937.4598948955536,941.5650153160095
0.0008236953156941019,1715689780.2988758,6.838108227299663e-07,1.2589355512609268e-06,718,71,5.751247285309605e-07,1010.946417093277,1015.0517008304596
0.0007808820626388777,1715689852.745441,6.626421926221705e-07,1.2268814281548237e-06,790,72,5.642392355326531e-07,1083.3930773735046,1087.4982659816742
0.000753265154050615,1715689934.3946168,5.825706690101852e-07,1.0987987945824199e-06,869,73,5.162281255722346e-07,1165.042349100113,1169.1474418640137
0.0007128053409781824,1715690019.15399,5.402223566478015e-07,9.417509285919366e-07,956,74,4.0152857194413503e-07,1249.8017332553864,1253.9068150520325
0.0007065949668958266,1715690105.2568958,5.387316586471847e-07,9.016599515840494e-07,1052,75,3.629282929368647e-07,1335.9046437740326,1340.0097208023071
0.0006980065518877921,1715690184.390666,4.889899977016118e-07,8.919229316112975e-07,1157,76,4.029329339096856e-07,1415.038232088089,1419.1434910297394
0.0006762374362189066,1715690271.8734763,4.720360975536823e-07,7.677907886972798e-07,1272,77,2.957546911435974e-07,1502.5211911201477,1506.6263012886047
0.0006710568519578063,1715690286.865584,4.2679857616763275e-07,7.907058853087316e-07,1400,78,3.639073091410989e-07,1517.5135915279388,1521.6184089183807
0.0006710568519578063,1715690297.7991064,4.923250828682722e-07,8.706063367511053e-07,1539,79,3.7828125388283313e-07,1528.4471039772034,1532.5519313812256
0.0006710568519578063,1715690309.9273264,4.5671750225410286e-07,8.653291172417666e-07,1693,80,4.086116149876637e-07,1540.5751461982727,1544.680151462555
0.0006710568519578063,1715690323.3238673,4.6044901373569506e-07,8.78700186827677e-07,1863,81,4.182511730919819e-07,1553.971551656723,1558.0766923427582
0.0006710568519578063,1715690337.9770062,4.5616927247893746e-07,8.299164074268671e-07,2049,82,3.7374713494792966e-07,1568.6248772144318,1572.7298312187195
