l2_error,loss_boundary,loss_interior,_step,step,_timestamp,loss,_runtime,time
0.6306463831485795,0.33039750631830955,0.0263624741587813,30,30,1715686810.0110831,0.35675998047709084,5.75157904624939,1.934103012084961
0.6686760919859188,0.30407529385182686,0.02817359402923566,31,31,1715686810.0307057,0.3322488878810625,5.7712016105651855,1.9536538124084473
0.7121283050384635,0.2794503589238138,0.029839205451084382,32,32,1715686810.0499706,0.3092895643748982,5.790466547012329,1.972959280014038
0.7522373617612407,0.32045317318741834,0.03143524702112966,33,33,1715686810.0690005,0.351888420208548,5.8094964027404785,1.9920132160186768
0.7852393206133049,0.30506485076424195,0.03291126745251562,34,34,1715686810.088536,0.33797611821675755,5.829031944274902,2.0116255283355713
0.8094503257894364,0.2940837366359348,0.034093738964328955,35,35,1715686810.107382,0.3281774756002637,5.8478779792785645,2.0303821563720703
0.8228845857124382,0.3006248078449258,0.034510735007605695,36,36,1715686810.1264055,0.3351355428525315,5.866901397705078,2.0493218898773193
0.8230801446164242,0.30528781263328925,0.03490179974174552,37,37,1715686810.1461968,0.34018961237503476,5.886692762374878,2.070286989212036
0.8107490181700562,0.31679710187186233,0.03492822905899368,38,38,1715686810.1693447,0.351725330930856,5.9098405838012695,2.092315435409546
0.787238360654151,0.2940002738451565,0.03419924451581944,39,39,1715686810.188625,0.32819951836097594,5.929121017456055,2.1127612590789795
0.75608830200168,0.2764894339515973,0.03375463956803966,40,40,1715686810.2111945,0.31024407351963695,5.951690435409546,2.1364290714263916
0.6922511670415702,0.29961400009156935,0.03192549629492247,41,42,1715686810.247709,0.3315394963864918,5.9882049560546875,2.1717042922973633
0.6120990593108726,0.2617258142038739,0.02714788977331751,42,46,1715686810.3144526,0.2888737039771914,6.054948568344116,2.237360715866089
0.6076431055204669,0.2932460883010805,0.024541442041121284,43,50,1715686810.3823333,0.3177875303422018,6.12282919883728,2.3072776794433594
0.6652410891778741,0.26466818547613163,0.022222359811354352,44,55,1715686810.4681845,0.286890545287486,6.2086803913116455,2.3920998573303223
0.687658670750716,0.24562266303434394,0.020194230403805594,45,61,1715686810.5678027,0.2658168934381495,6.308298587799072,2.4915218353271484
0.6270303280922569,0.2279705927382202,0.018955485425220762,46,67,1715686810.665699,0.24692607816344098,6.4061949253082275,2.5886402130126953
0.6054274080840515,0.22809169030428586,0.019013159775427998,47,73,1715686810.7648408,0.24710485007971386,6.505336761474609,2.6855719089508057
