time,_timestamp,step,l2_error,loss_boundary,loss,_step,loss_interior,_runtime
11.503719091415405,1715513110.5532722,46,0.13860196746894993,0.029905262893889506,0.032114015734218654,42,0.0022087528403291457,15.290115356445312
12.307617425918579,1715513111.3568158,50,0.11807408887695091,0.0202184824366128,0.023151265088875425,43,0.0029327826522626225,16.093658924102783
13.322445392608643,1715513112.3715994,55,0.11549512825385842,0.018864220732734024,0.02157321616369404,44,0.002708995430960015,17.108442544937134
14.475276947021484,1715513113.5244532,61,0.11987539866121598,0.014513879069884808,0.01669492927252489,45,0.0021810502026400795,18.261296272277832
15.720017194747925,1715513114.7694266,67,0.09908572891481568,0.010998150756410065,0.012531897212189183,46,0.0015337464557791192,19.506269693374634
17.098017930984497,1715513116.1471364,73,0.09190905022429509,0.009672938421490421,0.011239680589873048,47,0.0015667421683826259,20.883979558944702
19.052335500717163,1715513118.1017704,81,0.09187480647147489,0.009580347366723729,0.011128747567414434,48,0.0015484002006907055,22.838613510131836
21.198724508285522,1715513120.2478473,89,0.08147518173062496,0.008006106583643667,0.009821159286340295,49,0.0018150527026966283,24.98469042778015
23.26174306869507,1715513122.311727,98,0.06918722352733529,0.006624364378628613,0.007937923415936762,50,0.0013135590373081498,27.048570156097412
25.167197942733765,1715513124.216668,107,0.06906464469226366,0.006308419728724778,0.007504527062862868,51,0.0011961073341380903,28.953510999679565
27.286171197891235,1715513126.3352625,118,0.056161291423601316,0.004707379938395259,0.006078095462843364,52,0.0013707155244481045,31.072105646133423
29.806792497634888,1715513128.8559473,130,0.05565249241413083,0.004551002903107985,0.005851308653424994,53,0.0013003057503170093,33.592790365219116
32.980796337127686,1715513132.030439,143,0.055222921454218074,0.004484451588350393,0.005768454743893072,54,0.0012840031555426791,36.767282009124756
36.524353981018066,1715513135.5744822,157,0.05151707503720842,0.004009870233345477,0.0049318675125210945,55,0.0009219972791756174,40.31132531166077
40.077144622802734,1715513139.1277936,172,0.04938808943514379,0.0034651845126388377,0.004258640083582167,56,0.0007934555709433294,43.86463665962219
44.275495290756226,1715513143.3246148,190,0.04317124013437804,0.0027657639255719456,0.0032769995694187882,57,0.0005112356438468428,48.06145787239075
48.5765540599823,1715513147.6260533,208,0.035642985986474,0.002503203675666111,0.002960935892002907,58,0.0004577322163367961,52.36289644241333
53.69321656227112,1715513152.742737,229,0.03568209077687435,0.002232211948145908,0.0026243779549663597,59,0.0003921660068204514,57.47958016395569
59.10498857498169,1715513158.1543925,252,0.033567448312316235,0.0019804152348890545,0.0022999323226462766,60,0.0003195170877572221,62.89123558998108
64.31203198432922,1715513163.3633032,277,0.026989254080930225,0.0013417583109474084,0.001651706487156667,61,0.0003099481762092586,68.10014629364014
69.48147583007812,1715513168.5309963,305,0.027274478510614635,0.0011553563045784735,0.0014141422063893504,62,0.00025878590181087693,73.2678394317627
75.13034749031067,1715513174.1796193,335,0.023775214669784623,0.0009984206460591707,0.0012504698845890502,63,0.0002520492385298796,78.91646242141724
81.47906565666199,1715513180.528155,369,0.022237583497913497,0.0007550403905534598,0.0008729637088411488,64,0.00011792331828768904,85.26499819755554
88.33473587036133,1715513187.3840728,406,0.016088790041403084,0.0003486986005520467,0.00045455345699298134,65,0.00010585485644093463,92.12091588973999
95.7752845287323,1715513194.824406,446,0.010519594990605797,0.00014898366492041394,0.0001759560533582042,66,2.697238843779025e-05,99.56124901771545
104.50013256072998,1715513203.5499294,491,0.008983753121684184,7.844255676144979e-05,9.284012183392862e-05,67,1.4397565072478829e-05,108.28677248954773
115.65821170806885,1715513214.7077677,540,0.0029754971834664184,7.49158104202897e-06,8.76161024809154e-06,68,1.2700292060625703e-06,119.4446108341217
128.32308673858643,1715513227.372909,594,0.00015650667672474048,7.579292033428957e-08,9.127437704116705e-08,69,1.5481456706877484e-08,132.10975217819214
141.8710162639618,1715513240.9217124,653,1.0163413470385702e-05,1.9817535387729717e-10,5.037530529143465e-10,70,3.055776990370493e-10,145.6585555076599
158.113383769989,1715513257.1634734,718,2.2304066271161704e-06,4.979099064489659e-12,2.3515632418780233e-11,71,1.8536533354290575e-11,161.9003164768219
176.0642433166504,1715513275.1151228,790,1.0019216294320343e-06,9.090235481333997e-13,5.373073486758207e-12,72,4.464049938624807e-12,179.85196590423584
195.3314163684845,1715513294.3808706,869,3.585354480102153e-07,1.0410402501918437e-13,1.5654177641636772e-12,73,1.461313739144493e-12,199.11771368980408
216.05515027046204,1715513315.105143,956,1.7227489286593116e-07,2.6740397581353085e-14,6.273145554517316e-13,74,6.005741578703786e-13,219.8419861793518
238.3880603313446,1715513337.4378147,1052,1.355533531284014e-07,1.209668683175622e-14,3.0812195709057446e-13,75,2.9602527025881823e-13,242.17465782165527
263.36566400527954,1715513362.4153123,1157,9.00068663659227e-08,5.151161702143e-15,2.0427753359069306e-13,76,1.9912637188855006e-13,267.1521553993225
289.4538354873657,1715513388.5060484,1272,7.901548523804303e-08,3.715321626150073e-15,1.4908180486947826e-13,77,1.453664832433282e-13,293.2428915500641
320.3719799518585,1715513419.421457,1400,6.488183167380238e-08,2.6711145182912106e-15,1.1122542241787564e-13,78,1.0855430789958443e-13,324.1583001613617
353.54611468315125,1715513452.5958457,1539,5.410643629407655e-08,2.0399056623463524e-15,8.57787200341749e-14,79,8.373881437182854e-14,357.33268880844116
388.97019028663635,1715513488.0202572,1693,4.7406115131572865e-08,1.7200572830659853e-15,7.040757553501165e-14,80,6.868751825194566e-14,392.7571003437042
429.70208191871643,1715513528.7525249,1863,4.2624897006225715e-08,1.5552316074119534e-15,6.083362968614318e-14,81,5.927839807873122e-14,433.48936796188354
472.4441592693329,1715513571.493966,2049,4.0716693808965875e-08,1.4219708795602222e-15,5.3830776257618276e-14,82,5.2408805378058056e-14,476.23080921173096
520.9116129875183,1715513619.9611216,2254,3.820906573463457e-08,1.272703679910654e-15,4.738954051635731e-14,83,4.611683683644666e-14,524.6979646682739
573.2609467506409,1715513672.310364,2479,3.697103489277899e-08,1.1389052631619123e-15,4.232704201033608e-14,84,4.118813674717417e-14,577.0472071170807
630.7533984184265,1715513729.8028271,2727,3.658692273762702e-08,1.0214722441706459e-15,3.8258098031991296e-14,85,3.723662578782065e-14,634.5396702289581
694.4687550067902,1715513793.5181332,3000,3.657519406075168e-08,9.292169142300569e-16,3.4983409433365577e-14,86,3.405419251913552e-14,698.254976272583
762.797070980072,1715513861.8479187,3299,3.680960673261233e-08,8.701217399011528e-16,3.212523875225366e-14,87,3.125511701235251e-14,766.5847618579865
837.2508540153503,1715513936.30126,3629,3.632556029741202e-08,8.00571671765287e-16,2.946557448230871e-14,88,2.8665002810543425e-14,841.0381031036377
921.6927356719971,1715514020.742617,3992,3.592083709164146e-08,7.584261847120582e-16,2.693944455663918e-14,89,2.618101837192712e-14,925.4794600009918
1000.0802924633026,1715514099.1311686,4332,3.601418709829005e-08,7.429129932093319e-16,2.4797781874063513e-14,90,2.405486888085418e-14,1003.868011713028
