time,loss,_runtime,loss_boundary,loss_interior,step,l2_error,_timestamp,_step
16.1601722240448,5.594325485076795e-06,21.035679578781128,1.5323411185418173e-06,4.061984366534978e-06,39,0.000914781274340844,1715511929.2441695,39
16.456636428833008,4.130909413268703e-06,21.33213758468628,5.970885860496673e-07,3.5338208272190357e-06,40,0.0010425259445215938,1715511929.5406275,40
17.528226613998413,3.390595907355493e-06,22.40371584892273,8.785238563938275e-07,2.5120720509616654e-06,42,0.0009518377385584133,1715511930.6122057,41
19.042887687683105,2.0757422136122244e-06,23.918411254882812,3.780295030831873e-07,1.6977127105290373e-06,46,0.0007380731163061215,1715511932.1269011,42
20.043490886688232,1.5861320167177796e-06,24.918970108032227,2.2723968273953433e-07,1.3588923339782452e-06,50,0.0005224101757128488,1715511933.12746,43
22.067038536071777,9.992722340747174e-07,26.94254469871521,1.5309310080075697e-07,8.461791332739604e-07,55,0.00036585643785360506,1715511935.1510346,44
24.47509479522705,5.521588528751334e-07,29.35072946548462,1.0900400320934656e-07,4.431548496657868e-07,61,0.00043521521713211445,1715511937.5592194,45
28.230281829833984,2.470506204831453e-07,33.105865716934204,9.257691469908757e-08,1.5447370578405774e-07,67,0.00029084641810599995,1715511941.3143556,46
30.731328010559082,1.0938730802461417e-07,35.60700702667236,1.9577288532329654e-08,8.981001949228452e-08,73,0.00014615221395550143,1715511943.815497,47
35.521257400512695,3.987315323730221e-08,40.39685535430908,8.924567903616057e-09,3.094858533368615e-08,81,0.00013558051845773903,1715511948.6053452,48
38.19337797164917,3.740833736115563e-08,43.06890797615051,1.203901955803923e-08,2.5369317803116402e-08,89,0.0001640235553762447,1715511951.2773979,49
43.20711636543274,2.3927906733539477e-08,48.082599401474,8.350449237512673e-09,1.5577457496026803e-08,98,8.816686447211972e-05,1715511956.2910893,50
45.84751057624817,1.9485285005913217e-08,50.72311449050903,5.754178385163107e-09,1.3731106620750112e-08,107,8.119303065279068e-05,1715511958.9316044,51
52.96504783630371,1.3968924032925166e-08,57.84093117713928,6.095817528418555e-09,7.873106504506612e-09,118,8.252952289202401e-05,1715511966.049421,52
56.435192823410034,1.1654559167543202e-08,61.31079316139221,4.153994865496687e-09,7.500564302046515e-09,130,6.460290471011504e-05,1715511969.519283,53
60.765018701553345,8.501214150537478e-09,65.64055109024048,1.6142061382950676e-09,6.88700801224241e-09,143,3.753355858185131e-05,1715511973.849041,54
68.83084082603455,8.227603787682121e-09,73.70645427703857,3.484852356996993e-09,4.742751430685129e-09,157,5.6575067951188655e-05,1715511981.9149442,55
76.52339458465576,5.9982135963768145e-09,81.39912915229797,1.8098769968011658e-09,4.188336599575649e-09,172,4.894195385904936e-05,1715511989.607619,56
83.96464109420776,4.0001856059565655e-09,88.84018635749817,8.655794102231557e-10,3.13460619573341e-09,190,3.674030427023779e-05,1715511997.0486763,57
94.04236555099487,2.226376671802217e-09,98.91792964935303,2.7267918737381896e-10,1.953697484428398e-09,208,1.4570857170146329e-05,1715512007.1264195,58
100.69414687156677,2.2167214163588666e-09,105.56992650032043,3.9150162771252333e-10,1.8252197886463435e-09,229,1.8579032602642753e-05,1715512013.7784164,59
116.02141213417053,1.6816309007613774e-09,120.89706254005432,3.046401422449879e-10,1.3769907585163894e-09,252,1.6279031567166403e-05,1715512029.1055524,60
128.93561363220215,1.2045111459875664e-09,133.8114137649536,1.9758295539074822e-10,1.0069281905968182e-09,277,1.4025246317005343e-05,1715512042.0199037,61
145.7349922657013,9.507016843802802e-10,150.61062860488892,2.1852389189833507e-10,7.321777924819452e-10,305,1.3185793094269308e-05,1715512058.8191185,62
166.44821667671204,7.039246604622333e-10,171.32430815696716,1.7412643531286692e-10,5.297982251493664e-10,335,1.1818593119207485e-05,1715512079.532798,63
199.91626715660095,4.182065435525482e-10,204.7921438217163,6.552577475337008e-11,3.526807687991781e-10,369,8.643007276324637e-06,1715512113.0006337,64
238.5737488269806,3.1948906207762846e-10,243.44963669776917,3.7998001910203827e-11,2.814910601674246e-10,406,6.0617939079361435e-06,1715512151.6581266,65
280.2965757846832,2.7689319935428984e-10,285.1722240447998,4.0501124782990225e-11,2.363920745712996e-10,446,5.899447997837136e-06,1715512193.380714,66
325.79404377937317,2.2930955984676579e-10,330.66980147361755,3.336866195376762e-11,1.9594089789299815e-10,491,5.590691194435984e-06,1715512238.8782914,67
377.6382761001587,1.8726084868882318e-10,382.51409912109375,2.7987010876192283e-11,1.5927383781263091e-10,540,4.932012183242913e-06,1715512290.722589,68
436.1049726009369,1.4906297007446238e-10,440.9808306694031,2.3577614229759267e-11,1.2548535584470313e-10,594,4.6733169353279e-06,1715512349.1893206,69
509.8393967151642,1.172091394506812e-10,514.715220451355,1.766963335249545e-11,9.953950609818573e-11,653,4.007987763030441e-06,1715512422.9237103,70
583.8247549533844,8.916084680416137e-11,588.7006621360779,1.582041376205471e-11,7.334043304210666e-11,718,3.854505482717644e-06,1715512496.909152,71
675.9003677368164,7.34036710834005e-11,680.7765417098999,2.210435266063319e-11,5.1299318422767313e-11,790,4.82106391061602e-06,1715512588.9850316,72
769.8531250953674,5.5496713677194115e-11,774.7289662361145,1.6781642369272238e-11,3.8715071307921874e-11,869,3.921325370586921e-06,1715512682.9374561,73
879.2171790599823,4.426597152429628e-11,884.0930023193359,1.3093347399366002e-11,3.117262412493028e-11,956,3.3026777316730477e-06,1715512792.3014922,74
1000.9343347549438,3.7257244195280664e-11,1005.8101840019226,1.0388927439049213e-11,2.6868316756231448e-11,1051,2.9516372622301313e-06,1715512914.018674,75
