loss_interior,time,l2_error,_step,loss_boundary,loss,step,_timestamp,_runtime
1.9166563699221166,67.47036385536194,1.222435203029612,44,1.0766976349576527,2.9933540048797695,55,1716414625.698357,71.19991207122803
1.6149227723505322,74.46272039413452,1.0256212056334486,45,0.7521855079153514,2.3671082802658834,61,1716414632.6906226,78.1921775341034
1.2273264099010357,81.45854926109314,0.7300065526406593,46,0.380111488249742,1.6074378981507778,67,1716414639.6867704,85.18832540512085
0.8200997671132181,88.45577502250671,0.4964722965878384,47,0.18238411597651805,1.0024838830897362,73,1716414646.683905,92.18545985221863
0.5591936265003701,97.77523112297058,0.22045169629753794,48,0.039719212942909386,0.5989128394432794,81,1716414656.0031867,101.50474166870117
0.32821201476520484,107.09687519073486,0.16991835980770129,49,0.02656159589314046,0.3547736106583453,89,1716414665.3250628,110.82661771774292
0.16107312606622934,117.58634877204895,0.16890541839028175,50,0.02553269374504019,0.18660581981126953,98,1716414675.8147569,121.31631183624268
0.10209423415322705,128.07146573066711,0.17027579714075278,51,0.024262128974776597,0.12635636312800363,107,1716414686.2994697,131.80102467536926
0.05313098656835889,140.88678169250488,0.1434121497136882,52,0.01851887792009573,0.07164986448845462,118,1716414699.1148686,144.61642360687256
0.026734238405300266,154.86395025253296,0.1068272174008237,53,0.012227289708573837,0.0389615281138741,130,1716414713.092171,158.5937259197235
0.012973616859011395,170.0115339756012,0.08312633227952944,54,0.006831466170255545,0.01980508302926694,143,1716414728.239512,173.74106693267822
0.006874685755619637,186.293794631958,0.07015156716505527,55,0.005095728017276579,0.011970413772896217,157,1716414744.5221786,190.02373361587524
0.0036366986207521435,203.7017319202423,0.05897770641797543,56,0.00363806444703596,0.007274763067788103,172,1716414761.9297667,207.43132162094116
0.0017982339075674862,224.58853936195374,0.04516540209226569,57,0.0021641562029015423,0.0039623901104690286,190,1716414782.8166156,228.31817054748535
0.001176119377685439,245.4829604625702,0.03800471492944119,58,0.0015055937250464764,0.0026817131027319155,208,1716414803.7112174,249.21277236938477
0.0007582281216733759,269.8939952850342,0.029381309623787405,59,0.0009726600088265217,0.0017308881304998977,229,1716414828.1222684,273.62382340431213
0.000469679229000824,296.6077585220337,0.0217913464793799,60,0.0005509943142262428,0.0010206735432270668,252,1716414854.8359878,300.3375427722931
0.0002755898537029889,325.63279581069946,0.014346710468422078,61,0.00024370086571617617,0.000519290719419165,277,1716414883.8610861,329.3626410961151
0.0001546443813091677,358.1401889324188,0.010739409286162729,62,0.00012397849091048046,0.00027862287221964814,305,1716414916.3685408,361.8700957298279
8.847097963293198e-05,392.9609453678131,0.009667624730802835,63,9.532238624288175e-05,0.00018379336587581372,335,1716414951.1891782,396.6907331943512
4.079723397216044e-05,432.430034160614,0.008440780978159597,64,7.187140436867993e-05,0.00011266863834084038,369,1716414990.6583607,436.1599156856537
2.1548007794144495e-05,475.38390278816223,0.007342121575177411,65,5.460927686933398e-05,7.615728466347848e-05,406,1716415033.6122396,479.1137945652008
1.2615672360323417e-05,521.8101325035095,0.0063580009307738035,66,3.9496234446160486e-05,5.21119068064839e-05,446,1716415080.0384734,525.5400283336639
8.556692181892437e-06,574.0406336784363,0.0055623760066102835,67,2.96834998542639e-05,3.824019203615634e-05,491,1716415132.2691712,577.7707262039185
5.7065163211757845e-06,630.8966052532196,0.004741458259952493,68,2.093220291365375e-05,2.6638719234829535e-05,540,1716415189.1249657,634.6265206336975
3.874299023398093e-06,693.5541152954102,0.003995267359811556,69,1.4294545425660627e-05,1.816884444905872e-05,594,1716415251.7824414,697.2839963436127
2.682192562593856e-06,761.999894618988,0.003255383370337241,70,9.405708264871667e-06,1.2087900827465524e-05,653,1716415320.228217,765.7297718524933
1.8458196593260615e-06,837.4705946445465,0.002608329732751751,71,5.9644329259893505e-06,7.810252585315412e-06,718,1716415395.6991224,841.200677394867
1.2814793821879294e-06,921.1014502048492,0.002066455346330505,72,3.5796219919402454e-06,4.861101374128175e-06,790,1716415479.329951,924.8315060138702
8.954529840228415e-07,1012.8622477054596,0.0015950366796248171,73,2.0629907214879555e-06,2.958443705510797e-06,869,1716415571.09069,1016.5922448635101
