l2_error,_step,loss_interior,loss,step,_runtime,time,_timestamp,loss_boundary
1.5027223104870011,17,121.7443354262947,123.13389497545492,17,5.881983757019043,2.0474376678466797,1715937845.6727898,1.3895595491602206
1.4982706343041576,18,121.679178609608,123.06015638046803,18,5.91843056678772,2.08447265625,1715937845.7092366,1.3809777708600335
1.4936717738217282,19,121.6108857749799,122.98303658712628,19,5.95462703704834,2.1218245029449463,1715937845.745433,1.3721508121463746
1.488915545388489,20,121.53919665425634,122.90225868409354,20,5.9911510944366455,2.156548023223877,1715937845.7819571,1.3630620298371885
1.4839914563409617,21,121.46383487244228,122.81752944453942,21,6.027662992477417,2.194923162460327,1715937845.818469,1.353694572097143
1.4788886879331364,22,121.38450643812742,122.72853780718377,22,6.0621092319488525,2.2245354652404785,1715937845.8529153,1.3440313690563477
1.4735960828862107,23,121.30089811671682,122.63495324884127,23,6.096494913101196,2.2592382431030273,1715937845.887301,1.3340551321244494
1.4681021359406627,24,121.21267564133255,122.53642400892318,24,6.130767345428467,2.2933499813079834,1715937845.9215734,1.3237483675906248
1.4623949848634015,25,121.11948172554264,122.4325751272944,25,6.164944887161255,2.327514171600342,1715937845.955751,1.3130934017517568
1.4564624011427658,26,121.0209338682431,122.32300628039134,26,6.20281720161438,2.368386745452881,1715937845.9936233,1.302072412148235
1.4502917809545413,27,120.91662195497125,122.20728941754744,27,6.239373207092285,2.406026840209961,1715937846.0301793,1.2906674625761951
1.4438701366901656,28,120.80610565422255,122.08496619686878,28,6.275256872177124,2.441070079803467,1715937846.066063,1.278860542646226
1.4371840900021327,29,120.6889115921478,121.9555452049548,29,6.311707019805908,2.4774301052093506,1715937846.102513,1.2666336128069924
1.430219868579457,30,120.56453028367196,121.81849894066373,30,6.348113536834717,2.5139198303222656,1715937846.1389196,1.25396865699178
1.4229633070712084,31,120.43241280697883,121.67326055443732,31,6.384225130081177,2.5495662689208984,1715937846.1750312,1.2408477474584823
1.4153998504599787,32,120.29196721335592,121.51922033669467,32,6.420900106430054,2.5875935554504395,1715937846.2117062,1.2272531233387585
1.4075145594955678,33,120.14255465493471,121.35572193545049,33,6.4571754932403564,2.6235785484313965,1715937846.2479815,1.2131672805157732
1.3992921184209197,34,119.98348521009781,121.1820582825679,34,6.491784334182739,2.655988931655884,1715937846.2825904,1.1985730724700814
1.390716845130198,35,119.81401340086128,120.99746722312014,35,6.526972055435181,2.6922767162323,1715937846.317778,1.1834538222588535
1.3817727063027143,36,119.63333340616248,120.8011268514191,36,6.561373233795166,2.7251944541931152,1715937846.3521793,1.1677934452566174
1.3724433397011582,37,119.44057397015801,120.59215055707547,37,6.596632480621338,2.76137113571167,1715937846.3874385,1.1515765869174548
1.3627120816325962,38,119.23479300080248,120.36958177976615,38,6.631218194961548,2.7937564849853516,1715937846.4220243,1.134788778963661
1.3525619952563708,39,119.01497185848656,120.1323884677315,39,6.66737961769104,2.832862138748169,1715937846.4581857,1.1174166092449425
1.3419758992392037,40,118.780009327467,119.87945722461876,40,6.704053640365601,2.8704729080200195,1715937846.4948597,1.0994478971517656
1.3194259582022074,41,118.25980377983205,119.32148315911175,42,6.755239486694336,2.9196372032165527,1715937846.5460455,1.0616793792796997
1.2683224941933888,42,116.9785166276619,117.95714792474641,46,6.838056325912476,3.0013530254364014,1715937846.6288624,0.9786312970845007
1.2082993392336914,43,115.2826585131917,116.16824079068847,50,6.9201500415802,3.084353446960449,1715937846.710956,0.8855822774967718
1.1193043210214604,44,112.35677287782326,113.1133230429538,55,7.017125606536865,3.1809380054473877,1715937846.8079317,0.7565501651305324
0.9911005583482138,45,107.16045825389072,107.74993199066503,61,7.127123832702637,3.2923662662506104,1715937846.91793,0.5894737367743135
0.8433854949074613,46,99.3679312854722,99.79262109028764,67,7.237861156463623,3.4029786586761475,1715937847.0286672,0.4246898048154367
0.6943156546026331,47,88.24715935408268,88.53638279991354,73,7.348635673522949,3.5137901306152344,1715937847.1394417,0.28922344583086185
0.5844305808344301,48,68.46115566763946,68.67747382174377,81,7.489832401275635,3.655297040939331,1715937847.2806385,0.21631815410431282
0.695176933639517,49,48.40729729164166,48.73083145309316,89,7.627406597137451,3.7891037464141846,1715937847.4182127,0.323534161451501
