l2_error,_timestamp,loss_boundary,time,_runtime,loss,step,loss_interior,_step
1.3531430939498823,1715889049.4059339,1.125551096319529,2.82196307182312,7.116947889328003,121.84197586422079,32,120.71642476790126,32
1.327993953576574,1715889049.4415858,1.0856055984568165,2.857351064682007,7.152599811553955,121.25391535027784,33,120.16830975182101,33
1.298468994014694,1715889049.4773335,1.0403912271552989,2.893226385116577,7.188347578048706,120.53628643871629,34,119.49589521156099,34
1.2632388401032235,1715889049.5133307,0.9887993781949141,2.929088592529297,7.224344730377197,119.64671960109533,35,118.65792022290042,35
1.2204410802109473,1715889049.549573,0.9294219976033512,2.965224266052246,7.260586977005005,118.52447623080576,36,117.5950542332024,36
1.167479291107123,1715889049.5858371,0.8605120075972559,3.0020172595977783,7.29685115814209,117.08097453760804,37,116.22046253001079,37
1.1008050521407169,1715889049.622021,0.7800212276849139,3.037555694580078,7.333034992218018,115.18510532848812,38,114.40508410080321,38
1.0157944120227167,1715889049.658003,0.6858483422200866,3.073667287826538,7.369017124176025,112.64068606539655,39,111.95483772317647,39
0.9070748735614094,1715889049.6942954,0.5765701734157866,3.1098201274871826,7.405309438705444,109.15256713938525,40,108.57599696596947,40
0.6109448332174324,1715889049.74703,0.32251146459731234,3.162508249282837,7.458044052124023,97.35949082659805,42,97.03697936200074,41
1.4659521440120609,1715889049.8327043,0.6091133715409518,3.2479171752929688,7.543718338012695,39.22929262139904,46,38.62017924985809,42
1.7954929754088331,1715889049.918412,3.032494067345105,3.3334333896636963,7.629426002502441,48.596934803021334,50,45.56444073567623,43
1.9119909536175308,1715889050.0208,1.8911857675866621,3.4364829063415527,7.73181414604187,57.755761455772486,55,55.86457568818582,44
2.983603921516131,1715889050.1405084,4.9805630120392985,3.555431842803955,7.851522445678711,51.03174244235921,61,46.05117943031991,45
2.3656953602546174,1715889050.2602572,4.186832122099692,3.6744918823242188,7.971271276473999,23.989437210254696,67,19.802605088155005,46
2.274997217595326,1715889050.378491,3.534549866072995,3.7920315265655518,8.089504957199097,32.823596650717434,73,29.28904678464444,47
2.511674597899335,1715889050.529476,4.103761233488334,3.942822217941284,8.240489959716797,17.989219828236127,81,13.885458594747794,48
2.4961814480481235,1715889050.6806946,3.7052702925776226,4.094188213348389,8.391708612442017,16.612609650568494,89,12.907339357990873,49
2.30335815654766,1715889050.8488514,3.0435945551990846,4.26207709312439,8.559865474700928,13.582985150131229,98,10.539390594932145,50
1.6021201510118863,1715889051.0165396,2.2895857704624833,4.429792165756226,8.727553606033325,11.651946224376767,107,9.362360453914283,51
1.4071405817423346,1715889051.217125,1.2374508853497037,4.630489826202393,8.928138971328735,7.185816098628977,118,5.948365213279273,52
1.2211549435782911,1715889051.4335577,0.9085211031033759,4.846902370452881,9.144571781158447,8.639505590034918,130,7.7309844869315425,53
1.0450306414911652,1715889051.6667476,0.7474438859903562,5.0801355838775635,9.377761602401733,6.5333740301188685,143,5.785930144128512,54
0.7621897599247186,1715889051.9194338,0.47942351591813653,5.332831382751465,9.63044786453247,3.4156670590900515,157,2.936243543171915,55
0.7033161878197236,1715889052.1883962,0.41668364718369577,5.601970911026001,9.899410247802734,3.488252253526553,172,3.0715686063428573,56
0.4637961951324869,1715889052.5040293,0.16385901790881033,5.917417049407959,10.215043306350708,2.2921968191426214,190,2.128337801233811,57
0.39434316174351874,1715889052.820256,0.1369392250803687,6.2335405349731445,10.531270027160645,1.4864782337964548,208,1.3495390087160861,58
0.36991601986782513,1715889053.1877818,0.12720419724999305,6.6011011600494385,10.89879584312439,1.4097972360409743,229,1.2825930387909812,59
0.34975169599328765,1715889053.588174,0.10363126830795319,7.001688480377197,11.299188137054443,0.7804731331378149,252,0.6768418648298616,60
0.3493989631953411,1715889054.0180216,0.1037415903250984,7.431273460388184,11.72903561592102,0.5989086925699549,277,0.4951671022448565,61
0.36004600834291123,1715889054.4964929,0.10674538871469891,7.909783840179443,12.207506895065308,0.4631776443686997,305,0.3564322556540008,62
0.37793283489367235,1715889055.0098593,0.11295609574314162,8.423095226287842,12.720873355865479,0.35946259385699225,335,0.24650649811385061,63
0.2968448445913852,1715889055.5872638,0.07936266905253693,9.000530004501343,13.298277854919434,0.260838978832404,369,0.18147630977986703,64
0.2558155458197599,1715889056.2131922,0.06403030889468947,9.626298666000366,13.924206256866455,0.19065374608694155,406,0.12662343719225208,65
0.2333352281126024,1715889056.888536,0.0542261358388028,10.301915407180786,14.599550008773804,0.1459364736705281,446,0.0917103378317253,66
0.2221868063078083,1715889057.6448846,0.04639489221398156,11.057814598083496,15.35589861869812,0.12459926694112927,491,0.07820437472714771,67
0.20627557558502616,1715889058.466868,0.04199744188735893,11.880133628845215,16.177881956100464,0.0917506407171133,540,0.04975319882975436,68
0.19542298540635925,1715889059.3713996,0.038027172155664375,12.784667253494263,17.08241367340088,0.0776961482808769,594,0.03966897612521253,69
0.1857381399129814,1715889060.3578575,0.03508077790691926,13.771277666091919,18.06887149810791,0.06476923150015972,653,0.029688453593240457,70
0.1777810521949344,1715889061.4417586,0.03182357608953954,14.855339765548706,19.152772665023804,0.05642481766541402,718,0.02460124157587448,71
0.1706814375743876,1715889062.6408346,0.029232163558865647,16.05403232574463,20.351848602294922,0.04982805454855917,790,0.02059589098969352,72
0.16198491570738183,1715889063.9523776,0.02648048834439104,17.366007328033447,21.663391590118408,0.044214864249939714,869,0.017734375905548678,73
0.1539922853410289,1715889065.3975115,0.02401578530980628,18.810917377471924,23.10852551460266,0.03928763929524371,956,0.01527185398543743,74
0.14627198638939654,1715889066.986245,0.021715468415528218,20.3995041847229,24.697258949279785,0.03492575518910875,1052,0.013210286773580533,75
0.13869561640597444,1715889068.7216742,0.019583079392722042,22.135050535202026,26.432688236236572,0.031060180040738475,1157,0.011477100648016431,76
0.1314284539987555,1715889070.6226811,0.017613002080675774,24.03597116470337,28.33369517326355,0.027655013277822434,1272,0.01004201119714666,77
0.12442968952743645,1715889072.7457423,0.015817543905000384,26.159658432006836,30.456756353378296,0.024629038863893782,1400,0.008811494958893397,78
0.1179269395836713,1715889075.0414555,0.014232434675640445,28.454408645629883,32.752469539642334,0.022005373307412847,1539,0.007772938631772402,79
0.11199200877994119,1715889077.6185946,0.012042604657179759,31.03188133239746,35.32960867881775,0.03241350977249951,1693,0.02037090511531975,80
0.10660791964871846,1715889080.418134,0.010788880143236432,33.8311562538147,38.12914800643921,0.020969704288250048,1863,0.010180824145013615,81
0.0998554412242066,1715889083.4774795,0.009539332895025175,36.89084577560425,41.188493490219116,0.01666845465689566,2049,0.007129121761870483,82
0.09376412916383968,1715889086.8481944,0.008453982971939411,40.26152801513672,44.559208393096924,0.014037754152356873,2254,0.005583771180417463,83
0.08810358425771456,1715889090.5457025,0.007513820984381368,43.958834409713745,48.25671648979187,0.012116573359873373,2479,0.004602752375492005,84
0.08292368467490911,1715889094.623763,0.0066983462701079586,48.03675293922424,52.33477711677551,0.010591985320168078,2727,0.0038936390500601196,85
0.07820596265824324,1715889099.0975757,0.005994041430595725,52.51099681854248,56.808589696884155,0.009337673939411841,3000,0.0033436325088161164,86
0.07499745553519922,1715889104.0525491,0.00589885808984589,57.4658317565918,61.76356315612793,0.014539657354823366,3299,0.008640799264977475,87
