_timestamp,_step,l2_error,loss_interior,loss,step,_runtime,loss_boundary,time
1716251357.0901523,39,0.0006541793595275918,1.9233223110121636e-07,6.437289785837709e-07,39,265.18691635131836,4.513967474825546e-07,261.30597591400146
1716251360.2714646,40,0.0006642970255682142,1.9075040260902928e-07,4.369235112449352e-07,40,268.36822867393494,2.461731086359059e-07,264.48734617233276
1716251367.5452428,41,0.0006669723648302744,1.3003884391577873e-07,3.577463332841821e-07,42,275.6420068740845,2.277074893684034e-07,271.7609853744507
1716251417.7440112,42,0.0005910957548266684,4.3788541434163094e-08,2.3593307509594737e-07,46,325.84077525138855,1.9214453366178428e-07,321.95951104164124
1716251462.518043,43,0.0005081330625943105,2.853052272904028e-08,1.6529308022402226e-07,50,370.61480712890625,1.36762557494982e-07,366.7338378429413
1716251543.6418333,44,0.0002836854524334664,2.7303773842430757e-08,6.667937034811629e-08,55,451.7385973930359,3.937559650568553e-08,447.8574182987213
1716251628.9093525,45,0.0001771507365480186,2.5281960980709445e-08,3.879699102148162e-08,61,537.0061166286469,1.3515030040772181e-08,533.1249167919159
1716251721.7049108,46,0.00013405634379036742,7.631189194985235e-09,1.9108436804886303e-08,67,629.8016748428345,1.1477247609901066e-08,625.9205138683319
1716251847.7852354,47,0.00011369996212094567,4.5739033364250016e-09,8.908776997634621e-09,73,755.8819994926453,4.33487366120962e-09,752.0008819103241
1716251988.1430147,48,8.289195962708808e-05,3.2865916685032106e-09,5.237439179708692e-09,81,896.2397787570953,1.9508475112054813e-09,892.3586299419403
1716252123.9826286,49,8.042337858295018e-05,1.7567244928797539e-09,3.475009121513989e-09,89,1032.079392671585,1.718284628634235e-09,1028.1982345581055
1716252317.7775083,50,6.118873801762084e-05,9.003512530937188e-10,1.9456097560853157e-09,98,1225.8742723464966,1.045258502991597e-09,1221.993099451065
1716252611.2444022,51,5.010603034967936e-05,4.527186057992681e-10,9.598643536105894e-10,107,1519.3411662578583,5.071457478113213e-10,1515.4600002765656
1716252922.3112464,52,4.285118693503257e-05,3.0317645501557794e-10,6.212829160736306e-10,118,1830.408010482788,3.1810646105805267e-10,1826.5268421173096
1716253356.1553342,53,3.688112410311461e-05,1.676715688479173e-10,3.722040840431155e-10,130,2264.2520983219147,2.0453251519519824e-10,2260.370109796524
1716253736.094111,54,3.4315429159085614e-05,1.1614197175812763e-10,2.731495820259499e-10,143,2644.1908750534058,1.5700761026782225e-10,2640.3096916675568
1716254242.3445544,55,3.154441139181622e-05,7.903891216836372e-11,1.9756919861308066e-10,157,3150.441318511963,1.1853028644471693e-10,3146.5601692199707
1716254751.971961,56,2.9737255408974305e-05,5.726416871091617e-11,1.5180133365918746e-10,172,3660.0687251091003,9.453716494827128e-11,3656.1875743865967
1716255312.958044,57,2.801654672399708e-05,4.2883008249957485e-11,1.1890548377539315e-10,190,4221.054808139801,7.602247552543567e-11,4217.172692775726
1716255902.6003873,58,2.6652693723026992e-05,3.386869561727219e-11,9.751055235970274e-11,208,4810.697151422501,6.364185674243055e-11,4806.814966201782
1716256661.9966173,59,2.5361261543906517e-05,2.697826369168478e-11,8.034951605375154e-11,229,5570.093381404877,5.337125236206676e-11,5566.2113881111145
1716257131.0410337,60,2.468906935190774e-05,2.3847975807665817e-11,7.2241031226449e-11,242,6039.137797832489,4.839305541878318e-11,6035.256674289703
