loss_interior,loss,_runtime,_timestamp,l2_error,loss_boundary,step,time,_step
1.2333425123866583e-05,1.725807088623066e-05,66.39719843864441,1723045718.0376325,0.0036965210679268065,4.924645762364074e-06,38,65.1607403755188,38
8.761378640882774e-06,1.5021510786606744e-05,68.06197690963745,1723045719.702411,0.003147516742620189,6.26013214572397e-06,39,66.82525420188904,39
8.357336441664037e-06,1.3663644127316929e-05,73.07659220695496,1723045724.7170262,0.003105569786428755,5.306307685652892e-06,40,71.83980631828308,40
5.243576938227793e-06,1.074088732994186e-05,75.19729828834534,1723045726.8377323,0.0036516545018380688,5.497310391714066e-06,42,73.96053004264832,41
2.6856425682507133e-06,9.31162600936292e-06,79.58127808570862,1723045731.221712,0.00380003934595503,6.625983441112207e-06,46,78.34450626373291,42
7.356176202313309e-07,7.182627050243022e-06,87.74419927597046,1723045739.3846333,0.0033073652471899686,6.4470094300116916e-06,50,86.50745224952698,43
8.658032439253796e-07,5.352796875174307e-06,96.09062457084656,1723045747.7310586,0.0022921043058704823,4.486993631248928e-06,55,94.85399603843689,44
8.842403882996762e-07,3.2704207595250326e-06,108.16802477836609,1723045759.8084588,0.0015571875657078853,2.3861803712253563e-06,61,106.9313588142395,45
2.006503132640001e-07,8.030848260710873e-07,127.68983507156372,1723045779.330269,0.0008051282327751719,6.024345128070873e-07,67,126.45306849479675,46
1.8590469649948522e-07,5.499893757135211e-07,153.45539951324463,1723045805.0958335,0.000587829051611769,3.6408467921403585e-07,73,152.21885752677917,47
7.023197891297924e-08,1.3185288482669263e-07,183.6097867488861,1723045835.2502208,0.0002993973830433046,6.162090591371339e-08,81,182.37312054634094,48
4.748969545201255e-08,1.165304075735917e-07,220.28818035125732,1723045871.9286144,0.0002957206146996548,6.904071212157916e-08,89,219.0514419078827,49
1.942290461667457e-08,3.713210999327083e-08,262.7121334075928,1723045914.3525674,0.00015995122681115008,1.7709205376596267e-08,98,261.4754755496979,50
1.3395476120066543e-08,2.5709023243895004e-08,304.3186638355255,1723045955.9590979,0.00010076855377356102,1.231354712382846e-08,107,303.08201336860657,51
8.156748890150574e-09,1.6829411151753093e-08,358.98354387283325,1723046010.623978,8.10816910589219e-05,8.67266226160252e-09,118,357.74679732322693,52
5.870003137662751e-09,9.53706661644563e-09,418.993040561676,1723046070.6334746,7.757489131518789e-05,3.667063478782879e-09,130,417.7562825679779,53
3.93448380026633e-09,6.865698689168705e-09,483.77032923698425,1723046135.4107633,6.765142256480663e-05,2.931214888902375e-09,143,482.53360199928284,54
3.611493844764884e-09,5.849136634667583e-09,554.0542099475861,1723046205.694644,4.634177134754299e-05,2.2376427899026995e-09,157,552.8174469470978,55
2.8866841579766444e-09,4.2581914670355736e-09,628.6266701221466,1723046280.2671041,4.5552395056640796e-05,1.3715073090589294e-09,172,627.3898634910583,56
2.4056543615558914e-09,3.651780999220036e-09,718.0550413131714,1723046369.6954753,3.7620642388131786e-05,1.2461266376641446e-09,190,716.818243265152,57
2.071389616784304e-09,3.04968038388274e-09,807.3879497051239,1723046459.0283837,3.4074145620939893e-05,9.78290767098436e-10,208,806.1512966156006,58
1.8136561452664514e-09,2.809438678607807e-09,911.6691071987152,1723046563.3095412,3.201965458571255e-05,9.95782533341356e-10,229,910.43248295784,59
1.675558286269502e-09,2.481122363302867e-09,1026.010205745697,1723046677.6506398,3.072919055652868e-05,8.055640770333648e-10,252,1024.773555278778,60
1.4429147231705513e-09,2.106897115970474e-09,1150.343565940857,1723046801.984,2.6409393432959606e-05,6.639823927999226e-10,277,1149.1068546772003,61
1.4062156222283223e-09,2.1641632971744196e-09,1289.3685081005096,1723046941.0089421,2.8949936662483303e-05,7.579476749460972e-10,305,1288.1318213939667,62
1.3953491108114296e-09,2.0532232146083027e-09,1438.3429985046387,1723047089.9834325,2.6751388040742342e-05,6.578741037968732e-10,335,1437.1063470840454,63
1.2047338060656555e-09,1.9017545605708436e-09,1607.1316385269165,1723047258.7720726,2.506310387409181e-05,6.970207545051879e-10,369,1605.89497756958,64
1.043024580895048e-09,1.5878574431958986e-09,1790.8382995128632,1723047442.4787335,2.3329492835789854e-05,5.448328623008506e-10,406,1789.6016449928284,65
1.0833894510540925e-09,1.6118907648580942e-09,1989.3711788654327,1723047641.011613,2.3077898790337504e-05,5.285013138040017e-10,446,1988.1344327926636,66
8.221663423399979e-10,1.3647820094238108e-09,2212.5443263053894,1723047864.1847603,2.1648178234751113e-05,5.426156670838128e-10,491,2211.307698726654,67
7.89713554742504e-10,1.1739208896999057e-09,2455.5156013965607,1723048107.1560354,1.9807192130180328e-05,3.842073349574018e-10,540,2454.2788207530975,68
8.091845263713943e-10,1.1788515298050731e-09,2723.6034095287323,1723048375.2438436,1.9982525707639468e-05,3.6966700343367873e-10,594,2722.3666756153107,69
6.5452332556364e-10,9.889359513119993e-10,3001.4914581775665,1723048653.1318922,1.809902707785329e-05,3.3441262574835924e-10,650,3000.2536809444427,70
