loss_boundary,_runtime,loss_interior,loss,time,_step,l2_error,_timestamp,step
1.007127019484107e-07,133.90149402618408,1.8053856803247423e-07,2.812512699808849e-07,132.553071975708,45,0.0005365405037909679,1723045785.416262,61
3.885847827448317e-08,157.942125082016,7.848618586659453e-08,1.173446641410777e-07,156.59388971328735,46,0.00023058389194222735,1723045809.456893,67
3.817398025395059e-08,185.4265570640564,6.567513009360886e-08,1.0384911034755945e-07,184.07821464538574,47,0.00020410632366293935,1723045836.941325,73
2.8427420509701826e-08,220.34581112861633,5.053281444274178e-08,7.89602349524436e-08,218.99722361564636,48,0.00018356272785937028,1723045871.860579,81
2.207284130142339e-08,246.99010133743286,4.7671256431827e-08,6.974409773325039e-08,245.6416153907776,49,0.00015023980533099792,1723045898.5048692,89
1.5276336317134977e-08,289.76396203041077,3.40777641794692e-08,4.935410049660418e-08,288.415643453598,50,9.1391476436444e-05,1723045941.27873,98
1.0190589217038359e-08,331.4920427799225,2.5654681608156823e-08,3.584527082519518e-08,330.1436505317688,51,0.0001067251165849891,1723045983.0068107,107
2.8921144229570806e-09,386.3292531967163,1.135016608500373e-08,1.424228050796081e-08,384.98078298568726,52,7.416685341960317e-05,1723046037.844021,118
2.3237173581178044e-09,445.83744072914124,6.949330940112693e-09,9.273048298230497e-09,444.4889073371887,53,4.8464014482776126e-05,1723046097.3522086,130
1.5207147057489738e-09,510.22267723083496,5.4219450699188396e-09,6.9426597756678135e-09,508.87418127059937,54,4.024098027802475e-05,1723046161.737445,143
1.098137012708437e-09,579.5949013233185,4.199293187308452e-09,5.297430200016889e-09,578.2463800907135,55,3.6793881881215065e-05,1723046231.1096692,157
8.336947568538184e-10,654.0275256633759,3.5080239188274737e-09,4.341718675681292e-09,652.6790707111359,56,3.341618505525861e-05,1723046305.5422935,172
8.079999268005722e-10,743.1295845508575,3.0717590305119576e-09,3.87975895731253e-09,741.7811744213104,57,3.093736782441161e-05,1723046394.6443524,190
6.770674569288659e-10,832.2718832492828,2.548253700187381e-09,3.225321157116247e-09,830.9235327243805,58,2.8222895350364835e-05,1723046483.7866511,208
6.362097946186184e-10,936.1209089756012,2.218394406594477e-09,2.8546042012130953e-09,934.7725129127502,59,2.6775574901472697e-05,1723046587.6356769,229
6.636279309612293e-10,1049.9472243785858,1.9500569899296903e-09,2.6136849208909194e-09,1048.5988183021545,60,2.9462117867644234e-05,1723046701.4619923,252
5.252301653419903e-10,1173.5651433467865,1.6872079726190286e-09,2.212438137961019e-09,1172.2168040275574,61,2.376353761875366e-05,1723046825.0799112,277
4.466784623320483e-10,1312.2427265644073,1.5040534869538994e-09,1.9507319492859477e-09,1310.8943417072296,62,2.229770662252475e-05,1723046963.7574944,305
4.437455437176788e-10,1460.6752977371216,1.3717257731526851e-09,1.815471316870364e-09,1459.3268325328827,63,2.4873719572668056e-05,1723047112.1900656,335
3.9076784631048457e-10,1629.2063620090485,1.2173710181214837e-09,1.6081388644319683e-09,1627.858022928238,64,2.116588611801578e-05,1723047280.72113,369
3.003484013807491e-10,1812.951708316803,1.1176648689175575e-09,1.4180132702983066e-09,1811.6032671928406,65,2.1585504366487354e-05,1723047464.4664762,406
3.164981377826848e-10,2010.5400652885437,1.0846736564484855e-09,1.4011717942311702e-09,2009.1916844844818,66,1.978747925555327e-05,1723047662.0548332,446
2.9858483859894926e-10,2232.8302521705627,9.48911093569666e-10,1.2474959321686152e-09,2231.480655193329,67,1.8022906163765136e-05,1723047884.34502,491
3.106166848101996e-10,2474.870939731598,8.125950807176413e-10,1.123211765527841e-09,2473.5225687026978,68,1.87021539676784e-05,1723048126.3857076,540
2.6215544829061477e-10,2741.3188354969025,7.65274377649342e-10,1.0274298259399567e-09,2739.970452308655,69,1.706655193281654e-05,1723048392.8336034,594
2.2404661266445483e-10,3002.8000633716583,6.754942395231962e-10,8.99540852187651e-10,3001.4507689476013,70,1.6485503742565438e-05,1723048654.3148313,647
