l2_error,loss_boundary,loss_interior,_runtime,loss,step,time,_step,_timestamp
4.7785484892804874e+41,6.565866063183463e+83,0.0,465.9114513397217,6.565866063183463e+83,653,465.4065592288971,70,1723046118.6260364
1.0588542524354478e+30,6.782391694059675e+59,0.0,512.2039370536804,6.782391694059675e+59,718,511.6991515159607,71,1723046164.9185221
7.922161339875463e+20,3.605552159443463e+41,0.0,563.500476360321,3.605552159443463e+41,790,562.9956405162811,72,1723046216.2150614
55.090219481901414,1690.707296704636,0.0,619.639413356781,1690.707296704636,869,619.1344933509827,73,1723046272.3539984
0.7857222514732926,0.35233781544692205,0.0,681.453332901001,0.35233781544692205,956,680.9485199451447,74,1723046334.167918
0.7965030660184634,0.36378871608049906,0.0,749.7766513824463,0.36378871608049906,1052,749.2718417644501,75,1723046402.4912364
0.7875404575344558,0.3557332559733302,0.0,825.4941029548645,0.3557332559733302,1157,824.9892766475677,76,1723046478.208688
0.7723564731486838,0.33594350566799325,0.0,909.1508708000183,0.33594350566799325,1272,908.6459226608276,77,1723046561.8654559
0.7907910485162356,0.3647769404208865,0.0,1000.065810918808,0.3647769404208865,1400,999.5609724521637,78,1723046652.780396
0.7814499032378942,0.3400190759026245,0.0,1098.8384156227112,0.3400190759026245,1539,1098.3336281776428,79,1723046751.5530007
0.7614002205450847,0.36536360127441236,0.0,1208.105800628662,0.36536360127441236,1693,1207.600917816162,80,1723046860.8203857
0.769567634095754,0.35991189902587567,0.0,1328.917447090149,0.35991189902587567,1863,1328.4107887744904,81,1723046981.6320322
0.7634333958426469,0.3535683279028487,0.0,1460.968326330185,0.3535683279028487,2049,1460.4634561538696,82,1723047113.6829114
0.7743241681314683,0.3894401367835849,0.0,1606.0256931781769,0.3894401367835849,2254,1605.5208551883698,83,1723047258.7402782
0.7603151578884444,0.369769893978078,0.0,1765.0876615047455,0.369769893978078,2479,1764.5828578472137,84,1723047417.8022466
0.7786957127933098,0.32963828835894526,0.0,1940.6223182678223,0.32963828835894526,2727,1940.1174881458282,85,1723047593.3369033
0.8022999739634074,0.33529265713026757,0.0,2134.2329688072205,0.33529265713026757,3000,2133.7281267642975,86,1723047786.9475539
0.7993785995361898,0.3393499555139608,0.0,2346.2412629127502,0.3393499555139608,3299,2345.736392736435,87,1723047998.955848
0.7935714324810561,0.3238118763804721,0.0,2580.4597058296204,0.3238118763804721,3629,2579.9547441005707,88,1723048233.174291
0.7652523206603249,0.32210231202531037,0.0,2839.0081939697266,0.32210231202531037,3992,2838.5033509731293,89,1723048491.722779
0.812495654725124,0.32876648458279967,0.0,3000.547429084778,0.32876648458279967,4220,3000.041632413864,90,1723048653.2620142
