loss_interior,time,l2_error,_timestamp,loss,step,_runtime,_step,loss_boundary
9.558031497221368e-05,30.506347179412842,0.014688763206134253,1723045683.7363584,0.0002373795185651712,40,31.20885443687439,40,0.00014179920359295753
7.557741411957382e-05,32.01352071762085,0.012258739729292825,1723045685.2435296,0.000207907565477749,42,32.716025590896606,41,0.00013233015135817518
7.109760356448817e-05,35.043349742889404,0.012278305379349274,1723045688.2733338,0.00018464831046412114,46,35.745829820632935,42,0.00011355070689963295
6.0512550956480857e-05,38.071651220321655,0.011413142453709339,1723045691.3016841,0.00015453226196458685,50,38.7741801738739,43,9.4019711008106e-05
4.305513386205458e-05,41.867154121398926,0.010045260624443265,1723045695.0982647,0.00012920478520202732,55,42.57076072692871,44,8.614965133997275e-05
3.6352906233589805e-05,46.45923638343811,0.009093799985125984,1723045699.689548,9.474033312155251e-05,61,47.162044048309326,45,5.83874268879627e-05
3.14141296500123e-05,51.02476263046265,0.008815900712191444,1723045704.254818,8.358088757058488e-05,67,51.72731399536133,46,5.216675792057258e-05
2.7623269388527506e-05,55.63184595108032,0.00835969693097739,1723045708.861915,7.508170958707326e-05,73,56.33441114425659,47,4.745844019854575e-05
2.5621784615158378e-05,61.76867985725403,0.008051640051956587,1723045714.9987109,6.970779202441682e-05,81,62.47120690345764,48,4.4086007409258446e-05
2.2236623057895128e-05,67.86984372138977,0.007692745327778108,1723045721.099842,6.588612823334465e-05,89,68.57233810424805,49,4.3649505175449515e-05
2.075717072542357e-05,74.72292518615723,0.007748286996127474,1723045727.95294,6.845685104605233e-05,98,75.42543601989746,50,4.7699680320628756e-05
1.807812600968366e-05,81.56036305427551,0.007337316464646984,1723045734.7904718,5.401274579403555e-05,107,82.26296782493591,51,3.593461978435189e-05
1.8246256037409025e-05,89.94981861114502,0.006449140175512877,1723045743.1801553,5.242646341796274e-05,118,90.65265130996704,52,3.418020738055371e-05
1.634868494693537e-05,99.1053581237793,0.006614859650237704,1723045752.3358026,4.475406201798241e-05,130,99.80829858779907,53,2.8405377071047038e-05
1.5957189027289698e-05,108.99003911018372,0.005761937744425763,1723045762.2202847,4.238253800063637e-05,143,109.69278073310852,54,2.6425348973346675e-05
1.5589822382726153e-05,119.65312027931213,0.005765949716239452,1723045772.8834176,4.125762666735333e-05,157,120.3559136390686,55,2.566780428462718e-05
1.5091057398328564e-05,131.05102705955505,0.005246848863728211,1723045784.2810946,3.376948076830763e-05,172,131.75359058380127,56,1.867842336997907e-05
1.411733097735308e-05,144.71791458129883,0.004836317262675347,1723045797.9479218,3.3758000613311815e-05,190,145.42041778564453,57,1.9640669635958735e-05
1.2527838112550886e-05,158.39559483528137,0.00442783526269222,1723045811.6258812,2.5360675987713642e-05,208,159.0983772277832,58,1.2832837875162755e-05
1.1595584139915263e-05,174.42185616493225,0.004089959623145349,1723045827.651957,2.4926068052619815e-05,229,175.12445306777954,59,1.3330483912704552e-05
1.097605306399918e-05,192.05127596855164,0.0037273449278513652,1723045845.2813175,2.192613082872913e-05,252,192.75381350517273,60,1.0950077764729952e-05
8.713886996157722e-06,211.228835105896,0.0035571128507216818,1723045864.45913,1.8306409737220577e-05,277,211.93162608146667,61,9.592522741062856e-06
9.475363091106614e-06,232.57773113250732,0.003168809329170042,1723045885.807809,1.729065629777133e-05,305,233.28030514717102,62,7.815293206664715e-06
7.737082650916819e-06,255.4554877281189,0.0028920867224689964,1723045908.6855426,1.3609018253838468e-05,335,256.1580386161804,63,5.87193560292165e-06
0.0,281.43730092048645,1.2843777358106324e+16,1723045934.6671007,2.2159020645655952e+32,369,282.13959670066833,64,2.2159020645655952e+32
0.0,309.74977231025696,2621307518161588.5,1723045962.9796746,9.943496844764879e+30,406,310.45217061042786,65,9.943496844764879e+30
0.0,340.71932435035706,6.451610759803796e+17,1723045993.9489486,4.643898877682894e+36,446,341.4214446544647,66,4.643898877682894e+36
0.0,375.266233921051,5.10924117443804e+18,1723046028.496072,1.2839032576941727e+37,491,375.96856808662415,67,1.2839032576941727e+37
0.0,412.4846103191376,6.630333669378589e+22,1723046065.7144494,2.2848824520060948e+45,540,413.186945438385,68,2.2848824520060948e+45
0.0,453.5357530117035,1.4795040034351738e+28,1723046106.765418,1.2625578530922877e+56,594,454.2379140853882,69,1.2625578530922877e+56
0.0,498.389860868454,1.8123499120612165e+31,1723046151.6196537,5.821708060023292e+62,653,499.09214973449707,70,5.821708060023292e+62
0.0,547.96120262146,6.273314530769562e+33,1723046201.1917064,2.7480718237282973e+66,718,548.6642024517059,71,2.7480718237282973e+66
0.0,602.7977538108826,3.329877783660897e+22,1723046256.0275974,1.4260609589740545e+46,790,603.500093460083,72,1.4260609589740545e+46
0.0,663.6002657413483,59217790789.4931,1723046316.8301427,2.2333850798965585e+21,869,664.3026387691498,73,2.2333850798965585e+21
0.0,729.7957856655121,6121613.625783338,1723046383.0255883,17970691836.52362,956,730.4980843067169,74,17970691836.52362
0.0,802.345890045166,0.6750475330557003,1723046455.575694,0.2733246303587316,1052,803.0481901168823,75,0.2733246303587316
0.0,881.8045704364777,0.7050199190447135,1723046535.0344262,0.3268511456661069,1157,882.5069222450256,76,0.3268511456661069
0.0,969.465390920639,0.7232836730343822,1723046622.6952796,0.3287731253147734,1272,970.1677756309509,77,0.3287731253147734
0.0,1066.9324293136597,0.7008958395794378,1723046720.1622643,0.3609488569841426,1400,1067.6347603797913,78,0.3609488569841426
0.0,1172.7385923862457,0.7128151332394105,1723046825.9684117,0.3330501678066918,1539,1173.440907716751,79,0.3330501678066918
0.0,1289.5218353271484,0.7101828009024134,1723046942.7516904,0.32079489647495235,1693,1290.2241864204407,80,0.32079489647495235
0.0,1418.6673316955566,0.6796538066882675,1723047071.8970933,0.30590800452347444,1863,1419.3695893287659,81,0.30590800452347444
0.0,1560.0591642856598,0.6905881143639931,1723047213.289009,0.34222240694367123,2049,1560.7615051269531,82,0.34222240694367123
0.0,1715.7915983200073,0.6904086716875212,1723047369.0214674,0.3097554033896639,2254,1716.4939634799957,83,0.3097554033896639
0.0,1886.2752017974854,0.6881633658783316,1723047539.5050776,0.3014244072652323,2479,1886.977573633194,84,0.3014244072652323
0.0,2075.233988761902,0.704396663383038,1723047728.463839,0.3315257606467151,2727,2075.9363350868225,85,0.3315257606467151
0.0,2283.458194732666,0.6998606539608158,1723047936.688006,0.2969863778572876,3000,2284.1605019569397,86,0.2969863778572876
0.0,2510.61846780777,0.6683385169087073,1723048163.8483505,0.312715364337381,3299,2511.320846557617,87,0.312715364337381
0.0,2762.172342300415,0.686781930282878,1723048415.4022267,0.3313576261960352,3629,2762.8747227191925,88,0.3313576261960352
0.0,3000.13108754158,0.6759019199878331,1723048653.3619566,0.31338331652759666,3940,3000.8344526290894,89,0.31338331652759666
