step,_runtime,_timestamp,l2_error,loss_interior,loss,time,loss_boundary,_step
18,5.471536874771118,1723045698.719147,0.4615401200913002,0.01718459578161261,0.16596547549296664,5.032888412475586,0.14878087971135404,18
19,5.65479850769043,1723045698.9024086,0.5061243919752534,0.021051536735454922,0.15417866819519493,5.216156005859375,0.13312713145974,19
20,5.838153123855591,1723045699.0857632,0.5273529243918214,0.012821908949528378,0.14797491049942293,5.399476766586304,0.13515300154989457,20
21,6.026999235153198,1723045699.2746093,0.5590171678763494,0.009750020589556724,0.14687783009554037,5.588336229324341,0.13712780950598363,21
22,6.210474967956543,1723045699.458085,0.46715881587899877,0.005293388012027991,0.1451690293892009,5.771812200546265,0.1398756413771729,22
23,6.395214080810547,1723045699.6428242,0.4563256732000989,0.010887160293471601,0.13813919146926362,5.956474542617798,0.12725203117579204,23
24,6.580429553985596,1723045699.8280396,0.4949409356643822,0.01652247804346966,0.13219445959002596,6.141733169555664,0.11567198154655631,24
25,6.763863563537598,1723045700.0114737,0.5142903020159495,0.011357075997989326,0.12885236145784837,6.325129985809326,0.11749528545985903,25
26,6.948719263076782,1723045700.1963294,0.45760431461888235,0.009104340187437152,0.12829040912825806,6.5099687576293945,0.11918606894082091,26
27,7.132423400878906,1723045700.3800335,0.367185347113544,0.01197875449000495,0.12318602890170513,6.693702220916748,0.11120727441170018,27
28,7.3158628940582275,1723045700.563473,0.42871802721535257,0.021265584192302785,0.11802986334909031,6.8771538734436035,0.09676427915678752,28
29,7.499630928039551,1723045700.747241,0.4383833642519638,0.014615334242417967,0.11179486530123657,7.060898780822754,0.0971795310588186,29
30,7.6833295822143555,1723045700.9309397,0.44841187927632353,0.014040132501660963,0.1115292275895096,7.24461030960083,0.09748909508784864,30
31,7.867159366607666,1723045701.1147695,0.4097206714395214,0.013956857253538785,0.10244635256295674,7.428428649902344,0.08848949530941795,31
32,8.053926706314087,1723045701.3015368,0.37303613403694347,0.015347365211762531,0.09911226033451459,7.6151978969573975,0.08376489512275206,32
33,8.241639375686646,1723045701.4892495,0.41676233864163964,0.011806979743570475,0.0967957341884957,7.802894830703735,0.08498875444492522,33
34,8.426599025726318,1723045701.674209,0.35986031769857113,0.009480984277005198,0.09230391019653109,7.987621784210205,0.08282292591952589,34
35,8.612176179885864,1723045701.8597863,0.3833932387081265,0.016946475729122428,0.08611950006782568,8.173429489135742,0.06917302433870325,35
36,8.796639204025269,1723045702.0442493,0.3170870009291976,0.011541478947634165,0.08041011695293393,8.35783314704895,0.06886863800529977,36
37,8.980939865112305,1723045702.22855,0.29809242931123475,0.010884842845026431,0.07473547170003879,8.542203903198242,0.06385062885501236,37
38,9.164942979812622,1723045702.412553,0.32434785334713756,0.01562944688244183,0.0691041788743108,8.726212501525879,0.05347473199186898,38
39,9.348203420639038,1723045702.5958135,0.3377040501829993,0.014464998037897104,0.06705484811646142,8.909491777420044,0.052589850078564315,39
40,9.53190565109253,1723045702.7795157,0.2820256773568927,0.014061558772867461,0.06545367681587948,9.093222856521606,0.05139211804301202,40
42,9.895466804504395,1723045703.143077,0.28873697959779615,0.01764425905600085,0.061678767712834426,9.456695318222046,0.044034508656833574,41
46,10.624824523925781,1723045703.8724346,0.2448403251289722,0.01512511596664222,0.05295820713161941,10.186079740524292,0.03783309116497719,42
50,11.344562292098999,1723045704.5921724,0.21856073707172188,0.013301932538848532,0.04670304063804049,10.905874729156494,0.03340110809919196,43
55,12.248784303665161,1723045705.4963944,0.20961178686612503,0.01201077892790047,0.04287935497315359,11.809977769851685,0.030868576045253115,44
61,13.338152885437012,1723045706.585763,0.21572571149246794,0.009865043139059428,0.03503088335367019,12.899385690689087,0.025165840214610765,45
67,14.418963193893433,1723045707.6665733,0.1796498042452126,0.008743514301328182,0.030219517423379343,13.980228900909424,0.02147600312205116,46
73,15.508283853530884,1723045708.755894,0.16743427932940813,0.006768515350019358,0.025704865685871152,15.06956672668457,0.018936350335851792,47
