time,l2_error,_timestamp,loss,step,_runtime,loss_boundary,loss_interior,_step
69.50027918815613,0.003781552936896741,1723045722.3627543,1.2670910513857382e-05,40,70.68097925186157,9.675865317784613e-06,2.9950451960727696e-06,40
76.89904165267944,0.0030755113331117313,1723045729.7615197,9.766322653830307e-06,42,78.07974457740784,7.897286425888428e-06,1.8690362279418787e-06,41
86.54473185539246,0.002625624208024984,1723045739.4071953,5.213903929489644e-06,46,87.72542023658752,3.395704152882047e-06,1.8181997766075965e-06,42
100.03440928459167,0.0025367148291578624,1723045752.8968842,3.6164644501992455e-06,50,101.21510910987854,2.995150696937361e-06,6.213137532618845e-07,43
114.3339364528656,0.00154531489219297,1723045767.1967828,2.551504900188166e-06,55,115.5150077342987,1.659122962609286e-06,8.923819375788799e-07,44
130.1300265789032,0.0007291043615293201,1723045782.9925184,1.7608253405658605e-06,61,131.31074333190918,5.821144143905112e-07,1.1787109261753494e-06,45
151.45781016349792,0.001042988033456704,1723045804.3202722,9.322999147788646e-07,67,152.63849711418152,3.359252585116874e-07,5.963746562671773e-07,46
171.00661516189575,0.0008499674973763839,1723045823.8691475,5.741815935400026e-07,73,172.18737244606018,4.6130563550029285e-07,1.128759580397098e-07,47
206.98964834213257,0.00039477564487922585,1723045859.8523858,3.39531565666084e-07,81,208.17061066627502,1.2496072440675383e-07,2.1457084125933018e-07,48
243.27109789848328,0.0003887231497878696,1723045896.1338973,2.1060538075730402e-07,89,244.4521222114563,1.0871720988216585e-07,1.0188817087513819e-07,49
285.7449493408203,0.00038811492231169843,1723045938.6075432,1.5766924809424367e-07,98,286.92576813697815,1.0462838284824595e-07,5.304086524599773e-08,50
331.60437631607056,0.00032399997417704795,1723045984.4671197,1.2507274320507556e-07,107,332.7853446006775,8.392850214092229e-08,4.114424106415326e-08,51
385.1497657299042,0.00023568120228390334,1723046038.0126114,6.091032002927426e-08,118,386.33083629608154,3.3902173111909755e-08,2.7008146917364495e-08,52
447.0856876373291,0.00013346478144647675,1723046099.948561,2.7454181488843476e-08,130,448.26678586006165,1.370438608816128e-08,1.3749795400682196e-08,53
517.7024157047272,0.00014115626279899033,1723046170.5651655,2.522514603527551e-08,143,518.8833904266357,1.4052443864029182e-08,1.117270217124633e-08,54
593.2105898857117,7.711501592529706e-05,1723046246.0733728,1.3580324269693031e-08,157,594.3915977478027,5.576122911824977e-09,8.004201357868053e-09,55
674.8449306488037,6.210833360488858e-05,1723046327.7077484,1.1401851491666118e-08,172,676.0259733200073,4.7955353042841565e-09,6.606316187381961e-09,56
772.5592336654663,5.590554857359671e-05,1723046425.4220288,7.23176699872679e-09,190,773.7402536869049,2.989564888826139e-09,4.242202109900651e-09,57
870.097978591919,5.315479319527754e-05,1723046522.960731,6.240259557926391e-09,208,871.2789559364319,2.2198978052652688e-09,4.020361752661123e-09,58
983.4297170639038,4.7589755680732455e-05,1723046636.292507,4.81877073767249e-09,229,984.6107318401337,1.8044178593952468e-09,3.014352878277243e-09,59
1108.8728711605072,4.214758325831414e-05,1723046761.7356513,4.288178793161596e-09,252,1110.0538761615753,1.7458635333703179e-09,2.5423152597912783e-09,60
1243.3054411411285,4.083159564442364e-05,1723046896.1683402,3.825677215282627e-09,277,1244.4865651130676,1.690298700849182e-09,2.135378514433445e-09,61
1394.0858578681946,3.512992344766298e-05,1723047046.9486835,3.336285652114727e-09,305,1395.2669084072113,1.2440590517199511e-09,2.092226600394776e-09,62
1556.545514345169,3.4452089616342885e-05,1723047209.4083216,2.5462436842825716e-09,335,1557.7265465259552,9.287609615621445e-10,1.617482722720427e-09,63
1740.4734926223755,3.3792920909633704e-05,1723047393.336332,2.4953944487115547e-09,369,1741.6545569896698,8.52220652046058e-10,1.6431737966654966e-09,64
1942.4059965610504,3.0169651328712944e-05,1723047595.2688007,2.3550284960810915e-09,406,1943.587025642395,8.846500987473022e-10,1.4703783973337892e-09,65
2159.636089324951,3.2406630765125056e-05,1723047812.4989178,2.0886165311664787e-09,446,2160.817142724991,8.51837415931318e-10,1.2367791152351607e-09,66
2402.2064118385315,2.895553237910047e-05,1723048055.069151,1.965786639496652e-09,491,2403.387375831604,8.038413675324293e-10,1.1619452719642226e-09,67
2667.198246240616,2.8783103336222936e-05,1723048320.061044,1.8029811172238767e-09,540,2668.379268884659,6.63776169800883e-10,1.1392049474229937e-09,68
2960.148499727249,2.5237717851806304e-05,1723048613.0112453,1.5987823063049247e-09,594,2961.3294701576233,6.389615073909271e-10,9.598207989139976e-10,69
3003.3125467300415,2.6529036030531067e-05,1723048656.1763303,1.418911690932373e-09,602,3004.494555234909,5.745971360936227e-10,8.443145548387504e-10,70
