_timestamp,loss,l2_error,loss_boundary,_runtime,step,time,loss_interior,_step
1723045685.2787547,1.4345511777663726e+27,49104639045990.4,1.4345511777663726e+27,32.63492178916931,46,32.02944803237915,0.0,42
1723045688.0302799,4.289948778597132e+25,10739075347690.174,4.289948778597132e+25,35.386446952819824,50,34.78100824356079,0.0,43
1723045691.4680474,1.5646816276636772e+34,2.952998772546675e+16,1.5646816276636772e+34,38.824214458465576,55,38.21879172325134,0.0,44
1723045695.577188,1.4946422199841133e+44,3.322950656627714e+21,1.4946422199841133e+44,42.93335509300232,61,42.326886892318726,0.0,45
1723045699.712306,1.5349594298828788e+38,3.942733789079982e+18,1.5349594298828788e+38,47.06847310066223,67,46.46303844451904,0.0,46
1723045703.92181,2.52814260221885e+32,3.851511386580413e+17,2.52814260221885e+32,51.277976989746094,73,50.67215323448181,0.0,47
1723045709.4446106,2.511325263874555e+18,3.8515017610406074e+17,2.511325263874555e+18,56.80077767372131,81,56.19485831260681,0.0,48
1723045714.0577893,3.623212373893241e+33,3.421929177840944e+17,3.623212373893241e+33,61.4139564037323,89,60.808448791503906,0.0,49
1723045720.2556973,2.091960088206904e+31,832523482748605.4,2.091960088206904e+31,67.6118643283844,98,67.0063591003418,0.0,50
1723045726.4187648,1040338689319820.5,5121657.81472023,1040338689319820.5,73.77493190765381,107,73.16919589042664,0.0,51
1723045727.918443,21474170.73782506,7278.035995484856,21474170.73782506,75.27461004257202,118,74.66903614997864,0.0,52
1723045728.5245004,25769093.969452713,7278.035995484856,25769093.969452713,75.88066744804382,130,75.27524089813232,0.0,53
1723045729.3771226,1202600747.003726,54844.64360676657,1202600747.003726,76.73328971862793,143,76.12791872024536,0.0,54
1723045730.0837317,974965003.6509465,54844.64360676657,974965003.6509465,77.43989872932434,157,76.83448529243469,0.0,55
1723045730.8357232,579825423.4847158,54844.64360676657,579825423.4847158,78.19189023971558,172,77.58648943901062,0.0,56
1723045731.7420027,785985148.3499593,54844.64360676657,785985148.3499593,79.09816980361938,190,78.49275803565979,0.0,57
1723045732.6437736,1000735210.1313379,54844.64360676657,1000735210.1313379,79.9999406337738,208,79.39454054832458,0.0,58
1723045733.7056549,1254141415.4645538,54844.64360676657,1254141415.4645538,81.06182193756104,229,80.45643019676208,0.0,59
1723045734.858461,889066418.5677685,54844.64360676657,889066418.5677685,82.21462798118591,252,81.60921049118042,0.0,60
1723045738.360579,2697387671.2203636,83592.08421172303,2697387671.2203636,85.71674609184265,277,85.11132311820984,0.0,61
1723045751.9575546,115388568338.64957,2.598614538670286e+17,115388568338.64957,99.31372165679932,305,98.70791172981262,0.0,62
1723045769.1789424,9.313060656447024e+22,2.324179319436711e+17,9.313060656447024e+22,116.5351095199585,335,115.92968964576721,0.0,63
1723045789.0172489,38602708375.75055,279822.8359658796,38602708375.75055,136.37341594696045,369,135.76788330078125,0.0,64
1723045795.8399942,8.569576075409999e+25,11326577484504.742,8.569576075409999e+25,143.1961612701416,406,142.59064531326294,0.0,65
1723045806.695522,73002759.40762058,10319.869185699308,73002759.40762058,154.05168914794922,446,153.44623374938965,0.0,66
1723045809.830925,585147669.1300484,42064.79247959045,585147669.1300484,157.18709206581116,491,156.58166241645813,0.0,67
1723045813.532081,4434759812.099387,95558.55545203293,4434759812.099387,160.88824796676636,540,160.28281378746033,0.0,68
1723045816.9711597,90180236.08672799,63052.68642484223,90180236.08672799,164.32732677459717,594,163.72190284729004,0.0,69
1723045821.6591153,2.866087982050921,1.9080840151776879,2.866087982050921,169.01528239250183,653,168.4098551273346,0.0,70
1723045832.7930322,206154709.27794334,34653.30940395583,206154709.27794334,180.14919924736023,718,179.5436863899231,0.0,71
1723045864.8451145,1483914643481.2534,1610848.5946109053,1483914643481.2534,212.2012815475464,790,211.5957236289978,0.0,72
1723045896.7384129,2.8427420405280106,1.9080840151776879,2.8427420405280106,244.09457993507385,869,243.48893070220947,0.0,73
1723045900.1101127,2.8520849559112404,1.9080840151776879,2.8520849559112404,247.46627974510193,956,246.86087155342102,0.0,74
1723045903.7865133,2.894038628461081,1.9080840151776879,2.894038628461081,251.14268040657043,1052,250.5371696949005,0.0,75
1723045907.8551853,2.831005174390042,1.9080840151776879,2.831005174390042,255.21135234832764,1157,254.60595512390137,0.0,76
1723045912.2711778,2.9380162388646553,1.9080840151776879,2.9380162388646553,259.62734484672546,1272,259.021945476532,0.0,77
1723045917.215991,2.768023666492604,1.9080840151776879,2.768023666492604,264.5721580982208,1400,263.9667475223541,0.0,78
1723045922.5766964,2.8590930952108837,1.9080840151776879,2.8590930952108837,269.9328634738922,1539,269.32745337486267,0.0,79
1723045928.5744028,2.917259216252789,1.9080840151776879,2.917259216252789,275.93056988716125,1693,275.3251533508301,0.0,80
1723045935.1464338,2.8431532624438347,1.9080840151776879,2.8431532624438347,282.5026009082794,1863,281.8971130847931,0.0,81
1723045942.3619947,3.023639477842934,1.9080840151776879,3.023639477842934,289.71816182136536,2049,289.1126444339752,0.0,82
1723045950.295223,2.8690330322704996,1.9080840151776879,2.8690330322704996,297.6513900756836,2254,297.04564929008484,0.0,83
1723045958.9921474,2.852345179240804,1.9080840151776879,2.852345179240804,306.3483145236969,2479,305.7429006099701,0.0,84
1723045968.6239069,2.8876814960120196,1.9080840151776879,2.8876814960120196,315.980073928833,2727,315.3746736049652,0.0,85
1723045979.1026142,2.8212141960288046,1.9080840151776879,2.8212141960288046,326.4587812423706,3000,325.85336327552795,0.0,86
1723045990.6116223,2.79625814270886,1.9080840151776879,2.79625814270886,337.9677894115448,3299,337.36229062080383,0.0,87
1723046003.4263475,2.901276918325188,1.9080840151776879,2.901276918325188,350.78251457214355,3629,350.1768705844879,0.0,88
1723046017.449675,2.8691483072931065,1.9080840151776879,2.8691483072931065,364.8058421611786,3992,364.2003571987152,0.0,89
1723046032.8897727,2.8683687721884468,1.9080840151776879,2.8683687721884468,380.2459397315979,4391,379.64053559303284,0.0,90
1723046049.8511746,2.837455533306783,1.9080840151776879,2.837455533306783,397.20734167099,4831,396.60172986984253,0.0,91
1723046068.6140747,2.9317817071637746,1.9080840151776879,2.9317817071637746,415.97024178504944,5314,415.36449694633484,0.0,92
1723046089.2462277,2.8722973127260634,1.9080840151776879,2.8722973127260634,436.60239481925964,5845,435.9966530799866,0.0,93
1723046111.9548311,2.857200254939423,1.9080840151776879,2.857200254939423,459.31099820137024,6429,458.7051887512207,0.0,94
1723046136.814514,2.865218657040152,1.9080840151776879,2.865218657040152,484.17068099975586,7072,483.56478095054626,0.0,95
1723046164.052303,2.88771958428971,1.9080840151776879,2.88771958428971,511.4084701538086,7779,510.8030185699463,0.0,96
1723046194.1451392,2.8780832946593797,1.9080840151776879,2.8780832946593797,541.5013062953949,8557,540.8956208229065,0.0,97
1723046227.1080117,2.8034378286731174,1.9080840151776879,2.8034378286731174,574.4641788005829,9413,573.8584530353546,0.0,98
1723046263.2154899,2.8641519810575833,1.9080840151776879,2.8641519810575833,610.5716569423676,10354,609.9659769535065,0.0,99
1723046302.8958726,2.927731214918331,1.9080840151776879,2.927731214918331,650.2520396709442,11389,649.6463704109192,0.0,100
1723046346.6186094,2.963669024875541,1.9080840151776879,2.963669024875541,693.974776506424,12528,693.3690457344055,0.0,101
1723046394.7093155,2.955096967325169,1.9080840151776879,2.955096967325169,742.0654826164246,13781,741.4597086906433,0.0,102
1723046447.6900666,2.794138826508805,1.9080840151776879,2.794138826508805,795.0462336540222,15159,794.4405179023743,0.0,103
1723046506.0738344,2.8841039095439727,1.9080840151776879,2.8841039095439727,853.4300014972687,16675,852.8241903781891,0.0,104
1723046570.1860456,2.8609576193819852,1.9080840151776879,2.8609576193819852,917.5422127246857,18342,916.9364459514618,0.0,105
1723046640.7954319,2.8785131988608663,1.9080840151776879,2.8785131988608663,988.1515989303589,20177,987.5457725524902,0.0,106
1723046718.433878,2.88822637046843,1.9080840151776879,2.88822637046843,1065.7900450229645,22194,1065.1843845844269,0.0,107
1723046803.9702723,2.8700019670101966,1.9080840151776879,2.8700019670101966,1151.3264393806458,24414,1150.72066116333,0.0,108
1723046897.9829817,2.964317421892997,1.9080840151776879,2.964317421892997,1245.339148759842,26855,1244.7333941459656,0.0,109
1723047002.478047,2.9662674980850645,1.9080840151776879,2.9662674980850645,1349.8342139720917,29540,1349.228375673294,0.0,110
1723047116.2450464,2.997002617329037,1.9080840151776879,2.997002617329037,1463.6012134552002,32494,1462.995447397232,0.0,111
1723047241.1254249,2.913718996129297,1.9080840151776879,2.913718996129297,1588.4815919399261,35744,1587.8758115768433,0.0,112
1723047378.192809,2.8641990856760895,1.9080840151776879,2.8641990856760895,1725.5489761829376,39318,1724.9431598186493,0.0,113
1723047529.1642234,2.82339478960262,1.9080840151776879,2.82339478960262,1876.520390510559,43250,1875.9147267341614,0.0,114
1723047694.8105764,2.90083489981125,1.9080840151776879,2.90083489981125,2042.166743516922,47575,2041.5610423088074,0.0,115
1723047877.3556182,2.9191596608809034,1.9080840151776879,2.9191596608809034,2224.7117853164673,52332,2224.106067419052,0.0,116
1723048078.2254584,2.8428425817195784,1.9080840151776879,2.8428425817195784,2425.5816254615784,57566,2424.9758179187775,0.0,117
1723048298.9514306,2.811462231081155,1.9080840151776879,2.811462231081155,2646.3075976371765,63322,2645.7019186019897,0.0,118
1723048541.4557986,2.9585433266696533,1.9080840151776879,2.9585433266696533,2888.8119657039642,69654,2888.2062861919403,0.0,119
1723048653.2659783,2.9472154279751703,1.9080840151776879,2.9472154279751703,3000.6221454143524,72571,3000.015352010727,0.0,120
