loss_boundary,time,_step,_runtime,_timestamp,l2_error,loss_interior,loss,step
0.2765763410547928,2.218353271484375,41,3.6775708198547363,1723045655.0752268,0.7349648750884314,0.0025663424665271248,0.27914268352131993,42
0.2515768672392022,2.285330057144165,42,3.7444658279418945,1723045655.1421218,0.6150120882086207,0.009185717293661117,0.26076258453286333,46
0.2270097211124143,2.354670524597168,43,3.813730239868164,1723045655.2113862,0.539518856401444,0.0205570841785969,0.2475668052910112,50
0.2188063389230082,2.4374780654907227,44,3.8967082500457764,1723045655.2943642,0.5114262525205513,0.026240485539195574,0.24504682446220377,55
0.21221143352176303,2.5378496646881104,45,3.996802806854248,1723045655.3944588,0.5465825221617735,0.020030120956475925,0.23224155447823897,61
0.23256538171910485,2.6428256034851074,46,4.102035284042358,1723045655.4996912,0.5949068497484681,0.009856361865004751,0.2424217435841096,67
0.18695360018993598,2.740669012069702,47,4.199836492538452,1723045655.5974925,0.5855653021332388,0.00838207448284603,0.195335674672782,73
0.1756789873022955,2.8697657585144043,48,4.328861474990845,1723045655.7265174,0.5217796805650285,0.014671155449068655,0.19035014275136417,81
0.16853949630279697,3.0059142112731934,49,4.465060472488403,1723045655.8627164,0.5209687877300836,0.018194824753209885,0.18673432105600685,89
0.17013172624684977,3.1547164916992188,50,4.614081621170044,1723045656.0117376,0.5312842520895935,0.015073983684060526,0.1852057099309103,98
0.1604390278563049,3.306107997894287,51,4.7648210525512695,1723045656.162477,0.5084121875611269,0.016490102102910225,0.17692912995921511,107
0.15572419841365365,3.4814517498016357,52,4.940682649612427,1723045656.3383386,0.4974449224519495,0.011863766519589324,0.16758796493324296,118
0.1315212977933429,3.6822259426116943,53,5.140897750854492,1723045656.5385537,0.5002481291652293,0.010542180697552727,0.14206347849089562,130
0.12521811832346957,3.89074969291687,54,5.349996089935303,1723045656.747652,0.4735574459130394,0.01079976128825929,0.13601787961172887,143
0.12631682637453992,4.124503135681152,55,5.58334755897522,1723045656.9810035,0.4675463099312645,0.011875184966406606,0.13819201134094652,157
0.1152697524917597,4.365968704223633,56,5.824884414672852,1723045657.2225404,0.461943744586488,0.012370540854142902,0.1276402933459026,172
0.10379093386210858,4.654607057571411,57,6.114001512527466,1723045657.5116575,0.4533924986062002,0.01424017984320577,0.11803111370531436,190
0.11592862555641538,4.948981761932373,58,6.408404350280762,1723045657.8060603,0.44270057107005023,0.012050746385434996,0.12797937194185038,208
0.10499231237649372,5.2921693325042725,59,6.751368761062622,1723045658.1490247,0.4259717714415276,0.012909504402557684,0.1179018167790514,229
0.09359119534935968,5.665709495544434,60,7.124772787094116,1723045658.5224288,0.4115885220467977,0.012462505976108736,0.10605370132546842,252
