time,loss_boundary,loss,_runtime,_timestamp,loss_interior,step,l2_error,_step
2.1367433071136475,0.26172158819158836,0.2723716984926299,4.029315948486328,1723045653.591233,0.010650110301041517,42,0.6958062196837153,41
2.2055299282073975,0.20328767662406613,0.22823849472624488,4.09672474861145,1723045653.6586418,0.024950818102178748,46,0.5472019928400227,42
2.2741851806640625,0.22395616585645645,0.2599235832442667,4.16491174697876,1723045653.7268288,0.03596741738781022,50,0.48048513792415715,43
2.3613975048065186,0.2177390308472654,0.2469291730699069,4.252461671829224,1723045653.8143787,0.029190142222641498,55,0.4825369105841458,44
2.460080623626709,0.20788032567136647,0.2212392852064155,4.351396799087524,1723045653.9133139,0.01335895953504905,61,0.5467499356626064,45
2.5572071075439453,0.20196378787479996,0.20744915786553803,4.448485851287842,1723045654.010403,0.0054853699907380735,67,0.602510004006203,46
2.657682418823242,0.20908900494660904,0.21604922195325624,4.548858404159546,1723045654.1107755,0.006960217006647188,73,0.5837667386975539,47
2.7897942066192627,0.17228589220244583,0.18918445585289811,4.681013584136963,1723045654.2429307,0.016898563650452277,81,0.5085181603265782,48
2.9223146438598633,0.17252854369233522,0.18946163568879235,4.813234090805054,1723045654.3751512,0.016933091996457133,89,0.5032817287063964,49
3.0751876831054688,0.15374118465331318,0.16758587587817542,4.966271877288818,1723045654.528189,0.013844691224862244,98,0.5307335581654775,50
3.222874164581299,0.1475642473113994,0.1669974079161651,5.11412239074707,1723045654.6760395,0.019433160604765718,107,0.5041395061017517,51
3.406144380569458,0.15202069542712987,0.16690385393010568,5.297137498855591,1723045654.8590546,0.014883158502975813,118,0.511678817467379,52
3.6010265350341797,0.13711919693287858,0.15039547606009046,5.492330074310303,1723045655.0542471,0.013276279127211878,130,0.49257670980589857,53
3.8103435039520264,0.13511583113968348,0.14494265060333641,5.701562404632568,1723045655.2634795,0.009826819463652945,143,0.47961046144923053,54
4.036948204040527,0.12131055268250475,0.13065724279832758,5.92812705039978,1723045655.490044,0.00934669011582283,157,0.47521618854409164,55
4.280303716659546,0.12728227265830042,0.13543929026615117,6.171742916107178,1723045655.73366,0.008157017607850746,172,0.46864150374173924,56
4.571776390075684,0.12219680495833148,0.13175040310407685,6.463107585906982,1723045656.0250247,0.00955359814574538,190,0.45589917405719926,57
