_step,l2_error,time,loss_boundary,step,_timestamp,loss_interior,loss,_runtime
60,0.39842531267039255,6.380945444107056,0.10066003622810213,252,1723045659.2735686,0.009486388079858816,0.11014642430796094,7.153581619262695
61,0.3732119761911026,6.791140079498291,0.07773036308853672,277,1723045659.683403,0.009320085822333051,0.08705044891086977,7.563416004180908
62,0.3234568490169026,7.248891353607178,0.06529928568909489,305,1723045660.1412141,0.009637689631787839,0.07493697532088273,8.02122712135315
63,0.2621735198143519,7.736696481704712,0.04764058176467704,335,1723045660.6295578,0.010201785322378412,0.05784236708705545,8.509570837020874
64,0.21966143411564482,8.289931774139404,0.03096728892433471,369,1723045661.182665,0.01006092524704532,0.04102821417138003,9.062678098678589
65,0.17873122395513646,8.897703647613525,0.026638794554641777,406,1723045661.7902925,0.007319557562683028,0.03395835211732481,9.670305490493774
66,0.17251333670705177,9.5574951171875,0.02196097680899464,446,1723045662.4500194,0.005802700972963909,0.027763677781958547,10.330032348632812
67,0.13929097808703791,10.292358636856079,0.013650646427118805,491,1723045663.184886,0.004334650074672512,0.017985296501791315,11.06489896774292
68,0.12198440680711435,11.091802597045898,0.012849679653870922,540,1723045663.9846027,0.0036427064113661593,0.01649238606523708,11.864615678787231
69,0.10826144515295046,11.973013639450073,0.008370214625523833,594,1723045664.8659077,0.0029245242318793763,0.01129473885740321,12.745920658111572
70,0.0809090827376351,12.925254106521606,0.005146485075911679,653,1723045665.8180141,0.002498988817555132,0.007645473893466811,13.69802713394165
71,0.06956015530898282,13.973744869232178,0.002988920902495066,718,1723045666.8665507,0.0018536364783531569,0.004842557380848223,14.74656367301941
72,0.04607143546020639,15.150763034820557,0.002484405112871083,790,1723045668.043068,0.0014940861147649726,0.003978491227636056,15.923080921173096
73,0.05100476069236807,16.430522203445435,0.001145254818150235,869,1723045669.323364,0.0010390143881527031,0.0021842692063029382,17.20337700843811
74,0.03230847061098167,17.8247013092041,0.000870935080283231,956,1723045670.717431,0.0007296762516409882,0.001600611331924219,18.5974440574646
75,0.027967445601807802,19.368889570236206,0.0006717922441640914,1052,1723045672.2616065,0.0005164552733284134,0.001188247517492505,20.141619443893433
76,0.0347889571245538,21.057008504867554,0.000498156621778624,1157,1723045673.9496996,0.00043874183293452493,0.0009368984547131489,21.829712629318237
77,0.023025260622529232,22.928093433380127,0.0005078162623884478,1272,1723045675.8207633,0.0003321111048598383,0.0008399273672482861,23.70077633857727
78,0.02263391412266584,25.01956796646118,0.0004323339287002599,1400,1723045677.9121907,0.00028151224956541676,0.0007138461782656767,25.792203664779663
79,0.021265360652001256,27.273258447647095,0.00033587745574872375,1539,1723045680.166198,0.00021431993196142015,0.0005501973877101439,28.046211004257202
80,0.027053002580300998,29.772751092910767,0.0003778258042716467,1693,1723045682.6658587,0.00015515560140253365,0.0005329814056741803,30.54587173461914
81,0.0353342803730941,32.51659631729126,0.0009867595379909322,1863,1723045685.4093933,0.00015367769542854763,0.00114043723341948,33.289406299591064
82,0.03070543134893406,35.53019976615906,0.000427481522229445,2049,1723045688.4223228,0.000120242426669387,0.0005477239488988321,36.30233573913574
83,0.015312894835101,38.8495888710022,0.00022829816838740058,2254,1723045691.7420402,9.972400681850107e-05,0.0003280221752059016,39.622053146362305
84,0.015960472322093903,42.520938873291016,0.0001806178908766396,2479,1723045695.4149873,9.029494332828102e-05,0.00027091283420492063,43.295000314712524
85,0.014473815153613434,46.52756428718567,0.00015101393619165916,2727,1723045699.4200556,8.084280012660071e-05,0.00023185673631825987,47.300068616867065
86,0.022205269615890647,50.93211007118225,0.0004335265147262753,3000,1723045703.8245366,7.304351650002054e-05,0.0005065700312262959,51.70454955101013
