step,_runtime,l2_error,loss_interior,time,loss,_step,_timestamp,loss_boundary
21,2.942756175994873,0.6703810665334385,0.02015072170604444,1.6450777053833008,0.41946586770564187,21,1723045653.4413753,0.39931514599959744
22,2.962266445159912,0.7142557056183144,0.019777686234036817,1.6646199226379395,0.37277403128910014,22,1723045653.4608855,0.35299634505506333
23,2.9816808700561523,0.7639396868325984,0.01931864547100757,1.684004545211792,0.3846595488364095,23,1723045653.4803,0.3653409033654019
24,3.000833511352539,0.8142804351039368,0.019056434925704434,1.7033488750457764,0.36447426340167915,24,1723045653.4994526,0.34541782847597474
25,3.020033121109009,0.8615989386565748,0.017605090212205826,1.7222390174865723,0.3391090799633205,25,1723045653.5186522,0.32150398975111466
26,3.039564847946167,0.9035242677554635,0.01669196077718162,1.7417197227478027,0.34567135643407215,26,1723045653.538184,0.32897939565689055
27,3.0590932369232178,0.9385757015130518,0.01582664317040854,1.761399745941162,0.36413611665014334,27,1723045653.5577123,0.3483094734797348
28,3.0786826610565186,0.9656641853400941,0.01383997904786774,1.7811014652252197,0.3694675204565714,28,1723045653.5773017,0.3556275414087037
29,3.0983316898345947,0.983985362247583,0.012800191442555718,1.8006742000579834,0.4117288876711537,29,1723045653.5969508,0.39892869622859795
30,3.1187939643859863,0.9950263222823201,0.011419650384535643,1.821357250213623,0.3588649440809386,30,1723045653.617413,0.347445293696403
31,3.13920259475708,0.997663249361608,0.010027658180958686,1.841712236404419,0.4033808484503272,31,1723045653.6378217,0.3933531902693685
32,3.1594345569610596,0.9927997409595224,0.008840513546272636,1.8617842197418213,0.3947622044175099,32,1723045653.6580536,0.3859216908712373
33,3.179527759552002,0.9801912873864672,0.00771132796388625,1.8820359706878662,0.4137420436106603,33,1723045653.6781468,0.40603071564677407
34,3.199984073638916,0.9621270013177401,0.006155747856992965,1.90234375,0.36059272936843684,34,1723045653.6986032,0.35443698151144387
35,3.2214460372924805,0.9392617245470178,0.005028868169831091,1.924846887588501,0.39471675495893543,35,1723045653.720065,0.3896878867891043
36,3.241189956665039,0.9121365065414326,0.0038525542843488424,1.9437963962554932,0.3718618875445291,36,1723045653.739809,0.36800933326018026
37,3.260952949523926,0.8820508885541277,0.0027570491656388695,1.9633824825286865,0.35392480867729575,37,1723045653.759572,0.3511677595116569
38,3.281179428100586,0.8494316000060935,0.0019124845530576818,1.9840710163116455,0.34889553314780014,38,1723045653.7797985,0.34698304859474244
39,3.30216121673584,0.8163750405190496,0.0011781062722691358,2.0049309730529785,0.3221111201860711,39,1723045653.8007803,0.32093301391380197
40,3.3229475021362305,0.7832163630266538,0.0006176201171157949,2.025696039199829,0.33236072091927754,40,1723045653.8215666,0.33174310080216174
42,3.359724760055542,0.719746874692451,0.000335913881951902,2.0622668266296387,0.30835259665356085,41,1723045653.8583438,0.30801668277160893
46,3.428340196609497,0.6201670300874642,0.0034504663872448604,2.130927801132202,0.27502570916964175,42,1723045653.9269593,0.2715752427823969
50,3.4952476024627686,0.5640670460879659,0.011093038489873575,2.1974995136260986,0.2824269639577949,43,1723045653.9938667,0.2713339254679213
55,3.578852415084839,0.5476905018004152,0.018915444741740253,2.281179904937744,0.2818689865973983,44,1723045654.0774715,0.26295354185565806
61,3.6785175800323486,0.588113349092714,0.017167125448358078,2.381134033203125,0.2527278479214541,45,1723045654.1771367,0.235560722473096
67,3.7749555110931396,0.6342294694664445,0.011018179292893497,2.4772136211395264,0.25109855807302023,46,1723045654.2735746,0.24008037878012675
73,3.8737599849700928,0.617305089395137,0.009959224830691182,2.5760338306427,0.23272431438393856,47,1723045654.372379,0.2227650895532474
