l2_error,loss_boundary,_timestamp,step,time,_runtime,loss_interior,loss,_step
0.0034341353342157988,1.2746585521452994e-05,1723045708.137136,39,55.28811597824097,56.93590688705444,9.085793128628375e-06,2.183237865008137e-05,39
0.003481973072710344,1.1199294345735386e-05,1723045709.2058752,40,56.356884479522705,58.00464606285095,7.3501914702228985e-06,1.8549485815958285e-05,40
0.0037993672634879885,9.535287181179915e-06,1723045716.513455,42,63.664390325546265,65.31222581863403,4.781718986131496e-06,1.4317006167311411e-05,41
0.00405699573375114,9.374651562598546e-06,1723045723.5083756,46,70.65934109687805,72.30714654922485,3.621025766488199e-07,9.736754139247365e-06,42
0.0034360786585635344,6.761609169561804e-06,1723045730.0988588,50,77.24983239173889,78.897629737854,3.25024505776398e-07,7.086633675338202e-06,43
0.002652594492061503,4.672865068822182e-06,1723045738.5112054,55,85.66185092926025,87.30997633934021,5.230879486095821e-07,5.195953017431764e-06,44
0.0011228780339431737,1.074712498769597e-06,1723045756.5105388,61,103.66145491600037,105.30930972099304,1.574267101853609e-06,2.6489796006232063e-06,45
0.0009968740718030668,8.775132709322452e-07,1723045775.0424008,67,122.19317030906677,123.8411717414856,3.500872505275538e-07,1.2276005214597991e-06,46
0.0007591748031136046,3.4511547535837313e-07,1723045796.3632677,73,143.51391696929932,145.162038564682,4.46364352920434e-07,7.914798282788071e-07,47
0.000537250833282786,1.719878773404541e-07,1723045822.6663668,81,169.81719970703125,171.46513772010803,1.2631362556966287e-07,2.9830150291011696e-07,48
0.0002644679434770516,1.1790068029848263e-07,1723045852.4244468,89,199.57522010803223,201.22321772575378,3.93435963673947e-08,1.5724427666587732e-07,49
0.0002163613605043326,4.817407758184128e-08,1723045898.5036676,98,245.65434646606445,247.30243849754333,2.594957648810611e-08,7.412365406994738e-08,50
0.00015998316003368822,1.5743629845786402e-08,1723045945.292805,107,292.44354271888733,294.0915758609772,2.4469946939408884e-08,4.021357678519528e-08,51
7.603485464056834e-05,1.1604327775474971e-08,1723046006.439906,118,353.59046506881714,355.23867678642273,1.2411420954639076e-08,2.4015748730114045e-08,52
6.482180238938697e-05,3.6139228930954676e-09,1723046072.4281104,130,419.57866621017456,421.22688126564026,8.946210906255547e-09,1.2560133799351015e-08,53
6.179679427351449e-05,2.49865021580903e-09,1723046144.8484287,143,491.9988820552826,493.6471996307373,5.8612694870772876e-09,8.359919702886317e-09,54
4.7710781501739e-05,1.8358482354840244e-09,1723046222.1380742,157,569.2886383533478,570.9368450641632,5.336064152617781e-09,7.171912388101806e-09,55
4.008494966314242e-05,1.4194743775445883e-09,1723046305.0560932,172,652.2067484855652,653.8548641204834,4.272925361540382e-09,5.69239973908497e-09,56
3.4863013139836544e-05,9.548798574138598e-10,1723046404.2971945,190,751.4479343891144,753.095965385437,3.1947921172231934e-09,4.149671974637053e-09,57
3.234329344337711e-05,9.115080545408928e-10,1723046503.656706,208,850.8073589801788,852.4554769992828,2.8839231232606227e-09,3.795431177801515e-09,58
3.169021914137757e-05,9.131374259475726e-10,1723046619.3928697,229,966.5433969497681,968.1916406154633,2.6825664238121846e-09,3.5957038497597573e-09,59
2.838159855843553e-05,8.442571077066039e-10,1723046746.412604,252,1093.5633339881897,1095.2113749980927,2.1455584214172542e-09,2.9898155291238582e-09,60
2.6463986004319527e-05,6.425524274932138e-10,1723046884.2290547,277,1231.3797767162323,1233.0278255939484,2.1179227972284682e-09,2.760475224721682e-09,61
2.2907315589873796e-05,5.82136131412893e-10,1723047039.1218696,305,1386.2724764347076,1387.9206404685974,2.0206777669309807e-09,2.6028138983438736e-09,62
2.2661396696767848e-05,4.703380455523278e-10,1723047204.1679187,335,1551.3183588981628,1552.9666895866394,1.4546685552871876e-09,1.9250066008395154e-09,63
2.0947714493280334e-05,3.6247617579934794e-10,1723047391.3738678,369,1738.5245907306671,1740.1726386547089,1.5523826678659481e-09,1.914858843665296e-09,64
2.0109197205275666e-05,3.597570852556339e-10,1723047595.7570837,406,1942.907609462738,1944.5558545589447,1.2296229543030476e-09,1.5893800395586815e-09,65
1.9098146956958015e-05,3.273855001205402e-10,1723047816.808094,446,2163.9587831497192,2165.606864929199,1.2271197958190083e-09,1.5545052959395484e-09,66
1.703140597310521e-05,2.70807454929305e-10,1723048066.0160255,491,2413.166746377945,2414.814796447754,1.092232531318904e-09,1.363039986248209e-09,67
1.7905334079080245e-05,3.1670978583187094e-10,1723048337.4577148,540,2684.608325242996,2686.2564857006073,1.016128179056715e-09,1.3328379648885859e-09,68
1.6904883588160534e-05,2.605247893143418e-10,1723048636.4750788,594,2983.624735355377,2985.2738497257233,8.068259038152268e-10,1.0673506931295686e-09,69
1.610712099488124e-05,2.2218659153770401e-10,1723048652.9084423,597,3000.059435606003,3001.707213163376,7.830349123076534e-10,1.0052215038453574e-09,70
