time,_runtime,_timestamp,loss_boundary,loss_interior,loss,step,_step,l2_error
6.907846450805664,7.338138818740845,1723045704.278452,0.012737468310704322,0.003573473073388517,0.01631094138409284,46,42,0.13328970920248118
7.286928653717041,7.717323303222656,1723045704.6576364,0.00976575796319867,0.0028591515776179755,0.012624909540816645,50,43,0.12159623041908614
7.759358644485474,8.18973422050476,1723045705.1300473,0.00793575475402774,0.0026013960897555595,0.010537150843783299,55,44,0.1012040203525098
8.328350305557251,8.758780479431152,1723045705.6990936,0.0045090349084420545,0.0024691620933439402,0.006978197001785995,61,45,0.07854942379102527
8.89554476737976,9.325947284698486,1723045706.2662604,0.002966201196575614,0.0020015603919893922,0.004967761588565007,67,46,0.060477162462331244
9.463897943496704,9.894315242767334,1723045706.8346283,0.0013572285072350739,0.001498829797592963,0.002856058304828037,73,47,0.04219596252757945
10.282779932022095,10.713440418243408,1723045707.6537535,0.0011104244378863906,0.0008433095970270748,0.0019537340349134653,81,48,0.03473071605752469
11.091773986816406,11.522310972213745,1723045708.462624,0.0008120200190376379,0.0005213967397520207,0.0013334167587896587,89,49,0.031511871908374435
11.957831144332886,12.388323545455933,1723045709.3286366,0.000648841150433506,0.0003151962307778176,0.0009640373812113236,98,50,0.02573444590950673
12.816364765167236,13.246801853179932,1723045710.187115,0.0006457764383739765,0.00026463042356400865,0.0009104068619379851,107,51,0.025551486224249166
13.960578680038452,14.391315698623657,1723045711.3316288,0.0005356529941451163,0.00020072630182206542,0.0007363792959671818,118,52,0.024752369526817378
15.24706244468689,15.677776336669922,1723045712.6180894,0.00038529718808347034,0.00017970211052241154,0.0005649992986058818,130,53,0.021836089190405087
16.570669651031494,17.001959085464478,1723045713.9422722,0.0002816829208923106,0.00013770694805665588,0.0004193898689489665,143,54,0.022110149554331247
18.022140741348267,18.452683448791504,1723045715.3929965,0.0001970439153284425,0.00012126585819259167,0.0003183097735210342,157,55,0.017877886618420696
19.50120997428894,19.93170714378357,1723045716.8720202,0.0001412931603963001,7.534441306840175e-05,0.00021663757346470185,172,56,0.014359184295642641
21.374181270599365,21.80498695373535,1723045718.7453,9.947979406509166e-05,4.6290388716068345e-05,0.00014577018278116,190,57,0.011537458627110002
23.287841796875,23.718307495117188,1723045720.6586206,7.795200799019561e-05,3.909096284838796e-05,0.00011704297083858358,208,58,0.009875558218856972
25.43264079093933,25.8633234500885,1723045722.8036366,4.452809242101535e-05,2.8136485288641798e-05,7.266457770965715e-05,229,59,0.008047437349220164
27.81675672531128,28.24737310409546,1723045725.1876862,3.0503624737288326e-05,1.9130159555940883e-05,4.963378429322921e-05,252,60,0.007285067761138502
30.234580278396606,30.665106773376465,1723045727.6054199,2.0916054121332295e-05,1.2219420599763068e-05,3.313547472109536e-05,277,61,0.006332276127051703
32.98054575920105,33.41101622581482,1723045730.3513293,2.0602564772122214e-05,1.0542577263838407e-05,3.114514203596062e-05,305,62,0.00540129292146617
36.03566217422485,36.46640133857727,1723045733.4067144,7.973317545610732e-06,5.246733596910481e-06,1.3220051142521213e-05,335,63,0.0038554871712764755
39.30215549468994,39.733113288879395,1723045736.6734264,2.646356986027842e-06,2.8980820953216207e-06,5.544439081349463e-06,369,64,0.002337308016265207
43.05130052566528,43.48185658454895,1723045740.4221697,1.3408916274399353e-06,1.7270197148730367e-06,3.067911342312972e-06,406,65,0.001408802841889344
46.982686281204224,47.4133780002594,1723045744.353691,3.710888774963439e-07,5.777351070506968e-07,9.488239845470407e-07,446,66,0.0009569695747665619
51.62577748298645,52.05624270439148,1723045748.9965558,1.3567972209170472e-07,2.2500158899427687e-07,3.606813110859816e-07,491,67,0.0006557063824460119
56.70790505409241,57.138418674468994,1723045754.0787318,7.830731867971164e-08,1.37179659824431e-07,2.1548697850414266e-07,540,68,0.0004902093431520003
62.23179626464844,62.66317558288574,1723045759.6034887,2.6385099038080738e-08,5.99877756001647e-08,8.637287463824544e-08,594,69,0.000431677425102274
68.48966908454895,68.92012238502502,1723045765.8604355,1.9851699278652427e-08,4.5532527054810185e-08,6.538422633346261e-08,653,70,0.00028801987568397985
74.89976954460144,75.33021664619446,1723045772.2705297,2.399832975486695e-08,3.394009772512812e-08,5.793842747999507e-08,718,71,0.0002146127510208451
