_step,_runtime,loss_interior,step,time,loss,loss_boundary,l2_error,_timestamp
86,53.005971908569336,0.000379407287216286,3000,51.613166093826294,0.0012691844754367698,0.0008897771882204838,0.02896577915530253,1723045703.5601559
87,57.99417018890381,0.000312194457593153,3299,56.600566148757935,0.0009414314277885357,0.0006292369701953826,0.033873222158680355,1723045708.5483541
88,63.440356731414795,0.00027793100251036163,3629,62.04735589027405,0.0008050241924214611,0.0005270931899110995,0.02996537487206591,1723045713.9945407
89,69.49444103240967,0.00024190814781595573,3992,68.10121893882751,0.0007407755491717319,0.0004988674013557761,0.02260506108292377,1723045720.048625
90,76.19666767120361,0.00020919871543450297,4391,74.80370545387268,0.0006702461407338727,0.00046104742529936974,0.020838754663282735,1723045726.7508516
91,83.67123699188232,0.00022065061029124354,4831,82.27780246734619,0.0006614061988161691,0.0004407555885249255,0.023964847892316024,1723045734.225421
92,92.00638580322266,0.00019046461021614923,5314,90.61337661743164,0.0005611245110910587,0.00037065990087490946,0.021711051722639464,1723045742.5605698
93,100.82722425460815,0.00016019655359007318,5845,99.43370389938354,0.0004574076201062289,0.0002972110665161557,0.017392157109314035,1723045751.3814082
94,110.49654483795166,0.00016297555040170508,6429,109.10321497917175,0.00043564532827287375,0.0002726697778711687,0.017257631349198853,1723045761.0507288
95,121.32718253135681,0.0001492089151155069,7072,119.93401408195496,0.00034426906953563167,0.00019506015442012476,0.01697230471534313,1723045771.8813665
96,133.27414894104004,0.00014408178775165037,7779,131.88112807273865,0.0003427139320922166,0.0001986321443405662,0.013771497588457707,1723045783.828333
97,146.217467546463,0.00013756064377096837,8557,144.8242847919464,0.0003307487386551816,0.00019318809488421318,0.02090527665315186,1723045796.7716515
98,160.4736385345459,0.00013042773587853247,9413,159.08039951324463,0.0003122294846020629,0.0001818017487235304,0.0139893286255037,1723045811.0278225
99,176.281676530838,0.00011982785560616578,10354,174.88809418678284,0.00028161677512985434,0.00016178891952368859,0.018870183839873943,1723045826.8358605
100,193.6884925365448,0.00010232712934256381,11389,192.29516768455505,0.00024177061320319074,0.00013944348386062694,0.015321384269923093,1723045844.2426765
101,213.0132155418396,0.00010140757363830789,12528,211.61993145942688,0.00027182374212181813,0.00017041616848351024,0.010964868557274679,1723045863.5673995
102,233.95931315422058,8.788299325325929e-05,13781,232.56612062454224,0.00022096905722114617,0.00013308606396788687,0.01069459247103797,1723045884.513497
103,257.0685980319977,7.870706135457358e-05,15159,255.67560625076294,0.0001963711447024788,0.00011766408334790521,0.010991799562358755,1723045907.622782
104,282.4245319366455,7.7990314126897e-05,16675,281.0314631462097,0.00018815721537603764,0.00011016690124914064,0.009660637347658544,1723045932.978716
105,310.4191162586212,7.853639117683622e-05,18342,309.0257480144501,0.00015397028692723693,7.543389575040069e-05,0.01042640767366752,1723045960.9733002
106,341.21287631988525,6.523568149885631e-05,20177,339.81972765922546,0.00014168677529987012,7.645109380101382e-05,0.009794070002285382,1723045991.7670603
107,374.82952523231506,5.985784144102789e-05,22194,373.43641209602356,0.00014004119787952842,8.018335643850053e-05,0.00801393393344533,1723046025.3837092
108,412.0894663333893,5.176127362053552e-05,24414,410.69687247276306,0.00010710229055906435,5.534101693852883e-05,0.010008587810939893,1723046062.6436503
109,452.9451479911804,5.198292290762815e-05,26855,451.55192518234253,0.00010664344163325575,5.46605187256276e-05,0.01068499425197079,1723046103.499332
110,497.92452931404114,4.405770176927317e-05,29540,496.53143215179443,9.044151001180553e-05,4.638380824253236e-05,0.006840784880838938,1723046148.4787133
