_runtime,_timestamp,loss,step,loss_boundary,time,l2_error,loss_interior,_step
70.22909998893738,1723045719.792994,1.0270888641893745e-05,38,1.5074969117648187e-06,68.55643081665039,0.0012392075076124811,8.763391730128926e-06,38
73.3953127861023,1723045722.9592068,9.379079234048365e-06,39,1.5416045912303271e-06,71.72263741493225,0.0014048225378034038,7.837474642818038e-06,39
74.35645079612732,1723045723.9203448,9.265747682143487e-06,40,2.230342013323801e-06,72.6838002204895,0.001618510650992211,7.035405668819686e-06,40
77.64432978630066,1723045727.2082238,7.721000079130476e-06,42,2.2132675265020116e-06,75.97156023979187,0.0015272652185790644,5.507732552628465e-06,41
87.34398698806763,1723045736.907881,5.146364523985183e-06,46,1.6746146585957232e-06,85.67100405693054,0.0011222618113114337,3.47174986538946e-06,42
99.71456694602966,1723045749.278461,3.0114343202759003e-06,50,1.7089052161412139e-06,98.04187941551208,0.0015249927482750242,1.3025291041346862e-06,43
114.56665062904358,1723045764.1305447,1.4135438417843654e-06,55,2.9231680566761016e-07,112.8932580947876,0.000526725734118371,1.1212270361167552e-06,44
132.7680253982544,1723045782.3319194,8.560396243996415e-07,61,2.445048318965303e-07,131.09484887123108,0.00047599755291162,6.115347925031111e-07,45
158.40942215919495,1723045807.9733162,2.0947012478861818e-07,67,5.5821488831839893e-08,156.73668217658997,0.00022099082239478027,1.5364863595677827e-07,46
179.0234498977661,1723045828.587344,1.2408291400616258e-07,73,5.70512088127619e-08,177.3505516052246,0.0003812818525302967,6.703170519340068e-08,47
216.1518750190735,1723045865.715769,7.900706197404673e-08,81,1.919547534296134e-08,214.47898650169373,0.00014300899580197728,5.981158663108539e-08,48
253.17974591255188,1723045902.74364,5.3900840565709664e-08,89,1.2616965431260875e-08,251.50681233406067,0.00010661027517852225,4.128387513444879e-08,49
298.2626585960388,1723045947.8265526,4.480327995431936e-08,98,1.8765884940668628e-08,296.58969950675964,0.0001345361487251803,2.6037395013650727e-08,50
343.33900213241577,1723045992.9028962,2.797412986375692e-08,107,1.491202225237273e-08,341.6660189628601,0.00013219869648103247,1.3062107611384187e-08,51
398.3153545856476,1723046047.8792486,1.769813159021428e-08,118,9.003765979312066e-09,396.6424300670624,0.00010007817709242136,8.694365610902213e-09,52
458.9122154712677,1723046108.4761095,7.98212466605177e-09,130,2.023376667429245e-09,457.2392144203186,4.584913930527027e-05,5.958747998622526e-09,53
523.849125623703,1723046173.4130197,5.514829713474796e-09,143,1.5880871346339494e-09,522.1761102676392,3.501416336766502e-05,3.9267425788408465e-09,54
593.6873502731323,1723046243.2512443,4.413210239235002e-09,157,1.2292726765240508e-09,592.0139312744141,3.549878764718658e-05,3.1839375627109504e-09,55
669.2166810035706,1723046318.780575,3.5619432865879794e-09,172,1.0018318048116348e-09,667.5430874824524,3.262362123810116e-05,2.5601114817763445e-09,56
759.2078285217285,1723046408.7717226,2.8656063178196037e-09,190,7.258178773993236e-10,757.5347559452057,2.929300938258073e-05,2.13978844042028e-09,57
849.0710000991821,1723046498.6348941,2.0554207830985843e-09,208,5.828318691349147e-10,847.3980484008789,2.7007869413258967e-05,1.4725889139636699e-09,58
954.0113060474396,1723046603.5752,1.8736684675506e-09,229,5.482721809139975e-10,952.3383078575134,2.5418860167459368e-05,1.3253962866366026e-09,59
1069.1258149147034,1723046718.689709,1.6134148794805094e-09,252,4.902014328567164e-10,1067.452933549881,2.3445317140511664e-05,1.123213446623793e-09,60
1193.9975621700287,1723046843.5614562,1.4618395286492812e-09,277,4.547162533896101e-10,1192.3246126174927,2.1299148931352247e-05,1.0071232752596712e-09,61
1333.750953912735,1723046983.314848,1.1259827207036602e-09,305,3.553652605626363e-10,1332.0780146121979,2.0823753056157217e-05,7.70617460141024e-10,62
1483.4826543331146,1723047133.0465484,1.1330522656092357e-09,335,3.4062029156771344e-10,1481.8097767829895,1.898808490738327e-05,7.924319740415222e-10,63
1653.905335187912,1723047303.4692292,9.299026425308669e-10,369,2.9960180576054005e-10,1652.2324509620667,1.710152955078674e-05,6.303008367703268e-10,64
1838.5829219818115,1723047488.146816,9.073424430345102e-10,406,2.7831812413756743e-10,1836.9099700450897,1.7123150710489907e-05,6.290243188969428e-10,65
2038.3942384719849,1723047687.9581325,7.810972531260666e-10,446,2.720614450216915e-10,2036.7212677001953,1.586861684869986e-05,5.090358081043751e-10,66
2263.477551460266,1723047913.0414455,6.755157469033427e-10,491,1.9475263981025704e-10,2261.8045156002045,1.501285532336796e-05,4.807631070930857e-10,67
2507.9638845920563,1723048157.5277786,5.954112068175468e-10,540,1.8060111533120517e-10,2506.29093337059,1.4658445362487938e-05,4.148100914863417e-10,68
2775.877284526825,1723048425.4411786,5.437826065188249e-10,594,1.7102443942046116e-10,2774.204334497452,1.4809205054454057e-05,3.7275816709836376e-10,69
3003.940067052841,1723048653.503961,5.437840028430975e-10,640,1.8956806574401692e-10,3002.2661442756653,1.3211414820095258e-05,3.542159370990806e-10,70
