_runtime,loss_boundary,time,step,loss,l2_error,_step,_timestamp,loss_interior
7.075844049453735,0.01500136355809968,6.627381801605225,46,0.019717584578137326,0.15166604126075148,42,1723045701.317701,0.004716221020037648
7.492779970169067,0.01358355724341688,7.0442726612091064,50,0.017168107798841464,0.15974024224564043,43,1723045701.734637,0.0035845505554245823
8.019815683364868,0.010239083866953767,7.5712456703186035,55,0.012940993876137152,0.13023071313290505,44,1723045702.2616727,0.0027019100091833846
8.644031763076782,0.007035879055633641,8.19550371170044,61,0.009588734254484553,0.09036814064003962,45,1723045702.8858888,0.002552855198850912
9.267424583435059,0.003192670164672229,8.81893014907837,67,0.005697717788910525,0.07317692114066966,46,1723045703.5092816,0.002505047624238296
9.892838478088379,0.0020104394898519187,9.444322109222412,73,0.0036773518276764306,0.04659851063321185,47,1723045704.1346955,0.001666912337824512
10.728638648986816,0.000987055073602795,10.280131816864014,81,0.0019019471266913598,0.03677198554591712,48,1723045704.9704957,0.000914892053088565
11.565651416778564,0.0006423469639177137,11.113109827041626,89,0.0013213460150907463,0.029821352613161236,49,1723045705.8075085,0.0006789990511730326
12.505154371261597,0.0005152529605894618,12.056564569473267,98,0.0008522371445047695,0.025043844027589336,50,1723045706.7470114,0.00033698418391530776
13.44676685333252,0.000537791798002946,12.998232126235962,107,0.0008250691559920002,0.024185421625580458,51,1723045707.688624,0.00028727735798905426
14.587084293365479,0.000449725119169533,14.138551235198975,118,0.0006278640680867646,0.024348530537493078,52,1723045708.8289413,0.00017813894891723157
15.834438800811768,0.0003344491319169461,15.38584280014038,130,0.0004718380348703898,0.02008148148913065,53,1723045710.0762959,0.00013738890295344366
17.18873953819275,0.0002629564069769631,16.740134477615356,143,0.00037120038650170203,0.01898804593411573,54,1723045711.4305966,0.00010824397952473892
18.649893760681152,0.0001912929352465194,18.201331615447998,157,0.00026199621518305184,0.016714290771293067,55,1723045712.8917508,7.070327993653244e-05
20.218501329421997,0.00013253525400323043,19.769959688186646,172,0.00018655986269048506,0.014622838741127447,56,1723045714.4603584,5.4024608687254635e-05
22.133603811264038,8.223885799341469e-05,21.685014247894287,190,0.00011959090055098254,0.012120213156066281,57,1723045716.3754609,3.735204255756785e-05
24.02595019340515,7.653136750869057e-05,23.57742691040039,208,0.00010494862597624904,0.011079002050676004,58,1723045718.2678072,2.8417258467558465e-05
26.215496063232422,5.236327162881217e-05,25.766961336135864,229,7.346211786837626e-05,0.009957891131311934,59,1723045720.457353,2.109884623956409e-05
28.604331016540527,3.8166256206868946e-05,28.155747413635254,252,5.3657447453029074e-05,0.008351320544563392,60,1723045722.846188,1.5491191246160125e-05
31.20235538482666,2.3930621831560046e-05,30.753527879714966,277,3.569289884050326e-05,0.0068791295278405945,61,1723045725.4442124,1.1762277008943209e-05
34.11621618270874,1.7110914748632717e-05,33.667590618133545,305,2.662812607065894e-05,0.006045481738916826,62,1723045728.3580732,9.517211322026225e-06
37.233903884887695,7.506683160846439e-06,36.78535008430481,335,1.2002073000510792e-05,0.004411452725533539,63,1723045731.475761,4.4953898396643545e-06
40.76825952529907,2.668879965430196e-06,40.31971478462219,369,4.65091693699085e-06,0.002654023898442628,64,1723045735.0101166,1.9820369715606543e-06
44.64029049873352,1.6619322416632224e-06,44.19172477722168,406,3.153987590650677e-06,0.0016208923177884556,65,1723045738.8821476,1.4920553489874546e-06
48.8103609085083,4.066936289846963e-07,48.36177086830139,446,9.480134746718185e-07,0.0010517611622006928,66,1723045743.052218,5.413198456871222e-07
53.52520728111267,1.611984124682389e-07,53.07663416862488,491,4.202794604660539e-07,0.000817188854100194,67,1723045747.7670643,2.59081047997815e-07
58.636149406433105,1.2765837413578748e-07,58.18735480308533,540,3.139259775086797e-07,0.0005639857799652561,68,1723045752.8780065,1.8626760337289217e-07
64.29117012023926,4.4682237940915567e-08,63.84251284599304,594,1.2863679471801367e-07,0.00048062682738659126,69,1723045758.5330272,8.395455677709809e-08
70.45518183708191,2.813242132795669e-08,70.00665259361267,653,7.486329540192761e-08,0.00034013068836851904,70,1723045764.697039,4.673087407397093e-08
77.22475528717041,3.038330753903885e-08,76.77616596221924,718,6.492593490066185e-08,0.0002729554312951083,71,1723045771.4666123,3.4542627361623006e-08
84.71286797523499,6.137466880267717e-09,84.26426553726196,790,1.8527577757022938e-08,0.00020791951817260374,72,1723045778.954725,1.239011087675522e-08
