_runtime,loss_boundary,time,loss_interior,step,_step,l2_error,_timestamp,loss
25.687102794647217,0.06308036731462056,25.165421962738037,0.01763690702941374,46,42,0.3246112483191517,1723045716.0113618,0.0807172743440343
27.66997790336609,0.06953888959349425,27.148391723632812,0.01334395846453695,50,43,0.31890399614430404,1723045717.994237,0.0828828480580312
30.430707216262817,0.05165334552108088,29.90899109840393,0.014881147969185972,55,44,0.3005353297350493,1723045720.7549663,0.06653449349026685
33.6448392868042,0.04472507377816305,33.12315392494202,0.013496253668686025,61,45,0.27875693148093617,1723045723.9690983,0.058221327446849075
36.57094669342041,0.03771068913632266,36.04935097694397,0.012480687597071514,67,46,0.26960405896371475,1723045726.8952057,0.050191376733394175
39.42202377319336,0.03508010068124089,38.89120173454285,0.011980314582634719,73,47,0.2537987892082106,1723045729.7462828,0.04706041526387561
48.62308669090271,0.03127118207164072,48.088974714279175,0.012045023483729185,81,48,0.24015908670332684,1723045738.9473457,0.043316205555369906
53.60600996017456,0.03407069825227504,53.08452081680298,0.010579248461589794,89,49,0.20266913095217515,1723045743.930269,0.04464994671386483
57.919899702072144,0.024660325990077753,57.39801001548767,0.00927843316922987,98,50,0.19782699897086106,1723045748.2441587,0.03393875915930762
62.19281458854675,0.021649761665398608,61.671231508255005,0.0077795461155666336,107,51,0.17670419818574584,1723045752.5170736,0.029429307780965242
67.84138345718384,0.01946673177948605,67.31974840164185,0.007039011073693223,118,52,0.17687572794147505,1723045758.1656425,0.026505742853179273
74.0636305809021,0.01794727844525668,73.54220747947693,0.006685807028197766,130,53,0.1698910960330723,1723045764.3878896,0.024633085473454445
80.27073407173157,0.017348338100580448,79.74900984764099,0.005512592723432636,143,54,0.14419308158982513,1723045770.594993,0.022860930824013085
87.40645265579224,0.012598982171359392,86.88461232185364,0.005164302237776909,157,55,0.13343517636602006,1723045777.7307117,0.017763284409136302
94.53531265258789,0.013532608993065633,94.01381182670593,0.004749248196294967,172,56,0.1345474088254734,1723045784.8595717,0.0182818571893606
