step,_runtime,loss,_step,time,l2_error,loss_boundary,_timestamp,loss_interior
50,3.8993732929229736,0.2875076898851077,43,2.30887770652771,0.5747246126914071,0.2760314525532382,1723045655.1421103,0.011476237331869516
55,3.981809139251709,0.2922862831812601,44,2.3911123275756836,0.546951156586257,0.27295061898256245,1723045655.2245462,0.019335664198697637
61,4.081526517868042,0.24054523909375597,45,2.4911770820617676,0.577126247581834,0.22116586371819347,1723045655.3242636,0.01937937537556251
67,4.1817731857299805,0.24405304990564125,46,2.592576026916504,0.6319826421616229,0.23025541528852242,1723045655.4245102,0.013797634617118831
73,4.280930757522583,0.23600723172876653,47,2.690361261367798,0.636060619563163,0.22433592123095816,1723045655.5236678,0.011671310497808377
81,4.413633823394775,0.22887274639654243,48,2.8228867053985596,0.554788032509777,0.2142366951987404,1723045655.6563709,0.014636051197802046
89,4.54580545425415,0.19884030801542465,49,2.955253839492798,0.5287819758143277,0.1847753811332139,1723045655.7885425,0.014064926882210766
98,4.695864677429199,0.178130699374159,50,3.105318307876587,0.5375670351865854,0.1676688882337577,1723045655.9386017,0.010461811140401315
107,4.8441853523254395,0.19142923588604172,51,3.2533979415893555,0.5102794508149235,0.17227746341311842,1723045656.0869224,0.019151772472923285
118,5.026212692260742,0.16181509112250117,52,3.435520887374878,0.5182459343771609,0.14607688746248995,1723045656.2689497,0.01573820366001121
130,5.222332000732422,0.14362075812284075,53,3.631664276123047,0.5076189467437326,0.1317958110969799,1723045656.465069,0.011824947025860852
143,5.434439420700073,0.1412887252910432,54,3.8437259197235107,0.49647514826379624,0.13046283955708046,1723045656.6771765,0.010825885733962723
157,5.663235902786255,0.13748260947665322,55,4.072688102722168,0.47692332837499746,0.1285522348024592,1723045656.905973,0.008930374674194034
172,5.906844139099121,0.1350837666291225,56,4.316077709197998,0.44232849376649486,0.12404036114685003,1723045657.1495812,0.011043405482272459
190,6.197941303253174,0.11563739174741698,57,4.6074378490448,0.43789034888771944,0.10450400134305457,1723045657.4406784,0.011133390404362406
208,6.494162559509277,0.1065213643648987,58,4.9039528369903564,0.41827702811878054,0.09610384164942451,1723045657.7368996,0.0104175227154742
229,6.842332363128662,0.09744008733874288,59,5.252283334732056,0.37462508303581243,0.08588790223580486,1723045658.0850694,0.011552185102938012
252,7.216932773590088,0.07865954983442164,60,5.626158714294434,0.34217709105179644,0.06780471152610947,1723045658.4596698,0.010854838308312168
277,7.6210222244262695,0.06476990961482383,61,6.030224084854126,0.2819770767426623,0.05254897222193167,1723045658.8637593,0.012220937392892163
305,8.073694229125977,0.04884311860732224,62,6.4828596115112305,0.25663073661053215,0.03663211330759217,1723045659.3164313,0.012211005299730075
335,8.554461479187012,0.04271136480761269,63,6.963389158248901,0.21065540120969417,0.03290710112795581,1723045659.7971985,0.00980426367965688
369,9.099875926971436,0.03348701246254198,64,7.509138584136963,0.21207009052509493,0.026466557669045637,1723045660.342613,0.007020454793496344
406,9.695318222045898,0.026772368590604594,65,8.104909181594849,0.1998167317267127,0.021062513432177396,1723045660.9380553,0.005709855158427198
446,10.342106580734253,0.024143939119122437,66,8.751413345336914,0.1705494086790715,0.019629842721503282,1723045661.5848436,0.004514096397619153
491,11.063054323196411,0.02021961746025006,67,9.472267866134644,0.15163868828971644,0.016047310340130082,1723045662.3057914,0.004172307120119977
540,11.848978519439697,0.015092588319340794,68,10.258689403533936,0.15272169193426044,0.011865313189883073,1723045663.0917156,0.003227275129457721
594,12.719120025634766,0.013993158225940223,69,11.128490209579468,0.12097181116781847,0.011220767649001264,1723045663.961857,0.002772390576938959
653,13.667295217514038,0.011522429116987538,70,12.076615571975708,0.10247737797287153,0.009362461109744263,1723045664.9100323,0.002159968007243276
718,14.705845832824707,0.006457326664877306,71,13.115062713623047,0.08045503549015665,0.004371252071079507,1723045665.948583,0.0020860745937977994
790,15.86166501045227,0.004354289748954491,72,14.270874738693237,0.06204198116885333,0.0026206010079125267,1723045667.104402,0.0017336887410419647
869,17.135633945465088,0.003141979553165865,73,15.544955015182495,0.04500044808673003,0.0017346273294854173,1723045668.378371,0.0014073522236804478
956,18.526397228240967,0.002209542143758116,74,16.935670137405396,0.036011983247962655,0.0012847891439887178,1723045669.7691343,0.0009247529997693985
1052,20.057875633239746,0.0013153115385443597,75,18.46697974205017,0.03164476026777152,0.0007401649016578277,1723045671.3006127,0.0005751466368865321
1157,21.732025384902954,0.0013654238718275933,76,20.14162302017212,0.02785097814201494,0.0009453845372423701,1723045672.9747624,0.0004200393345852233
