_timestamp,time,_runtime,_step,l2_error,step,loss,loss_boundary,loss_interior
1723045714.464757,21.515761852264404,22.13357400894165,42,0.4303385922829121,46,0.11253359637622695,0.09520042341782539,0.017333172958401553
1723045716.0661168,23.117111682891846,23.734933853149414,43,0.3583875994203057,50,0.10160793523134218,0.08562300190317734,0.015984933328164835
1723045718.136643,25.187745809555054,25.80545997619629,44,0.37771409740678136,55,0.0986309822909838,0.08416347245077288,0.01446750984021092
1723045720.6547456,27.705703020095825,28.323562622070312,45,0.3561169112475348,61,0.09213334682105351,0.07627419074787016,0.015859156073183348
1723045723.1050773,30.156165599822998,30.77389430999756,46,0.37578450031949456,67,0.08093453188784933,0.06535426101253027,0.015580270875319059
1723045725.6118124,32.66250419616699,33.2806293964386,47,0.3257505613704539,73,0.09125093486793118,0.0744584006619796,0.01679253420595158
1723045728.9235137,35.97437047958374,36.59233069419861,48,0.322525103070847,81,0.0685683891648759,0.04973148970354451,0.018836899461331387
1723045732.2322066,39.28315091133118,39.901023626327515,49,0.2985571057952297,89,0.07362042997318768,0.05545773265204651,0.01816269732114117
1723045735.9121287,42.962937116622925,43.58094573020935,50,0.3008093857254193,98,0.0629781014351552,0.04867665380247507,0.014301447632680127
1723045739.7737644,46.82473182678223,47.44258141517639,51,0.28996575294559335,107,0.05690550541441339,0.04311680855911962,0.01378869685529377
1723045744.3272648,51.378068685531616,51.996081829071045,52,0.26920363177292594,118,0.05270305438700685,0.03935428571990134,0.013348768667105507
1723045749.2916155,56.3424916267395,56.96043252944946,53,0.2659114624071176,130,0.049981728567755984,0.03775114519364195,0.012230583374114033
1723045754.7388542,61.789793968200684,62.407671213150024,54,0.2342609407777576,143,0.04966804400814609,0.037010387656640206,0.012657656351505881
1723045760.764707,67.81562805175781,68.4335241317749,55,0.24055370507985502,157,0.04116443836191698,0.030515522574852832,0.01064891578706415
1723045767.4403155,74.49120569229126,75.10913252830505,56,0.2091184615005088,172,0.038653788430359784,0.029033113362281582,0.0096206750680782
1723045775.3705306,82.4212327003479,83.0393476486206,57,0.21257622516643315,190,0.03869805409434628,0.03001873129445724,0.008679322799889042
1723045783.0138967,90.06487488746643,90.68271374702454,58,0.19919239345222045,208,0.03200043829636878,0.024118684240584002,0.007881754055784779
1723045792.1044657,99.15554094314575,99.77328276634216,59,0.18885259196348858,229,0.029340568935540344,0.022205487592885185,0.00713508134265516
1723045801.8167598,108.86732006072998,109.48557686805725,60,0.16937778220425737,252,0.029743200962457864,0.023733323427086516,0.006009877535371349
1723045812.1257508,119.17660641670227,119.79456782341003,61,0.1677459587421623,277,0.025329251671479657,0.019922535431331923,0.005406716240147735
1723045824.1027582,131.15368008613586,131.77157521247864,62,0.16600175919098328,305,0.020976515442205627,0.015923850117862178,0.005052665324343451
1723045837.1189332,144.16957783699036,144.78775024414062,63,0.1502600143990367,335,0.021875759124847204,0.017305574003601536,0.0045701851212456655
1723045851.4426968,158.49358940124512,159.11151385307312,64,0.1420019440578964,369,0.018985356817795354,0.01481292798997933,0.004172428827816026
1723045867.6428947,174.69377875328064,175.3117117881775,65,0.1352234049353133,406,0.016595292248608708,0.013014128177087888,0.003581164071520819
1723045884.5316002,191.58219742774963,192.20041728019714,66,0.1288082736727879,446,0.014729874871212427,0.01141784982639776,0.0033120250448146677
1723045903.7034528,210.7543249130249,211.3722698688507,67,0.1230044912672457,491,0.013810227057800377,0.010928103635153652,0.0028821234226467257
1723045924.6971095,231.7481141090393,232.36592650413513,68,0.11838758282658898,540,0.013051573788963274,0.010292388772799888,0.0027591850161633852
1723045947.4241161,254.47487425804138,255.092933177948,69,0.10879545745539641,594,0.011453749265110722,0.00879174572564698,0.002662003539463743
1723045972.2194858,279.2703800201416,279.88830280303955,70,0.10228622406831787,653,0.00976883105235512,0.007734256656399245,0.0020345743959558752
1723045999.831769,306.88242387771606,307.50058603286743,71,0.0958681290720561,718,0.0093189546226775,0.007110495839288158,0.0022084587833893434
1723046030.7079651,337.758846282959,338.3767821788788,72,0.09130985802281293,790,0.00784197679047103,0.0058976909866238535,0.001944285803847176
1723046062.814473,369.86530900001526,370.4832899570465,73,0.0831122390758077,869,0.007009289738790873,0.005303409173976665,0.0017058805648142083
1723046099.4892075,406.54016375541687,407.15802454948425,74,0.07616585281849693,956,0.005387452906454887,0.004041060090692565,0.0013463928157623215
1723046139.7633588,446.8140697479248,447.4321758747101,75,0.0662690668402366,1052,0.00499152100622254,0.003641218075048128,0.0013503029311744124
1723046184.6018903,491.65258288383484,492.2707073688507,76,0.05996256412028049,1157,0.004318453313378916,0.0031244105043885598,0.0011940428089903556
1723046232.990621,540.0413205623627,540.6594381332397,77,0.054560734591180986,1272,0.003847282504221652,0.002738602725831532,0.0011086797783901195
1723046285.9566417,593.0076129436493,593.6254587173462,78,0.048255494518641126,1400,0.002794951961582446,0.0019695759666711545,0.0008253759949112916
1723046344.4381952,651.4888706207275,652.1070122718811,79,0.04336317441717453,1539,0.0024838811639344796,0.001746569243988719,0.0007373119199457603
1723046409.075112,716.1259171962738,716.7439291477203,80,0.04031232219514301,1693,0.0020992897639613376,0.0013730437562155565,0.0007262460077457812
1723046480.693592,787.7443194389343,788.3624091148376,81,0.03645566910000163,1863,0.0017532899110807901,0.0011058348610781326,0.0006474550500026576
1723046558.6352167,865.6858825683594,866.3040337562561,82,0.034458718983991665,2049,0.0017183436332865159,0.0011953571163173225,0.0005229865169691933
1723046645.456009,952.5067028999329,953.1248259544373,83,0.03268741225196407,2254,0.0014063326663501566,0.0009329297899709286,0.0004734028763792281
1723046739.8036263,1046.854288816452,1047.4724433422089,84,0.03120229208776077,2479,0.001235640064364633,0.0008198958788803454,0.0004157441854842877
1723046843.8445532,1150.89528799057,1151.5133702754974,85,0.02955927934425563,2727,0.001353140400347397,0.0009669621991672264,0.0003861782011801707
1723046958.5033762,1265.5540328025818,1266.172193288803,86,0.028624331572525863,3000,0.001069719139828726,0.0007142038602008111,0.00035551527962791505
1723047084.7216783,1391.7722823619843,1392.390495300293,87,0.027175696762779332,3299,0.0010646042916149926,0.0007790403040826514,0.00028556398753234124
1723047223.8119152,1530.862586736679,1531.48073220253,88,0.026174957531085858,3629,0.0009938665332357953,0.0006856273375105703,0.00030823919572522506
1723047375.4182646,1682.4689557552338,1683.087081670761,89,0.02590612694911974,3992,0.0008732591839851946,0.0006289854484747609,0.0002442737355104338
1723047542.9834926,1850.0343129634857,1850.6523096561432,90,0.02481285494369183,4391,0.0008600304743557702,0.0006412848791808073,0.0002187455951749629
1723047728.5096512,2035.5603375434875,2036.1784682273865,91,0.024136579822311998,4831,0.0007846358114837735,0.0005538213557362038,0.00023081445574756976
1723047932.3645256,2239.415429830551,2240.033342599869,92,0.023905168186997644,5314,0.0007822241843286228,0.0005909806481673852,0.00019124353616123763
1723048156.5149322,2463.565654039383,2464.1837491989136,93,0.023236415382117463,5845,0.0006710999061026699,0.0004991817091770591,0.00017191819692561076
1723048401.442555,2708.493321657181,2709.1113719940186,94,0.021784868202487095,6429,0.000630371947432206,0.0004728015442641133,0.00015757040316809282
1723048673.705729,2980.7565088272095,2981.3745460510254,95,0.02154176269702218,7072,0.0004733688559708561,0.0003373861112977816,0.00013598274467307447
1723048693.1965477,3000.2474641799927,3000.8653647899628,96,0.02093808506600497,7117,0.0005516791394732442,0.0004179350313518502,0.00013374410812139404
