_timestamp,loss_boundary,l2_error,step,time,_runtime,loss_interior,loss,_step
1723045655.2593784,0.28563602544148015,0.6769253818226986,42,2.366955518722534,3.528472423553467,0.023368053948534917,0.30900407939001506,41
1723045655.3287787,0.30507307224172237,0.6084202742292535,46,2.4363913536071777,3.597872734069824,0.022786154955229117,0.3278592271969515,42
1723045655.397967,0.28104221217679737,0.6061225856623412,50,2.5053389072418213,3.6670610904693604,0.022484552764543753,0.3035267649413411,43
1723045655.4805212,0.26476021272982025,0.6659819350909763,55,2.5877649784088135,3.74961519241333,0.021648020543265933,0.2864082332730862,44
1723045655.5823877,0.23306496972902666,0.6924746168444045,61,2.6914610862731934,3.8514816761016846,0.019090300402868094,0.25215527013189476,45
1723045655.685595,0.2350467280119017,0.6323180666644709,67,2.79294490814209,3.9546890258789062,0.01767872639992465,0.25272545441182637,46
1723045655.7845008,0.21666900803852968,0.6159346851917697,73,2.8920681476593018,4.0535948276519775,0.01729583650167678,0.23396484454020644,47
1723045655.918794,0.22260762938183082,0.6142771865236198,81,3.026045560836792,4.187887907028198,0.016470180252696063,0.23907780963452688,48
1723045656.0507307,0.19438068212291246,0.5812741938889263,89,3.1587250232696533,4.319824695587158,0.017826598063256385,0.21220728018616886,49
1723045656.1993043,0.17372559904483864,0.5796253894163325,98,3.3064966201782227,4.468398332595825,0.016399472215549223,0.19012507126038786,50
1723045656.3472686,0.1863360084584534,0.5696578742720569,107,3.4546029567718506,4.616362571716309,0.017708693336199066,0.20404470179465248,51
1723045656.5309892,0.16118509545122045,0.5619175753020144,118,3.6381676197052,4.800083160400391,0.016568262731631096,0.17775335818285154,52
1723045656.7269878,0.14505330136861988,0.5519775428764832,130,3.834404230117798,4.996081829071045,0.014664626982617628,0.15971792835123752,53
1723045656.944777,0.14318883923150347,0.5393500547618314,143,4.05230450630188,5.213871002197266,0.014285467143249905,0.15747430637475338,54
1723045657.1770113,0.14401352162095912,0.5184514382669853,157,4.283392906188965,5.446105241775513,0.013311477188586815,0.15732499880954592,55
1723045657.4181488,0.14291959826221634,0.4859558724528384,172,4.525449275970459,5.687242746353149,0.013074909022549193,0.15599450728476552,56
1723045657.7094512,0.12027486012209204,0.47170818944270065,190,4.816620588302612,5.978545188903809,0.01195004250858725,0.1322249026306793,57
1723045657.9952803,0.10893942705198112,0.4532790527852976,208,5.102258920669556,6.264374256134033,0.012319719312608396,0.12125914636458951,58
