step,_step,loss_interior,loss,_timestamp,time,_runtime,loss_boundary,l2_error
38,38,0.006717723727186399,0.014805739074018439,1715768308.003111,2.897082567214966,6.580857992172241,0.008088015346832041,0.1227785406144621
39,39,0.006919136684189633,0.014479425053642053,1715768308.0376387,2.9315638542175293,6.6153857707977295,0.007560288369452421,0.11198105389671269
40,40,0.006789855574242191,0.013824663434876835,1715768308.0727222,2.966644048690796,6.6504693031311035,0.007034807860634644,0.10883235672048013
42,41,0.006300457640815756,0.012291398304449563,1715768308.1410058,3.0349013805389404,6.718752861022949,0.005990940663633807,0.11197837336100869
46,42,0.004718007934125036,0.009706405942756353,1715768308.2745717,3.16853404045105,6.85231876373291,0.004988398008631317,0.09233899351885501
50,43,0.0041404069839855295,0.0081713319202728,1715768308.4068747,3.3007161617279053,6.98462176322937,0.004030924936287271,0.08521156699292834
55,44,0.003683174395023215,0.006610080136590136,1715768308.5763743,3.4702398777008057,7.154121398925781,0.0029269057415669203,0.06931190833434031
61,45,0.0029522463141016322,0.005070911807478966,1715768308.7768655,3.6707541942596436,7.354612588882446,0.0021186654933773334,0.05127608923709126
67,46,0.001982352762127749,0.0039644503885557115,1715768308.9754424,3.869260549545288,7.553189516067505,0.0019820976264279624,0.05411938177608585
73,47,0.0013566486441591134,0.003048722258458442,1715768309.1677675,4.061645984649658,7.745514631271362,0.0016920736142993285,0.044087781364009836
