l2_error,loss_boundary,loss,_runtime,time,_timestamp,loss_interior,_step,step
0.567622953895261,0.15620828408900816,0.2130383922282483,5.499879360198975,1.795872449874878,1715668086.0017292,0.056830108139240144,42,46
0.5378899998470769,0.16800445735661343,0.2131196938733018,5.532341003417969,1.8283131122589111,1715668086.034191,0.045115236516688355,43,50
0.5393040204416324,0.17719957522702437,0.20334877611495208,5.573621511459351,1.8696608543395996,1715668086.0754714,0.026149200887927722,44,55
0.561539957407367,0.1747046970922406,0.18653966069774508,5.6210854053497314,1.9170894622802734,1715668086.1229353,0.011834963605504498,45,61
0.5717209767272246,0.18617553881102886,0.19450314159641405,5.668054819107056,1.9640212059020996,1715668086.1699047,0.008327602785385184,46,67
0.5655761599649277,0.18202020069807856,0.19231708431640637,5.72588038444519,2.021761655807495,1715668086.2277303,0.010296883618327816,47,73
0.5585996294104794,0.16548642851119721,0.18240332155123745,5.788724899291992,2.0847206115722656,1715668086.2905748,0.01691689304004023,48,81
0.562418017956084,0.16549297088673276,0.18377588955134472,5.8537585735321045,2.149716377258301,1715668086.3556085,0.018282918664611944,49,89
0.5708915466524405,0.1801224901984288,0.19609275726988737,5.923849105834961,2.2198119163513184,1715668086.425699,0.015970267071458565,50,98
0.5538299315636341,0.15106516050111277,0.16673017417665692,5.997170686721802,2.293057918548584,1715668086.4990206,0.01566501367554415,51,107
0.5497399701517065,0.17241504106573974,0.1866735096793138,6.081172943115234,2.3771896362304688,1715668086.5830228,0.014258468613574053,52,118
0.5477692415531822,0.17079250483968816,0.18543051093664586,6.177669048309326,2.473437547683716,1715668086.679519,0.01463800609695771,53,130
0.554338990141147,0.16621828798055618,0.18023805514079944,6.283610105514526,2.5795555114746094,1715668086.78546,0.014019767160243255,54,143
0.5362616676995018,0.15521437185619452,0.1692802830450218,6.391791343688965,2.687727689743042,1715668086.8936412,0.01406591118882726,55,157
0.5374668548263083,0.15453726014796673,0.16675539368356418,6.51283597946167,2.80877423286438,1715668087.0146859,0.01221813353559745,56,172
0.5327449290669055,0.14461729666547968,0.15709250648863113,6.654516696929932,2.950507164001465,1715668087.1563666,0.012475209823151447,57,190
0.5193782472970111,0.13618602058164472,0.14725097922206368,6.79552698135376,3.0915255546569824,1715668087.2973769,0.011064958640418943,58,208
0.503347892652688,0.131367310198496,0.1428206709956876,6.957157611846924,3.2530791759490967,1715668087.4590075,0.011453360797191597,59,229
0.4815321702351726,0.12325675321622662,0.133362179237979,7.137409448623657,3.4333062171936035,1715668087.6392593,0.010105426021752373,60,252
0.4624293210556637,0.11353444775629426,0.12295322370482602,7.330130338668823,3.6260390281677246,1715668087.8319802,0.009418775948531757,61,277
0.44497762897791876,0.09865270895558827,0.10851214943756844,7.551422595977783,3.847172975540161,1715668088.0532725,0.009859440481980172,62,305
0.40205205965258584,0.08479316083184416,0.0960950655294843,7.781994104385376,4.0779128074646,1715668088.283844,0.011301904697640143,63,335
