_timestamp,loss_interior,time,l2_error,loss,step,_step,_runtime,loss_boundary
1715674225.6532836,0.0006484848394744613,7.450015544891357,0.02234894714513109,0.0013188501185475848,20,20,12.331933498382568,0.0006703652790731236
1715674225.9267478,0.0005722587833908663,7.724242925643921,0.02216339128793862,0.001169762772320187,21,21,12.605397701263428,0.0005975039889293208
1715674226.1900232,0.0005325255718775565,7.98676609992981,0.020211855618028244,0.0009753170285511723,22,22,12.868673086166382,0.00044279145667361575
1715674226.4520988,0.0004969678181148776,8.248745441436768,0.018043002590985662,0.0009067211526603066,23,23,13.130748748779297,0.000409753334545429
1715674226.7193546,0.00040994056773036697,8.516838312149048,0.017740395988228574,0.0007281433144086715,24,24,13.398004531860352,0.00031820274667830454
1715674226.9809165,0.00034885581275357995,8.777596473693848,0.016805194544009194,0.0006856701746555808,25,25,13.659566402435303,0.0003368143619020009
1715674227.239792,0.0003053269086262198,9.036521196365356,0.01703364440455275,0.0005849024442843515,26,26,13.918442010879517,0.0002795755356581316
1715674227.500641,0.0002775437060736987,9.297372817993164,0.016989401079863485,0.0005096745671803767,27,27,14.179291009902954,0.00023213086110667798
1715674227.7677104,0.0002526927572118127,9.564910650253296,0.012547053303878678,0.0005071025348551649,28,28,14.446360349655151,0.00025440977764335226
1715674228.0386019,0.00022178296219842495,9.835134506225586,0.012767021519357194,0.0003978224792611404,29,29,14.717251777648926,0.00017603951706271547
1715674228.298435,0.00022551133925438022,10.095152139663696,0.01382192125022432,0.00038615193697811266,30,30,14.977084875106812,0.00016064059772373241
1715674228.5593824,0.00018985625024043928,10.35567855834961,0.010423937831452356,0.00035910832188023196,31,31,15.238032341003418,0.00016925207163979268
1715674228.8217547,0.0001499065711324549,10.618494272232056,0.008523560603123087,0.0002536410305896496,32,32,15.500404596328735,0.00010373445945719467
1715674229.0788882,0.0001257096662170472,10.87559986114502,0.008540957164563712,0.00022565355249069087,33,33,15.757538080215454,9.994388627364367e-05
1715674229.3485868,9.839056470189279e-05,11.146073579788208,0.007228574141989309,0.00018734536161637926,34,34,16.027236700057983,8.895479691448646e-05
1715674229.6113055,7.563119297377354e-05,11.408027172088623,0.006990692520423086,0.00013232146817604293,35,35,16.289955377578735,5.66902752022694e-05
1715674229.886617,6.212957668508124e-05,11.68409776687622,0.005719066799164269,0.00011644307631822565,36,36,16.565266847610474,5.4313499633144414e-05
1715674230.1482368,5.095960448637021e-05,11.944914102554321,0.005394167896323299,8.724080446341216e-05,37,37,16.826886653900146,3.628119997704195e-05
1715674230.4084995,4.2352507915566163e-05,12.205039501190186,0.004312561819632915,7.215249081055336e-05,38,38,17.087149381637573,2.9799982894987192e-05
1715674230.6747,2.8948268925149485e-05,12.471413135528564,0.0040133195479588385,5.27567129154891e-05,39,39,17.353349924087524,2.3808443990339614e-05
1715674230.937368,2.4578032521543036e-05,12.734006643295288,0.0037136469405509263,4.147338529918106e-05,40,40,17.616017818450928,1.6895352777638024e-05
