_timestamp,loss_interior,loss,step,loss_boundary,time,_runtime,_step,l2_error
1715623196.5672064,0.04397927236463456,0.05068283685523768,1272,0.006703564490603121,80.99638199806213,86.61099743843079,77,0.08345586455240356
1715623204.2703633,0.02709929149059737,0.03271118267551619,1400,0.005611891184918822,88.69960880279541,94.31415438652039,78,0.07777579572055114
1715623212.6078117,0.012488519884010967,0.017376332800769813,1539,0.004887812916758847,97.03755593299866,102.65160274505615,79,0.07182060473317861
1715623221.8486593,0.05366423957280747,0.05868733173863611,1693,0.005023092165828642,106.27835869789124,111.8924503326416,80,0.07604605806319979
1715623232.0705109,0.014421545554539112,0.017734468593990922,1863,0.0033129230394518113,116.49996209144592,122.11430191993713,81,0.05998368566090247
1715623243.2251787,0.012199213672246599,0.015107911014573714,2049,0.002908697342327114,127.65495157241821,133.26896977424622,82,0.052767031126436104
1715623255.5169756,0.0062951542738080455,0.008715744885700656,2254,0.00242059061189261,139.9462206363678,145.56076669692993,83,0.04815200401953936
1715623268.998061,0.0063539464039363645,0.008264594704921762,2479,0.0019106483009853968,153.4273955821991,159.0418519973755,84,0.04356339877390118
1715623283.858978,0.007180528742744329,0.008871700260550064,2727,0.0016911715178057351,168.28874683380127,173.90276908874512,85,0.042928486570600964
1715623300.2039502,0.0030725239414793083,0.0046009307240903515,3000,0.0015284067826110434,184.6326184272766,190.2477412223816,86,0.03678340325446204
1715623318.1023755,0.0028805906320499906,0.004354085069112735,3299,0.0014734944370627444,202.5316777229309,208.14616656303406,87,0.03533888763474071
1715623337.8736057,0.2600835016381396,0.2656206304180929,3629,0.005537128779953328,222.30307531356812,227.91739678382874,88,0.11521927274815244
1715623359.5860314,0.0018630581942172745,0.0029529668360688934,3992,0.0010899086418516186,244.0157175064087,249.6298224925995,89,0.030392150117562522
1715623383.4963353,0.00907464847095199,0.010092876911493229,4391,0.0010182284405412384,267.92628383636475,273.54012632369995,90,0.032960340463765274
1715623409.8328555,0.008403677053929472,0.009430747655913386,4831,0.0010270706019839143,294.26266622543335,299.8766465187073,91,0.032606561782754395
1715623438.8173308,0.011122624054498058,0.01205768371690467,5314,0.0009350596624066121,323.24700117111206,328.8611218929291,92,0.029940782907297944
1715623470.6206124,0.002113704373707512,0.002748201492153952,5845,0.0006344971184464401,355.050585269928,360.6644034385681,93,0.024243395587799407
1715623505.6692564,0.005690731523132909,0.006337719387388435,6429,0.0006469878642555266,390.0987286567688,395.71304750442505,94,0.024572912472303834
1715623544.1644363,0.0009591256316735013,0.001543813696410963,7072,0.0005846880647374618,428.59353041648865,434.20822739601135,95,0.021094646387011282
