time,loss_interior,_runtime,_timestamp,_step,step,l2_error,loss_boundary,loss
204.837158203125,9.081486470173479e-05,208.66859197616577,1715445680.497215,41,42,0.008780958422389145,8.637767622936282e-05,0.0001771925409310976
225.0669310092926,8.163062209337133e-05,228.89808225631714,1715445700.7267053,42,46,0.007913470586095718,6.483496769587829e-05,0.0001464655897892496
245.25958013534546,7.681309313708784e-05,249.09079098701477,1715445720.919414,43,50,0.007247270109370181,6.455669110694145e-05,0.00014136978424402928
270.43419313430786,6.311180844458448e-05,274.26557540893555,1715445746.0941985,44,55,0.007301864375166627,5.094925405792457e-05,0.00011406106250250905
300.6864740848541,5.781788592919587e-05,304.51767468452454,1715445776.3462977,45,61,0.00687032601143044,4.9573696857237836e-05,0.0001073915827864337
330.92115664482117,5.045199737563063e-05,334.75253462791443,1715445806.5811577,46,67,0.006831034731387137,4.2492848049241676e-05,9.29448454248723e-05
361.1439025402069,4.199354062807093e-05,364.97541213035583,1715445836.8040352,47,73,0.006200970322488735,3.49180171455707e-05,7.691155777364163e-05
401.58858704566956,3.360196379843527e-05,405.4198582172394,1715445877.2484813,48,81,0.005647236802246192,3.121509447008801e-05,6.481705826852328e-05
442.096967458725,3.110966485033997e-05,445.92852425575256,1715445917.7571473,49,89,0.005109261116626678,2.482533316411961e-05,5.593499801445958e-05
487.67268657684326,2.4547975163717456e-05,491.50423526763916,1715445963.3328583,50,98,0.004245675364186324,1.8086877093984877e-05,4.263485225770233e-05
533.1312804222107,2.1441264917530834e-05,536.9628229141235,1715446008.791446,51,107,0.003945741665721935,1.4763683034345942e-05,3.620494795187678e-05
588.7051291465759,1.7191119276191217e-05,592.5367240905762,1715446064.3653471,52,118,0.0038435983259660677,1.2460111234434945e-05,2.9651230510626162e-05
649.401957988739,1.3805653380794538e-05,653.233510017395,1715446125.062133,53,130,0.003754190989746467,1.6343111236313267e-05,3.0148764617107805e-05
715.0653173923492,1.0219654791038962e-05,718.8968341350555,1715446190.7254572,54,143,0.003389703326562382,1.1249296185188096e-05,2.1468950976227058e-05
785.9703915119171,8.702753362725111e-06,789.8019495010376,1715446261.6305726,55,157,0.0031325858191516833,1.1682705638919466e-05,2.0385459001644577e-05
861.8452677726746,7.270502048969593e-06,865.6767642498016,1715446337.5053873,56,172,0.002835792404911666,7.903513985499641e-06,1.5174016034469234e-05
952.6767086982727,6.166257337598585e-06,956.5082306861877,1715446428.3368537,57,190,0.0026054789842195683,5.636350942344515e-06,1.18026082799431e-05
1043.5167455673218,5.2185960008908595e-06,1047.3482851982117,1715446519.1769083,58,208,0.0025932561124150555,6.210800810855989e-06,1.1429396811746847e-05
1149.7205138206482,5.051577626495713e-06,1153.5520045757294,1715446625.3806276,59,229,0.002422485510263424,5.746173316082124e-06,1.0797750942577837e-05
1266.093388557434,4.510862008397759e-06,1269.9249286651611,1715446741.7535517,60,252,0.002360340352954971,5.223258938509211e-06,9.73412094690697e-06
1392.5025930404663,4.077759258166292e-06,1396.334140777588,1715446868.1627638,61,277,0.0022350110154259442,5.261440013215482e-06,9.339199271381775e-06
1534.1927931308746,3.960547700227575e-06,1538.0243287086487,1715447009.8529518,62,305,0.0022062079560899624,4.402443069663186e-06,8.36299076989076e-06
1685.8792595863342,3.4103120829843384e-06,1689.710764169693,1715447161.5393872,63,335,0.0021108648623738915,4.531871434495769e-06,7.942183517480109e-06
1857.561531305313,3.353818417942982e-06,1861.3930537700653,1715447333.2216768,64,369,0.0019889887962066715,3.620126862423761e-06,6.973945280366743e-06
2044.4476985931396,3.1638932722286198e-06,2048.279304265976,1715447520.1079273,65,406,0.0018665299318777495,2.8849306682627526e-06,6.048823940491373e-06
2246.5020747184753,2.9783944748919996e-06,2250.3335840702057,1715447722.1622071,66,446,0.0018039797056949858,3.3280624305762554e-06,6.3064569054682554e-06
2473.843348264694,2.967599158148322e-06,2477.6758806705475,1715447949.5045037,67,491,0.0017425598657501021,3.4542012633394933e-06,6.421800421487815e-06
2721.3315858840942,2.8154514366582407e-06,2725.1631767749786,1715448196.9917998,68,540,0.0016699274392133847,3.0103241408252745e-06,5.825775577483515e-06
2994.1603269577026,2.5074657994801913e-06,2997.9918506145477,1715448469.8204737,69,594,0.0017331023652556784,3.1089464184318966e-06,5.6164122179120875e-06
3004.3135347366333,2.2718951068829023e-06,3008.144863128662,1715448479.9734862,70,596,0.0016355800313300793,3.0622659708340982e-06,5.3341610777170005e-06
