loss_boundary,time,_step,step,_timestamp,_runtime,l2_error,loss_interior,loss
0.021170500672652217,41.37036180496216,43,50,1715599653.9615362,45.31820821762085,0.14773505755321273,0.08226796840435391,0.10343846907700613
0.017165398870509333,45.20174288749695,44,55,1715599657.792644,49.14931607246399,0.13497100096033954,0.05600775812800507,0.0731731569985144
0.012968496161142038,49.79591226577759,45,61,1715599662.3867621,53.74343419075012,0.11652750042617749,0.03535922273831692,0.04832771889945896
0.0099113696797676,54.38582372665405,46,67,1715599666.9767048,58.33337688446045,0.10095973229021188,0.024316256248694695,0.03422762592846229
0.007107934150703953,58.98064661026001,47,73,1715599671.5717843,62.92845630645752,0.08570631797387382,0.014826340142143346,0.0219342742928473
0.0045305889571492135,65.10598373413086,48,81,1715599677.6972697,69.05394172668457,0.06633542041194394,0.008788555008362892,0.013319143965512106
0.0031085553100782632,71.2230122089386,49,89,1715599683.8139558,75.17062783241272,0.056199317486079495,0.0046860496148744745,0.007794604924952738
0.002626057503890441,78.08884048461914,50,98,1715599690.6797948,82.03646683692932,0.051927110689523846,0.003208504367236233,0.005834561871126674
0.0022883348375419637,84.97601914405823,51,107,1715599697.5672255,88.92389750480652,0.0478307227148551,0.0033615977576133094,0.005649932595155273
0.0017231428270082238,93.36828899383545,52,118,1715599705.9592927,97.3159646987915,0.04440039367702505,0.0017184771987952523,0.003441620025803476
0.001298250445468147,102.52117037773132,53,130,1715599715.112129,106.46880102157593,0.03887895580012864,0.001049098771932359,0.002347349217400506
0.0007873143480784312,112.4417679309845,54,143,1715599725.033009,116.38968110084534,0.031594218024287,0.0006581081579226665,0.0014454225060010978
0.0004843165259376481,123.12463736534119,55,157,1715599735.7156792,127.0723512172699,0.024332650692611927,0.00043307978750057664,0.0009173963134382247
0.00029942267860237306,134.56024932861328,56,172,1715599747.1513407,138.50801277160645,0.019632000576713864,0.00027480913599715943,0.0005742318145995325
0.00020006455393682522,148.2803235054016,57,190,1715599760.8716254,152.22829747200012,0.01638348931726408,0.00017795783108983046,0.0003780223850266557
0.00023996720414227326,162.01313090324402,58,208,1715599774.6042116,165.96088361740112,0.014076515079685353,0.00024069083356891355,0.00048065803771118684
0.00014838282046386725,178.01273560523987,59,229,1715599790.6037607,181.96043276786804,0.012367775498209728,9.48665990681545e-05,0.00024324941953202174
9.587373249177086e-05,195.53126621246338,60,252,1715599808.1225755,199.47924757003784,0.010966044267611403,4.64798298463507e-05,0.00014235356233812155
7.388266361887042e-05,214.56812071800232,61,277,1715599827.159165,218.51583695411682,0.010262981275892577,2.8421779311611985e-05,0.00010230444293048241
0.00010787986160411126,235.90524744987488,62,305,1715599848.4966576,239.8533296585083,0.009540839337261922,5.5746591815474764e-05,0.00016362645341958602
6.534087819522697e-05,258.7496716976166,63,335,1715599871.34072,262.6973919868469,0.008820304559967835,1.959259129386636e-05,8.493346948909334e-05
4.906207328993914e-05,284.626184463501,64,369,1715599897.217616,288.5742881298065,0.008324946553221881,1.2564827522601172e-05,6.16269008125403e-05
6.693714964018986e-05,312.815066576004,65,406,1715599925.4061363,316.7628083229065,0.00791180611558325,3.2902783215205776e-05,9.983993285539564e-05
3.925247796348927e-05,343.2728319168091,66,446,1715599955.8641143,347.2207863330841,0.007175019177873154,9.041495578006216e-06,4.8293973541495486e-05
2.8998025197438865e-05,377.5404794216156,67,491,1715599990.1317995,381.4884715080261,0.0067962614290671755,5.921518260451035e-06,3.49195434578899e-05
3.311317754491813e-05,414.86912655830383,68,540,1715600027.460458,418.81713008880615,0.0064126809714896175,6.4155268548777e-06,3.9528704399795835e-05
2.1363819938041456e-05,455.99756479263306,69,594,1715600068.5889132,459.9455852508545,0.00583870062998252,4.0138859475841535e-06,2.537770588562561e-05
1.9852561607722874e-05,500.91703724861145,70,653,1715600113.5083644,504.86503648757935,0.005039324110576184,4.018713770566211e-06,2.3871275378289083e-05
2.2680479111652122e-05,550.4761958122253,71,718,1715600163.0676172,554.424289226532,0.0046312386684421855,6.061030465318452e-06,2.8741509576970574e-05
1.1928949891450755e-05,605.423912525177,72,790,1715600218.0151584,609.3718304634094,0.00430743815990877,2.697070260706139e-06,1.4626020152156894e-05
1.0601138454402032e-05,665.7464332580566,73,869,1715600278.3379462,669.6946182250977,0.0038786576008357026,2.5575367726502804e-06,1.3158675227052313e-05
1.0580741815149615e-05,732.0983312129974,74,956,1715600344.6897075,736.0463795661926,0.0035742096226063476,2.5876424712033616e-06,1.3168384286352976e-05
9.38077205071082e-06,805.2970564365387,75,1052,1715600417.8884344,809.2451064586639,0.003237100883168252,2.3042651788895445e-06,1.1685037229600364e-05
7.5930990823706515e-06,885.3569624423981,76,1157,1715600497.948299,889.3049709796906,0.0029763320477120886,2.187469981821173e-06,9.780569064191824e-06
5.367394866423743e-06,973.0301282405853,77,1272,1715600585.6216142,976.9782862663269,0.0026858198662878946,1.6676719108621503e-06,7.035066777285893e-06
5.906199715165575e-06,1070.6462452411652,78,1400,1715600683.2376318,1074.5943038463593,0.0024241874362340137,1.0689271194246593e-05,1.659547090941217e-05
4.366550912516275e-06,1176.6237378120422,79,1539,1715600789.2150524,1180.5717244148254,0.0021486436070572066,1.670270256145204e-06,6.036821168661479e-06
2.6440850864153097e-06,1294.0376608371735,80,1693,1715600906.629013,1297.9856851100922,0.0018788434150785452,1.1392688733556296e-06,3.7833539597709393e-06
2.543614686622817e-06,1423.9092559814453,81,1863,1715601036.5006692,1427.8573412895203,0.0017094404908720433,1.1777929261895917e-06,3.721407612812409e-06
2.0450805463325126e-06,1566.1541237831116,82,2049,1715601178.7455728,1570.1022448539734,0.0015284976337858463,1.1590891153985388e-06,3.2041696617310514e-06
1.850440120587721e-06,1722.9479384422302,83,2254,1715601335.539504,1726.8961760997772,0.0014059286202249784,1.047952042878239e-06,2.89839216346596e-06
1.3575073423671615e-06,1895.0098295211792,84,2479,1715601507.6013505,1898.958022594452,0.0012951410002824133,9.350358415971954e-07,2.292543183964357e-06
1.5271600873044445e-06,2084.6952142715454,85,2727,1715601697.2867386,2088.643410682678,0.0011582343698575866,1.0144095876333792e-06,2.5415696749378237e-06
1.4680629563150053e-06,2293.441795349121,86,3000,1715601906.0334287,2297.3901007175446,0.0011014810022040387,4.28638444497647e-06,5.754447401291475e-06
8.277648067469151e-07,2522.0829405784607,87,3299,1715602134.6753168,2526.0319888591766,0.0010303254728139715,5.327534183703403e-07,1.3605182251172555e-06
9.632882832612342e-07,2774.535994529724,88,3629,1715602387.1276007,2778.4842727184296,0.0009146400471444373,7.86830514207418e-07,1.7501187974686522e-06
8.669441047792189e-07,3000.2286875247955,89,3924,1715602612.8201473,3004.1768193244934,0.0008484590211303807,7.962293882599434e-07,1.6631734930391623e-06
