time,_timestamp,loss,step,_runtime,l2_error,loss_boundary,loss_interior,_step
22.46088147163391,1715601507.110358,0.8356136230214666,50,26.221914052963257,0.33648563040306456,0.09026926161365538,0.7453443614078112,43
24.4366295337677,1715601509.0860636,0.5427676678354574,55,28.197619676589966,0.2985432639687688,0.07314933533511296,0.46961833250034446,44
26.80716896057129,1715601511.4567192,0.2936273694080102,61,30.568275213241577,0.26389322424099215,0.058697803505571515,0.23492956590243871,45
29.173941135406494,1715601513.8235865,0.16006832640180071,67,32.935142517089844,0.24834881981779006,0.05197587575910569,0.10809245064269501,46
31.53881573677063,1715601516.1883655,0.11942583262381287,73,35.29992151260376,0.234956012923536,0.04768633417025558,0.0717394984535573,47
34.685545206069946,1715601519.3349369,0.08505229187443183,81,38.44649291038513,0.21035269304766874,0.03757993930202218,0.04747235257240966,48
37.832311153411865,1715601522.4817224,0.061516963253032075,89,41.59327840805054,0.18780307402518792,0.03009296332686257,0.03142399992616951,49
41.3728449344635,1715601526.0222259,0.042371087364302444,98,45.13378190994263,0.15774323343681365,0.021124550608962053,0.02124653675534039,50
44.9256386756897,1715601529.5751657,0.03307982069693873,107,48.68672180175781,0.13239841631822533,0.013898692719573152,0.01918112797736558,51
49.257272720336914,1715601533.9069686,0.019054375300536632,118,53.01852464675903,0.10910801857472174,0.00901229424426112,0.010042081056275512,52
53.975759506225586,1715601538.6252823,0.011193649910485548,130,57.73683834075928,0.0895578294440631,0.006195835603980204,0.004997814306505344,53
59.08090782165527,1715601543.7303708,0.006612519439040702,143,62.84192681312561,0.07233808188328901,0.003981946825842062,0.0026305726131986393,54
64.57666730880737,1715601549.2260895,0.004015643830583502,157,68.33764553070068,0.0568888224653746,0.002395703749155365,0.0016199400814281373,55
70.47126317024231,1715601555.1209397,0.0023536877100526305,172,74.23249578475952,0.04337220867984459,0.0013064341364237824,0.0010472535736288481,56
77.54126501083374,1715601562.1907754,0.0011748530304988322,190,81.30233144760132,0.028720332155727002,0.0005340396855734748,0.0006408133449253574,57
84.61570286750793,1715601569.2651544,0.001085876473505787,208,88.37671041488647,0.019151081726958098,0.00037110559626223993,0.000714770877243547,58
92.84649133682251,1715601577.4959528,0.0004220574179505921,229,96.60750889778137,0.012694286901857324,0.00014260847262835124,0.00027944894532224085,59
101.85715079307556,1715601586.5069141,0.00019351464019843112,252,105.61847019195557,0.00935311272177721,6.499133928643299e-05,0.00012852330091199813,60
111.65731501579285,1715601596.3067198,0.00010581515600243394,277,115.41827583312988,0.008190655463628247,3.9196780745209256e-05,6.661837525722469e-05,61
122.63974094390869,1715601607.2892206,0.00023429527722616168,305,126.40077662467957,0.007113680494396101,5.579153201631452e-05,0.00017850374520984717,62
134.38072323799133,1715601619.0304892,8.777183303903323e-05,335,138.1420452594757,0.0061232955313112545,3.13644731667154e-05,5.6407359872317835e-05,63
147.65526580810547,1715601632.304804,4.459851041908314e-05,369,151.4163601398468,0.0051360292392943615,1.827600450175063e-05,2.6322505917332512e-05,64
162.10326194763184,1715601646.7530057,9.48529424716079e-05,406,165.86456179618835,0.004249710849313435,1.9190306566643068e-05,7.566263590496483e-05,65
177.7103407382965,1715601662.3598397,2.6432247464931617e-05,446,181.4713957309723,0.003952498948276816,1.0014905047499158e-05,1.641734241743246e-05,66
195.2615373134613,1715601679.9109092,1.3184714257396536e-05,491,199.02246522903442,0.0036488149730390983,5.586896975605426e-06,7.59781728179111e-06,67
214.3991470336914,1715601699.0487895,2.2546155719071383e-05,540,218.1603455543518,0.0033309707063779964,1.0298016444393109e-05,1.2248139274678276e-05,68
235.4842085838318,1715601720.1335807,9.853726235434996e-06,594,239.2451367378235,0.002859503502719487,4.664172875100363e-06,5.189553360334633e-06,69
258.53796124458313,1715601743.1876748,9.210729834461836e-06,653,262.2992308139801,0.002185740548514729,4.157284350866233e-06,5.053445483595603e-06,70
283.91282320022583,1715601768.5622952,1.3278067619556622e-05,718,287.6738512516022,0.0018877873234563038,4.184651956079987e-06,9.093415663476635e-06,71
312.03309059143066,1715601796.6828015,3.5493847786087294e-06,790,315.79435753822327,0.0016066165853376797,1.3205817653624383e-06,2.228803013246291e-06,72
342.84601163864136,1715601827.4954424,3.844869276226595e-06,869,346.6069984436035,0.001385307169440673,1.4748886348377655e-06,2.3699806413888298e-06,73
376.7759597301483,1715601861.4256146,3.835627296669438e-06,956,380.53717064857483,0.0012023476546550067,1.2180901920026402e-06,2.6175371046667977e-06,74
414.2078769207001,1715601898.8574965,3.041100846173845e-06,1052,417.9690525531769,0.0010889831964631814,9.750352725380354e-07,2.0660655736358096e-06,75
455.15205121040344,1715601939.8017309,2.4432055536608923e-06,1157,458.9132869243622,0.0009947449183734787,7.411418790929554e-07,1.702063674567937e-06,76
499.95287585258484,1715601984.602504,1.8049631721326857e-06,1272,503.7140600681305,0.0008715537438374531,5.758162643032825e-07,1.2291469078294032e-06,77
549.7871663570404,1715602034.4367738,2.999710295492329e-05,1400,553.5483298301697,0.0007714249710200253,7.360319370782987e-07,2.9261071017844993e-05,78
603.8563811779022,1715602088.505986,2.1567847853128796e-06,1539,607.6175420284271,0.0007129386464125133,5.145869472104423e-07,1.6421978381024373e-06,79
663.7715678215027,1715602148.422147,1.101324442037459e-06,1693,667.5337030887604,0.0006496645303315922,3.0265072837035417e-07,7.986737136671048e-07,80
729.9568409919739,1715602214.6065044,1.3473625708633756e-06,1863,733.7180604934692,0.0006087269762253439,3.201121670910503e-07,1.0272504037723254e-06,81
802.3536283969879,1715602287.0033917,1.3045696352604885e-06,2049,806.1149477958679,0.0005504230406968947,3.2144252357656367e-07,9.831271116839248e-07,82
882.1366605758667,1715602366.7863152,1.0717779891122411e-06,2254,885.8978712558746,0.0004977398174237366,2.494371738594461e-07,8.223408152527951e-07,83
969.7601382732391,1715602454.4097884,8.351328949131944e-07,2479,973.5213444232941,0.0004481980604180278,1.8881613925965053e-07,6.463167556535439e-07,84
1066.3087730407715,1715602550.9584692,1.1344243786428616e-06,2727,1070.0700252056122,0.00042173117131707024,2.1987876430631493e-07,9.145456143365467e-07,85
1172.5917806625366,1715602657.2414267,8.148956784386185e-06,3000,1176.3529827594757,0.0003972277543399559,2.5601728232257754e-07,7.892939502063608e-06,86
1288.9912354946136,1715602773.6409698,4.168072649158434e-07,3299,1292.752525806427,0.00037784819098951816,9.3193663592692e-08,3.236136013231514e-07,87
1417.4591689109802,1715602902.1088629,9.23244045095074e-07,3629,1421.2204189300537,0.00033173652584139556,1.293549339016819e-07,7.93889111193392e-07,88
1558.7693221569061,1715603043.4190147,3.6644639941076144e-07,3992,1562.5305707454681,0.00032363444412684256,6.905510810068648e-08,2.9739129131007496e-07,89
1714.1612257957458,1715603198.8108547,4.312932496240993e-07,4391,1717.9224107265472,0.00030789739235579646,7.53325100798864e-08,3.559607395442129e-07,90
1885.716222524643,1715603370.3658957,5.287322009794761e-07,4831,1889.4774518013,0.0002578468206857293,7.368833074851211e-08,4.5504387023096395e-07,91
2073.860458612442,1715603558.5101962,8.962804347957877e-07,5314,2077.6217522621155,0.00024144801581499635,8.319228964521392e-08,8.130881451505738e-07,92
2280.5774857997894,1715603765.227163,3.699971734195148e-07,5845,2284.3387191295624,0.00022355302641104577,5.272827128278597e-08,3.172689021367288e-07,93
2507.902738571167,1715603992.552384,4.2570784179481323e-07,6429,2511.6639399528503,0.00019566142761977506,5.4111970185459345e-08,3.715958716093539e-07,94
2758.172517299652,1715604242.8221714,2.1542937370208617e-07,7072,2761.933727502823,0.00018612257605173145,3.089535597904005e-08,1.8453401772304613e-07,95
3000.2773401737213,1715604484.9269593,1.7852127441511693e-07,7694,3004.038515329361,0.00017338208691050153,2.66262337267481e-08,1.5189504068836884e-07,96
