step,time,l2_error,loss,arm,system,seed,lr,damping,momentum,norm_constraint,num_seconds,equation
17,125.83557629585266,0.5028880163221702,0.22673123762694397,engdw,heat4,3,,,,,3000,heat
18,132.88417196273804,0.4528796713753735,0.17972271774339704,engdw,heat4,3,,,,,3000,heat
19,139.86916494369507,0.40780099220185667,0.14490662448418007,engdw,heat4,3,,,,,3000,heat
20,146.91975712776184,0.3672675360860247,0.11508631189638721,engdw,heat4,3,,,,,3000,heat
21,153.95041704177856,0.3308052872779749,0.09539390988939819,engdw,heat4,3,,,,,3000,heat
22,161.02091360092163,0.29799404945022073,0.0799539032300368,engdw,heat4,3,,,,,3000,heat
23,168.0534906387329,0.26835473941697463,0.06341983638108463,engdw,heat4,3,,,,,3000,heat
24,175.1309289932251,0.2416933526307916,0.05147251544164423,engdw,heat4,3,,,,,3000,heat
25,182.17945504188538,0.21769637791178642,0.041461771119134176,engdw,heat4,3,,,,,3000,heat
26,189.22214889526367,0.19602488016632846,0.03363887412683657,engdw,heat4,3,,,,,3000,heat
27,196.26657009124756,0.1765864540372966,0.027320821641433738,engdw,heat4,3,,,,,3000,heat
28,203.35940432548523,0.1590557005088504,0.02196671878662181,engdw,heat4,3,,,,,3000,heat
29,210.50275301933289,0.14328227399255813,0.018455480825748067,engdw,heat4,3,,,,,3000,heat
30,217.63883304595947,0.12907944613281716,0.014705815720066002,engdw,heat4,3,,,,,3000,heat
31,224.76186513900757,0.11626744527091881,0.011774065323037104,engdw,heat4,3,,,,,3000,heat
32,231.8870449066162,0.10473143104551232,0.009722619115607005,engdw,heat4,3,,,,,3000,heat
33,239.02203226089478,0.09433437010840266,0.007872353586866903,engdw,heat4,3,,,,,3000,heat
34,246.18303108215332,0.08498683558900207,0.006449739834282645,engdw,heat4,3,,,,,3000,heat
35,253.36713814735413,0.07654434641445655,0.00526645891062872,engdw,heat4,3,,,,,3000,heat
36,260.54733419418335,0.0689505655735217,0.004115819036300079,engdw,heat4,3,,,,,3000,heat
37,267.7363016605377,0.062092510214818854,0.0032984803859229853,engdw,heat4,3,,,,,3000,heat
38,274.93123722076416,0.055928066255728014,0.0027755866810663253,engdw,heat4,3,,,,,3000,heat
39,282.12053966522217,0.05037188289173423,0.0021860034511029056,engdw,heat4,3,,,,,3000,heat
40,289.30100560188293,0.04536139766039369,0.0018130846966829645,engdw,heat4,3,,,,,3000,heat
42,303.65702629089355,0.0368098906075408,0.0011806203753567737,engdw,heat4,3,,,,,3000,heat
46,332.3829686641693,0.02422458378384356,0.0005231598315560905,engdw,heat4,3,,,,,3000,heat
50,361.11046504974365,0.015960202391390614,0.0002254506024951198,engdw,heat4,3,,,,,3000,heat
55,396.9762616157532,0.009455605053338116,7.940246861382035e-05,engdw,heat4,3,,,,,3000,heat
61,440.0711588859558,0.005047126814429233,2.2665846882567895e-05,engdw,heat4,3,,,,,3000,heat
67,483.11392641067505,0.002689745080386436,6.571491671984327e-06,engdw,heat4,3,,,,,3000,heat
73,526.0861895084381,0.0014424184441571707,1.855544570044517e-06,engdw,heat4,3,,,,,3000,heat
81,583.2627410888672,0.0006223531848323016,3.468515076542207e-07,engdw,heat4,3,,,,,3000,heat
89,640.5922031402588,0.0002704938942997505,7.258282464804672e-08,engdw,heat4,3,,,,,3000,heat
98,704.929461479187,0.00011291816982926551,1.7052835920560318e-08,engdw,heat4,3,,,,,3000,heat
107,769.2243099212646,5.2998716599876324e-05,5.714456041361503e-09,engdw,heat4,3,,,,,3000,heat
118,847.9224102497101,3.6644246262732134e-05,3.1380988545870935e-09,engdw,heat4,3,,,,,3000,heat
130,933.8297870159149,3.057482331970003e-05,2.221188617093585e-09,engdw,heat4,3,,,,,3000,heat
143,1026.883574962616,2.713573711828878e-05,1.9255128510047213e-09,engdw,heat4,3,,,,,3000,heat
157,1126.947321176529,2.5955122281105002e-05,2.0208508343771167e-09,engdw,heat4,3,,,,,3000,heat
172,1234.204223394394,2.4395858466037083e-05,2.093549799011303e-09,engdw,heat4,3,,,,,3000,heat
190,1362.6595339775085,2.160208566637264e-05,1.2781197191557101e-09,engdw,heat4,3,,,,,3000,heat
208,1491.2769567966461,1.9973425663796515e-05,1.0990818058958397e-09,engdw,heat4,3,,,,,3000,heat
