loss,l2_error,_runtime,_timestamp,loss_boundary,step,loss_interior,time,_step
0.08191913559216599,0.2429317507516154,6.209676265716553,1715522633.1435902,0.07888084206748053,42,0.0030382935246854635,2.1563525199890137,41
0.07666241259425775,0.22325856576087547,6.276097536087036,1715522633.2100115,0.07526012459940984,46,0.0014022879948479173,2.223762273788452,42
0.07440667223581225,0.17574228586223967,6.3424341678619385,1715522633.276348,0.05945429948105,50,0.01495237275476225,2.2892417907714844,43
0.07176725068345322,0.22741463977943388,6.4243083000183105,1715522633.3582222,0.06399553814723782,55,0.007771712536215393,2.371799945831299,44
0.07960555976263382,0.22510037798540525,6.51961350440979,1715522633.4535275,0.0784168293089644,61,0.0011887304536694176,2.468010902404785,45
0.06995089579047005,0.22076738358099343,6.614196062088013,1715522633.54811,0.06951100066541034,67,0.0004398951250597072,2.560793399810791,46
0.0693027846396114,0.19013259152847858,6.708040714263916,1715522633.6419547,0.058584521216374565,73,0.010718263423236833,2.6544318199157715,47
0.06763954074275073,0.23806237028883176,6.8344175815582275,1715522633.7683315,0.06676168407377378,81,0.0008778566689769501,2.780834436416626,48
0.06554751340232139,0.17692802827826415,6.95426607131958,1715522633.88818,0.05577865062081634,89,0.009768862781505044,2.9003586769104004,49
0.048395384442470726,0.18892448978109275,7.087508678436279,1715522634.0214226,0.04186205271990769,98,0.006533331722563033,3.033785820007324,50
0.04041588915515846,0.1920521562372771,7.221159219741821,1715522634.1550732,0.02887733829359076,107,0.011538550861567702,3.1674857139587402,51
0.0330070070013441,0.12646540836284154,7.383825778961182,1715522634.3177397,0.02515682355013008,118,0.007850183451214025,3.3300869464874268,52
0.03277169153676824,0.13349497914088,7.571502923965454,1715522634.5054169,0.027210853174947414,130,0.005560838361820825,3.518012762069702,53
0.01813422054491668,0.10782000914931261,7.767959356307983,1715522634.7018733,0.013975867752196785,143,0.004158352792719897,3.714099884033203,54
0.017270969878180137,0.07565438774634249,7.973016738891602,1715522634.9069307,0.014034686339539536,157,0.0032362835386406017,3.9192142486572266,55
0.010150883625301954,0.0645599009114333,8.202459812164307,1715522635.1363738,0.004911045483350258,172,0.005239838141951695,4.149708271026611,56
0.009671714120636391,0.05411726975379369,8.471771478652954,1715522635.4056854,0.005968374071563144,190,0.0037033400490732483,4.417832374572754,57
0.007980478789143318,0.054869274397250055,8.734610319137573,1715522635.6685243,0.003689741818152933,208,0.004290736970990384,4.680668354034424,58
0.006352315032762784,0.051855284068344096,9.052377939224243,1715522635.986292,0.004482027320096267,229,0.0018702877126665167,4.999229431152344,59
0.0030645567445123706,0.03973251957502526,9.399936437606812,1715522636.3338504,0.0021597995329168335,252,0.0009047572115955373,5.347898960113525,60
0.001662733879601479,0.05780282639284233,9.781560897827148,1715522636.7154748,0.0005483561676662407,277,0.0011143777119352384,5.729503870010376,61
0.0012415347753501216,0.05283999769857588,10.192596912384033,1715522637.1265109,0.0005380041840367666,305,0.0007035305913133549,6.138627290725708,62
0.0006460556143887867,0.05058242096799064,10.629526376724243,1715522637.5634403,0.0002973798352552332,335,0.00034867577913355347,6.576495885848999,63
0.0003440380300327885,0.042423473481597924,11.139031648635864,1715522638.0729456,0.00011112008983821051,369,0.00023291794019457797,7.0854103565216064,64
0.0004466114803383637,0.022684777369170964,11.666522026062012,1715522638.600436,0.0003233118459428211,406,0.0001232996343955426,7.612515211105347,65
0.0004288274898189143,0.012078212864205122,12.239195823669434,1715522639.1731098,0.00027376732054637456,446,0.00015506016927253972,8.185146808624268,66
0.00022078363422217587,0.010684540373652364,12.893229246139526,1715522639.8271432,0.00014133400003533497,491,7.94496341868409e-05,8.840386867523193,67
7.527503989993778e-05,0.010712783913159427,13.62584114074707,1715522640.559755,2.358563479778461e-05,540,5.168940510215317e-05,9.571955680847168,68
8.928301085827801e-05,0.006752313753987885,14.397561073303223,1715522641.331475,6.048536428001334e-05,594,2.8797646578264673e-05,10.34361481666565,69
3.212061366216779e-05,0.007123167046807141,15.248929500579834,1715522642.1828434,8.763773519555028e-06,653,2.3356840142612765e-05,11.19509243965149,70
2.120058768542396e-05,0.005235717586857574,16.199990272521973,1715522643.1339042,7.6092787748125236e-06,718,1.3591308910611437e-05,12.146240949630737,71
1.2501006164911613e-05,0.0027899895829945763,17.23703670501709,1715522644.1709507,4.948702087641385e-06,790,7.552304077270229e-06,13.182949781417847,72
6.028420141315532e-06,0.0022195635892118377,18.35923171043396,1715522645.2931457,6.825480644715005e-07,869,5.345872076844032e-06,14.305514574050903,73
3.7583126544797565e-06,0.0015484428524669813,19.62262463569641,1715522646.5565386,7.791487969435388e-07,956,2.979163857536218e-06,15.56922960281372,74
3.2228452221456547e-06,0.000856068193848682,21.003585815429688,1715522647.9374998,1.1294792051626428e-06,1052,2.093366016983012e-06,16.949674367904663,75
2.1115757158148312e-06,0.0005858811980691033,22.55748701095581,1715522649.491401,3.9546955732085895e-07,1157,1.7161061584939723e-06,18.503710746765137,76
1.7098748536351545e-06,0.0005582931598820162,24.244333505630493,1715522651.1782475,3.061313618790947e-07,1272,1.4037434917560598e-06,20.19045901298523,77
1.5050978060101022e-06,0.00046231650177243697,26.10213828086853,1715522653.0360522,2.746834704659129e-07,1400,1.2304143355441894e-06,22.048216342926025,78
1.3479924709385115e-06,0.0004250414645656185,28.109495878219604,1715522655.0434098,2.3773712038476876e-07,1539,1.1102553505537427e-06,24.054696083068848,79
1.2127682085964867e-06,0.00038246954016620417,30.334359169006348,1715522657.268273,2.0292501968930569e-07,1693,1.009843188907181e-06,26.280304193496704,80
1.0914526775940886e-06,0.0003544422438349292,32.81699061393738,1715522659.7509046,1.731759520839242e-07,1863,9.182767255101645e-07,28.76314616203308,81
9.798788047736305e-07,0.00032325033334040874,35.51940584182739,1715522662.4533198,1.4638159294419027e-07,2049,8.334972118294402e-07,31.465057611465454,82
8.754478666607672e-07,0.00029298466744295517,38.493255615234375,1715522665.4271696,1.2160795837551543e-07,2254,7.538399082852518e-07,34.439372062683105,83
7.780489196123582e-07,0.00026358053231650356,41.79081606864929,1715522668.72473,9.947124481035751e-08,2479,6.785776748020007e-07,37.739457845687866,84
6.871865210600258e-07,0.0002351581298367851,45.33662247657776,1715522672.2705364,7.993365729887341e-08,2727,6.072528637611524e-07,41.2825813293457,85
6.031326633625487e-07,0.00020778673342274716,49.276819944381714,1715522676.210734,6.302664526631271e-08,3000,5.40106018096236e-07,45.22285342216492,86
5.264606598582525e-07,0.0001817099648079385,53.631184816360474,1715522680.5650988,4.874296723587718e-08,3299,4.777176926223754e-07,49.57865524291992,87
4.567793734519728e-07,0.00015695715922997504,58.44239401817322,1715522685.376308,3.6832862437763705e-08,3629,4.199465110142091e-07,54.389174461364746,88
