step,time,_runtime,_timestamp,loss_boundary,loss_interior,loss,_step,l2_error
35,47.79215693473816,51.581464529037476,1715524806.7917366,3.892182842634593e-07,1.517726738810609e-07,5.409909581445201e-07,35,0.0005493475980272365
36,48.989752769470215,52.77902269363403,1715524807.9892948,3.548055775503513e-07,1.4733804481518164e-07,5.021436223655329e-07,36,0.0005167382124847863
37,50.22852420806885,54.01786231994629,1715524809.2281344,3.2153192702860197e-07,1.4395064132977845e-07,4.654825683583804e-07,37,0.0004825261461612927
38,51.52905535697937,55.31838774681091,1715524810.5286598,2.8793876202236186e-07,1.390018586044972e-07,4.269406206268591e-07,38,0.00044703759995499336
39,52.78451752662659,56.57402968406677,1715524811.7843018,2.546191509349389e-07,1.3254818277674136e-07,3.8716733371168026e-07,39,0.00041534936088575815
40,54.025991439819336,57.8153977394104,1715524813.0256698,2.29604110902808e-07,1.3516414503686086e-07,3.6476825593966884e-07,40,0.000381352869930824
42,58.548117876052856,62.33740162849426,1715524817.5476737,1.7441178228135922e-07,1.320416834859323e-07,3.064534657672915e-07,41,0.0003126489947809763
46,61.35198378562927,65.1412742137909,1715524820.3515463,8.020073502500582e-08,1.2282240461320034e-07,2.0302313963820616e-07,42,0.00018790334311929758
50,64.03326225280762,67.82260060310364,1715524823.0328727,3.449433476419583e-08,1.1037920545282491e-07,1.4487354021702075e-07,43,0.00013779670619776997
55,68.34456872940063,72.13392376899719,1715524827.3441958,1.4768591552268924e-08,8.641686513684996e-08,1.0118545668911889e-07,44,0.00014138766608100663
61,72.33350157737732,76.12278485298157,1715524831.333057,9.442556009619096e-09,6.073038258193021e-08,7.017293859154931e-08,45,0.0001316473945502882
67,80.831627368927,84.62122821807861,1715524839.8315003,8.681314093770816e-09,1.666183675409182e-08,2.5343150847862638e-08,46,0.00010352793548796335
73,94.98976683616638,98.7790744304657,1715524853.9893465,4.604829847832688e-09,5.390462977379184e-09,9.995292825211871e-09,47,5.607538193765571e-05
81,111.6997127532959,115.48934578895569,1715524870.6996179,5.143476949906712e-09,9.220215899849783e-10,6.06549853989169e-09,48,7.668396363984206e-05
89,127.24735593795776,131.0377652645111,1715524886.2480373,2.570107603803838e-09,8.938538667815541e-10,3.4639614705853922e-09,49,5.598809402677945e-05
98,137.54008221626282,141.3296775817871,1715524896.5399497,1.7196950878695662e-09,9.129487256898104e-10,2.6326438135593763e-09,50,5.006865115900037e-05
107,152.82423615455627,156.61360883712769,1715524911.823881,1.5187868659240293e-09,5.818220183556638e-10,2.100608884279693e-09,51,4.472832330696888e-05
118,173.54876565933228,177.33837914466858,1715524932.5486512,5.437621982952131e-10,2.913165399989002e-10,8.350787382941132e-10,52,2.15960521238564e-05
130,197.18002247810364,200.96942496299744,1715524956.179697,1.5864348479513378e-10,1.704337260307438e-10,3.2907721082587754e-10,53,1.0351748853586362e-05
143,217.39883875846863,221.18844509124756,1715524976.3987172,8.123808767000507e-11,1.0826150521022668e-10,1.8949959288023175e-10,54,7.217233996258808e-06
157,244.55773639678955,248.3470859527588,1715525003.557358,8.677983177788782e-11,6.881169828722667e-11,1.555915300651145e-10,55,8.439642193275835e-06
172,272.288471698761,276.0780563354492,1715525031.2883284,8.565417958946176e-11,4.5160498563937535e-11,1.308146781533993e-10,56,9.351379269291761e-06
190,310.2742898464203,314.06390714645386,1715525069.2741792,5.0614635686930266e-11,3.1001586574968824e-11,8.161622226189908e-11,57,6.450360117008365e-06
208,354.2538707256317,358.04351139068604,1715525113.2537835,3.1152157857316374e-11,2.289113903687545e-11,5.4043296894191824e-11,58,5.1387824534306015e-06
229,406.50912141799927,410.2985291481018,1715525165.5088012,1.2478961855516831e-11,1.770616538209223e-11,3.0185127237609065e-11,59,3.7221767325818244e-06
252,481.39513063430786,485.1846990585327,1715525240.3949711,7.608672248453023e-12,1.4799704862466584e-11,2.2408377110919605e-11,60,2.9858639304524315e-06
277,560.0675356388092,563.8572115898132,1715525319.0674837,7.727155656570662e-12,1.2468266874216378e-11,2.0195422530787038e-11,61,2.9081616438179952e-06
305,653.0071744918823,656.7967548370361,1715525412.007027,7.311869370978294e-12,9.903067053508105e-12,1.72149364244864e-11,62,2.9731968846001536e-06
335,766.526398897171,770.3160049915314,1715525525.526277,6.444711396272167e-12,7.488144717693726e-12,1.3932856113965893e-11,63,2.6627280278222107e-06
369,882.4660069942474,886.2556519508362,1715525641.465924,5.7951306600452124e-12,5.729553988307553e-12,1.1524684648352764e-11,64,2.6213986950699353e-06
402,1000.9124958515167,1004.7021186351776,1715525759.9123907,5.242678914242415e-12,4.261106079297868e-12,9.503784993540282e-12,65,2.5451885714802405e-06
