_timestamp,loss_boundary,loss_interior,loss,step,_step,_runtime,time,l2_error
1715765725.125491,0.004445188049297747,0.002820349961502142,0.007265538010799889,46,42,14.838358879089355,11.056994915008545,0.05118412995377777
1715765725.9310496,0.0026545472679779625,0.002177280765981246,0.0048318280339592085,50,43,15.643917560577393,11.862775802612305,0.02697315888034942
1715765726.9270358,0.002245673710899715,0.001624775296985383,0.003870449007885098,55,44,16.639903783798218,12.858850717544556,0.034503317491875865
1715765728.1248913,0.0012997818838424862,0.001108198182305502,0.0024079800661479882,61,45,17.837759256362915,14.05667519569397,0.03506731385244493
1715765729.3220868,0.000967372372732386,0.0006487165323485468,0.0016160889050809328,67,46,19.03495478630066,15.253652334213257,0.02810127310778595
1715765730.5145566,0.0007597157743380237,0.0005500928930331933,0.0013098086673712169,73,47,20.22742462158203,16.446393728256226,0.023067572065406685
1715765732.1054103,0.0004619249372369728,0.0005027678864577217,0.0009646928236946945,81,48,21.818278312683105,18.037133932113647,0.01712450257824417
1715765733.7068932,0.00028488462105432294,0.0002840243018190655,0.0005689089228733885,89,49,23.419761180877686,19.63853931427002,0.016175132247821588
1715765735.5190759,0.0001858171786918178,0.00010179127529759009,0.0002876084539894079,98,50,25.2319438457489,21.45062494277954,0.011081633751944587
1715765737.3166308,9.800762453640694e-05,7.813638589948682e-05,0.00017614401043589375,107,51,27.0294988155365,23.248294830322266,0.010563365212419958
1715765739.5293422,4.7589819959582316e-05,5.341243654544466e-05,0.00010100225650502698,118,52,29.242210149765015,25.46111273765564,0.006216915254343646
1715765741.920867,1.4631286990392554e-05,4.963541361983429e-05,6.426670061022684e-05,130,53,31.633734941482544,27.852328062057495,0.0036162427033440084
1715765744.506089,4.491612682156885e-06,3.7507794205905636e-05,4.1999406888062525e-05,143,54,34.21895694732666,30.43781542778015,0.001880564902704505
1715765747.2927067,1.6296113654542916e-06,2.2661855378258166e-05,2.4291466743712458e-05,157,55,37.00557470321655,33.224130392074585,0.0012063855394183487
1715765750.2730312,8.309707364366794e-07,1.2470620827575344e-05,1.3301591564012023e-05,172,56,39.985899209976196,36.204728841781616,0.0006984826524553459
1715765753.8502376,7.717418281490375e-07,7.656912533374103e-06,8.42865436152314e-06,190,57,43.56310558319092,39.78188443183899,0.0005079325191182203
1715765757.430964,5.344234248469271e-07,4.162597275775242e-06,4.697020700622169e-06,208,58,47.143831968307495,43.36246156692505,0.0008047462897196907
1715765761.5971,1.1403851424371158e-07,1.2929818434711818e-06,1.4070203577148934e-06,229,59,51.30996799468994,47.5288462638855,0.00027109554985912037
1715765766.165465,6.779145839742562e-08,4.864132085540498e-07,5.542046669514754e-07,252,60,55.87833309173584,52.096930265426636,0.00025139689665409936
1715765771.1252155,3.8292462307136646e-08,2.776837732828975e-07,3.159762355900341e-07,277,61,60.83808350563049,57.056952238082886,0.00021340413898103305
1715765776.7016451,1.580755046227496e-08,1.4761518039347932e-07,1.6342273085575428e-07,305,62,66.4145131111145,62.63305950164795,0.00012330386594259954
1715765782.6534536,2.7840743204731615e-09,4.3765771056540514e-08,4.6549845377013673e-08,335,63,72.3663215637207,68.58525848388672,5.4924889707523846e-05
1715765789.4661977,8.85803902761176e-10,2.219255149365253e-08,2.3078355396413706e-08,369,64,79.1790657043457,75.39774298667908,2.5824266536190046e-05
1715765796.8072047,6.97726162203891e-10,1.0301429265307875e-08,1.0999155427511765e-08,406,65,86.52007269859314,82.73896741867065,2.4849026160915985e-05
1715765804.7500985,2.1621921591429534e-10,2.5695978831155617e-09,2.785817099029857e-09,446,66,94.46296644210815,90.68174433708191,1.3280126683733655e-05
1715765813.6863642,7.604065774257986e-11,7.214104498149092e-10,7.97451107557489e-10,491,67,103.39923214912415,99.61782312393188,9.08136837000825e-06
1715765823.428393,1.92239389581818e-11,2.337877680391828e-10,2.5301170699736457e-10,540,68,113.14126086235046,109.3601143360138,3.10145851899334e-06
1715765834.196346,6.8440795561614254e-12,9.390088051691969e-11,1.0074496007308111e-10,594,69,123.90921401977539,120.1278908252716,1.9986907051929876e-06
1715765845.9546115,4.850788710208579e-12,5.796776207622111e-11,6.281855078642969e-11,653,70,135.66747951507568,131.8862555027008,1.5831362706566786e-06
1715765858.8914447,3.777938690969554e-12,3.801941549197865e-11,4.1797354182948206e-11,718,71,148.60431265830994,144.82294154167175,1.6100376926408928e-06
1715765873.1733446,3.64188386084735e-12,2.985567145784385e-11,3.34975553186912e-11,790,72,162.88621258735657,159.10501503944397,1.525029382536237e-06
1715765888.9068358,3.4758362529640613e-12,2.801964280979791e-11,3.149547906276197e-11,869,73,178.61970376968384,174.8382339477539,1.3938905110351463e-06
1715765906.2099502,3.386568047507671e-12,2.7889719189963194e-11,3.1276287237470865e-11,956,74,195.92281818389893,192.14138627052307,1.3547124092310997e-06
1715765925.2224486,3.361240179538068e-12,2.7894410161685327e-11,3.1255650341223396e-11,1052,75,214.9353165626526,211.1539797782898,1.344958705652946e-06
1715765945.9823155,3.3535775142393525e-12,2.789530020166397e-11,3.1248877715903326e-11,1157,76,235.6951835155487,231.9137487411499,1.3421097089104203e-06
1715765968.4821792,3.3504590386842566e-12,2.789171622168432e-11,3.1242175260368574e-11,1272,77,258.19504714012146,254.41385173797607,1.3409694034384148e-06
1715765993.5376527,3.3472705674283797e-12,2.788703135185243e-11,3.123430191928081e-11,1400,78,283.25052070617676,279.46906328201294,1.3398026746698737e-06
1715766020.5603015,3.343467482267425e-12,2.7881810689014902e-11,3.1225278171282325e-11,1539,79,310.2731695175171,306.49199891090393,1.3384131825217036e-06
