loss_boundary,loss,_runtime,_timestamp,loss_interior,l2_error,_step,time,step
3.083101594158138e-05,0.00018491482110294827,13.663439273834229,1715359155.7625382,0.0001540838051613669,0.00532912630173189,23,9.374252080917358,23
3.278161190466217e-05,0.00016802097394697012,14.029977560043335,1715359156.1290765,0.00013523936204230794,0.004608529439930209,24,9.74106740951538,24
2.1330243981261373e-05,0.00015603063923199222,14.402867555618286,1715359156.5019665,0.00013470039525073085,0.002869032733655084,25,10.113949298858643,25
9.81929891638393e-06,0.00013983154300026943,14.776679277420044,1715359156.8757782,0.0001300122440838855,0.0024613724021384305,26,10.487610340118408,26
5.8678403008822696e-06,0.0001316221188797043,15.149185180664062,1715359157.248284,0.00012575427857882204,0.0024372278688328773,27,10.860248804092407,27
6.502078820788943e-06,0.00012786417356255226,15.541967153549194,1715359157.641066,0.00012136209474176331,0.0026416029279950344,28,11.25306510925293,28
7.231490640494782e-06,0.00011996492596443911,15.947740316390991,1715359158.0468392,0.00011273343532394432,0.0024808591175381487,29,11.658849716186523,29
6.75122863232649e-06,0.0001035568417672115,16.33015251159668,1715359158.4292514,9.6805613134885e-05,0.0027860321303752114,30,12.041258335113525,30
8.579604129121207e-06,0.00010002655137442479,16.74501371383667,1715359158.8441126,9.144694724530359e-05,0.002463639002379473,31,12.456109046936035,31
6.897370074834698e-06,9.800304181624622e-05,17.163816213607788,1715359159.2629151,9.110567174141152e-05,0.0023108941305538286,32,12.874942779541016,32
6.131193389330371e-06,9.67412208697973e-05,17.570067644119263,1715359159.6691666,9.061002748046693e-05,0.002391727367477035,33,13.281180143356323,33
5.9827194211818795e-06,9.254164700990257e-05,17.938799142837524,1715359160.037898,8.655892758872068e-05,0.00241860028869581,34,13.649784088134766,34
7.093493248822347e-06,8.724093829387466e-05,18.35287117958069,1715359160.45197,8.014744504505231e-05,0.002580624518660562,35,14.063982486724854,35
7.966467600153491e-06,6.974869115172413e-05,18.725773572921753,1715359160.8248725,6.178222355157065e-05,0.002336575456289979,36,14.43682312965393,36
6.851125268021355e-06,6.67966360177622e-05,19.143561840057373,1715359161.2426608,5.994551074974084e-05,0.0024705208306274786,37,14.854651927947998,37
8.113948931765692e-06,6.527382689852094e-05,19.560976266860962,1715359161.6600752,5.7159877966755246e-05,0.0023783792409803974,38,15.272018909454346,38
7.278580849605672e-06,6.398737900709395e-05,19.97106099128723,1715359162.07016,5.6708798157488276e-05,0.001638216949687527,39,15.682156085968018,39
4.022099588352452e-06,5.756333380412986e-05,20.391202926635742,1715359162.4903018,5.354123421577741e-05,0.001455804242775368,40,16.10229253768921,40
4.042309800544518e-06,5.376249427931196e-05,21.142742156982422,1715359163.241841,4.9720184478767445e-05,0.0016366378903025435,41,16.853859186172485,42
3.923568757641904e-06,4.842704449997857e-05,22.707790851593018,1715359164.8068898,4.450347574233666e-05,0.0017933854900288278,42,18.418855667114258,46
2.9024808819782758e-06,3.9678909696767136e-05,24.19054913520813,1715359166.289648,3.677642881478886e-05,0.0010945619890703996,43,19.90167498588562,50
7.812474005384946e-07,2.267855795991065e-05,26.13209629058838,1715359168.2311952,2.1897310559372158e-05,0.000725310080198923,44,21.84304904937744,55
1.9086623721724825e-06,1.878406556915714e-05,28.541343927383423,1715359170.6404428,1.687540319698466e-05,0.0012802622219804292,45,24.25201916694641,61
1.1396925404543994e-06,1.3583916619364605e-05,30.962244510650635,1715359173.0613434,1.2444224078910205e-05,0.0008507849482314681,46,26.67322063446045,67
3.653129424258731e-07,1.1334914734248014e-05,33.10331749916077,1715359175.2024164,1.096960179182214e-05,0.0005011920632788213,47,28.81440782546997,73
3.936426361432189e-07,8.589646195024714e-06,36.11962532997131,1715359178.2187243,8.196003558881494e-06,0.00046039394703410486,48,31.830710411071777,81
7.537195658721668e-07,6.9577375360878425e-06,39.399630308151245,1715359181.4987292,6.204017970215676e-06,0.000760137974887207,49,35.11071729660034,89
4.996759190727731e-07,3.649475086501512e-06,42.80055618286133,1715359184.899655,3.149799167428739e-06,0.0005270992302897792,50,38.51129198074341,98
4.60425191371334e-07,3.0072699759616535e-06,44.19722104072571,1715359186.29632,2.5468447845903194e-06,0.0005276061196572516,51,39.90828514099121,107
3.6869225034285846e-07,2.7447846855312775e-06,46.25306987762451,1715359188.3521688,2.376092435188419e-06,0.0004938762475000452,52,41.9641170501709,118
5.221201836633684e-07,2.233199438938154e-06,48.44399929046631,1715359190.5430982,1.711079255274786e-06,0.0005420585701143832,53,44.15506196022034,130
4.426101313133245e-07,1.982652424781736e-06,50.66498112678528,1715359192.76408,1.5400422934684114e-06,0.00046020868948652233,54,46.3760826587677,143
6.814352903241181e-08,1.2253417214810611e-06,54.31703186035156,1715359196.4161308,1.1571981924486493e-06,0.00015566022158541387,55,50.02813744544983,157
6.97009039151367e-08,1.215639981125116e-06,54.66317272186279,1715359196.7622716,1.1459390772099794e-06,0.00015657003725514512,56,50.37426972389221,172
6.608693363625867e-08,1.073877065747198e-06,56.917492389678955,1715359199.0165913,1.0077901321109394e-06,0.00017951792942261322,57,52.62857389450073,190
6.552947513310328e-08,1.0242580992984603e-06,57.39764094352722,1715359199.4967399,9.58728624165357e-07,0.00017825707161124772,58,53.10873103141785,208
6.552947513310328e-08,1.0242580992984603e-06,57.80972218513489,1715359199.908821,9.58728624165357e-07,0.00017825707161124772,59,53.520784854888916,229
