step,loss_boundary,time,_timestamp,loss_interior,_runtime,l2_error,loss,_step
20,0.012171500627862607,5.019097328186035,1715365878.7860324,0.2670465496916823,8.810120344161987,0.0986857889379028,0.2792180503195449,20
21,0.012309236573112494,5.193001747131348,1715365878.959947,0.24656824693874405,8.984035015106201,0.09126534071220709,0.2588774835118565,21
22,0.011419207173390828,5.366349220275879,1715365879.1332092,0.23363750198096234,9.157297134399414,0.0954960374213672,0.24505670915435315,22
23,0.011550419864902801,5.5313801765441895,1715365879.2977788,0.2128215104413042,9.321866750717163,0.09084522461502484,0.224371930306207,23
24,0.010819444754480764,5.703857660293579,1715365879.470756,0.19867402321778846,9.49484395980835,0.09470464784164678,0.20949346797226923,24
25,0.010978551781330722,5.879521369934082,1715365879.6464279,0.18137198400152865,9.670515775680542,0.09078936173907372,0.19235053578285938,25
26,0.010196136786996764,6.054122686386108,1715365879.8210256,0.1647135532366646,9.845113515853882,0.08962470533588439,0.17490969002366136,26
27,0.010080499046310452,6.228843688964844,1715365879.9957345,0.14912792801014682,10.019822359085083,0.08930276746520904,0.15920842705645727,27
28,0.009328386397849945,6.404428482055664,1715365880.171819,0.12782389718277606,10.1959068775177,0.08643883708429798,0.137152283580626,28
29,0.009069665027745392,6.580573081970215,1715365880.3474107,0.11388666927433216,10.371498584747314,0.08515790912919356,0.12295633430207756,29
30,0.008596205172311189,6.756419897079468,1715365880.523288,0.101109813930802,10.547375917434692,0.08081660964155771,0.10970601910311319,30
31,0.007793358351429264,6.92712926864624,1715365880.6935115,0.08614971444897603,10.717599391937256,0.08044714684524418,0.09394307280040529,31
32,0.007649481256485985,7.10004997253418,1715365880.8664105,0.07637345736830044,10.890498399734497,0.08045972043819127,0.08402293862478642,32
33,0.006470789122574862,7.273897886276245,1715365881.0402732,0.05894437143999936,11.064361095428467,0.07102260539373145,0.06541516056257422,33
34,0.006001943306603841,7.452357053756714,1715365881.2187557,0.05270885472437556,11.242843627929688,0.07158838590697279,0.0587107980309794,34
35,0.005826236071268441,7.627209901809692,1715365881.3935947,0.04847524253181539,11.417682647705078,0.06611027587215783,0.05430147860308383,35
36,0.005512604965112748,7.8017308712005615,1715365881.5681334,0.046599997523453604,11.5922212600708,0.0704343757767168,0.052112602488566355,36
37,0.005488983765589539,7.969549894332886,1715365881.7363923,0.04458205333718572,11.760480165481567,0.06218348746988345,0.05007103710277526,37
38,0.005106032779631928,8.143892288208008,1715365881.9106963,0.042521994292740416,11.934784173965454,0.0627532913280729,0.04762802707237235,38
39,0.005055378980122517,8.31553316116333,1715365882.0822358,0.040544390212878395,12.106323719024658,0.058283530501801815,0.04559976919300091,39
40,0.004719305511582019,8.494300842285156,1715365882.2611322,0.03779639070229968,12.2852201461792,0.058267485145604425,0.0425156962138817,40
42,0.004535427402377163,8.84115743637085,1715365882.6079528,0.03177894764390719,12.632040739059448,0.055366975191379446,0.036314375046284354,41
46,0.004111593817116133,9.530068159103394,1715365883.2971394,0.024702036072372632,13.321227312088013,0.05359553504157092,0.028813629889488764,42
50,0.0037174117450319713,10.217891931533813,1715365883.984733,0.020631599154965066,14.0088210105896,0.05133536646173972,0.024349010899997036,43
55,0.0027213696038038463,11.074038028717041,1715365884.8409991,0.013035914266236,14.865087032318115,0.04107514629508839,0.015757283870039846,44
61,0.0017052791054511902,12.102959871292114,1715365885.8695168,0.006280701357553009,15.893604755401611,0.03304308961534989,0.0079859804630042,45
67,0.0011527348418480863,13.117845296859741,1715365886.8842392,0.0034976383274015503,16.908327102661133,0.027513140580583365,0.004650373169249636,46
73,0.0006987360140031669,14.176539897918701,1715365887.9429438,0.002128026156123046,17.967031717300415,0.021860953336433692,0.0028267621701262126,47
