time,_timestamp,loss,loss_interior,_runtime,_step,step,l2_error,loss_boundary
32.15982413291931,1715441579.4824193,0.0001791530769063426,0.00012649493807841077,36.90711736679077,41,42,0.007051140830353632,5.265813882793183e-05
34.935163736343384,1715441582.2577364,0.00010302225408041837,7.161065866590424e-05,39.68243455886841,42,46,0.0048601181292438475,3.1411595414514135e-05
38.980690479278564,1715441586.3298347,7.270991614127439e-05,6.180292235433282e-05,43.75453281402588,43,50,0.002150894803364181,1.0906993786941564e-05
47.96014213562012,1715441595.3104186,4.616877630774988e-05,3.388741860004471e-05,52.735116720199585,44,55,0.003116463624920034,1.2281357707705167e-05
52.26763606071472,1715441599.590211,2.0588009056571794e-05,1.478577796318473e-05,57.01490902900696,45,61,0.001712535284835933,5.8022310933870646e-06
56.44288182258606,1715441603.7654648,1.271082569586631e-05,9.93806193958035e-06,61.190162897109985,46,67,0.0010968576671092785,2.77276375628596e-06
63.74644422531128,1715441611.09542,1.0736225238882389e-05,8.582824964235296e-06,68.52011799812317,47,73,0.0009202671576461735,2.153400274647093e-06
78.1279456615448,1715441625.4772117,9.244129394958496e-06,7.3521109041452035e-06,82.90190982818604,48,81,0.0009076191583957916,1.8920184908132927e-06
91.83856797218323,1715441639.1611462,6.243187339747845e-06,4.344626587075071e-06,96.58584427833557,49,89,0.0008208349840128088,1.8985607526727742e-06
98.10179495811462,1715441645.4244277,4.3781691042894816e-06,3.5671325869711186e-06,102.84912586212158,50,98,0.0005880269898992614,8.110365173183629e-07
104.36077761650085,1715441651.683385,3.198992190589529e-06,2.7336449774440163e-06,109.10808300971985,51,107,0.00045889023406063626,4.6534721314551255e-07
110.7188811302185,1715441658.0414655,2.410323523441381e-06,2.1150419022093466e-06,115.4661636352539,52,118,0.00039656187651645103,2.952816212320347e-07
111.28987336158752,1715441658.6124613,2.4057059684359163e-06,2.110543088476749e-06,116.03715944290161,53,130,0.0003991849136924771,2.9516287995916705e-07
111.75915479660034,1715441659.0816977,2.4054902937653446e-06,2.1102986870443828e-06,116.50639581680298,54,143,0.0003992878848905699,2.951916067209618e-07
112.24946093559265,1715441659.572038,2.4054902937653446e-06,2.1102986870443828e-06,116.9967360496521,55,157,0.0003992878848905699,2.951916067209618e-07
112.77378606796265,1715441660.0963383,2.4054902937653446e-06,2.1102986870443828e-06,117.52103638648987,56,172,0.0003992878848905699,2.951916067209618e-07
113.41093301773071,1715441660.7335858,2.4054902937653446e-06,2.1102986870443828e-06,118.15828394889832,57,190,0.0003992878848905699,2.951916067209618e-07
