time,_runtime,step,l2_error,_timestamp,loss_interior,_step,loss_boundary,loss
2.224797487258911,6.123918056488037,50,0.9105866926935035,1715517309.0125232,2.8931113447602628,43,0.766317482525831,3.659428827286094
2.2945544719696045,6.194412708282471,55,0.7448528586194976,1715517309.0830178,2.410068696078393,44,0.5155315425860048,2.925600238664398
2.376999855041504,6.2772040367126465,61,0.5336602327058398,1715517309.1658092,1.3982376822245193,45,0.2882416509280607,1.68647933315258
2.459939956665039,6.360222578048706,67,0.34308144441466415,1715517309.2488277,0.5788325314607177,46,0.10199101080859076,0.6808235422693084
2.5448527336120605,6.445070028305054,73,0.1587927170024087,1715517309.3336751,0.3571188894409745,47,0.020657803892466037,0.3777766933334405
2.6528263092041016,6.553037405014038,81,0.11438331444362937,1715517309.4416425,0.20263596966493103,48,0.019929659920751908,0.22256562958568293
2.7639353275299072,6.663823843002319,89,0.14648517244395134,1715517309.552429,0.1270784701194697,49,0.029928612588907336,0.15700708270837704
2.8852126598358154,6.785078287124634,98,0.1228819261211844,1715517309.6736834,0.06724145400648682,50,0.025360287692211707,0.09260174169869853
3.006232500076294,6.905986309051514,107,0.0910415135937283,1715517309.7945914,0.051465366055711635,51,0.015428450868642626,0.06689381692435425
3.150942325592041,7.0512659549713135,118,0.08278311938025297,1715517309.939871,0.038983642210667954,52,0.009859677068733757,0.04884331927940171
3.3088059425354004,7.209227561950684,130,0.08449868276457966,1715517310.0978327,0.02887837555070521,53,0.009745854555464797,0.038624230106170006
3.4792256355285645,7.379622220993042,143,0.08139040118862058,1715517310.2682273,0.023800289705716633,54,0.00921593166330353,0.03301622136902016
3.6697819232940674,7.566981077194214,157,0.08187033150547773,1715517310.4555862,0.02082775716335255,55,0.008797786454694844,0.029625543618047395
3.8639976978302,7.764195919036865,172,0.08130718445263285,1715517310.652801,0.018804752403370786,56,0.008363216644753205,0.02716796904812399
4.099478483200073,7.9989094734191895,190,0.07953799904587855,1715517310.8875146,0.01713915366566006,57,0.007834866870235825,0.024974020535895883
4.338062286376953,8.23796534538269,208,0.07746954935293306,1715517311.1265705,0.015830274548622916,58,0.0074120468851667605,0.023242321433789678
4.616832494735718,8.51423168182373,229,0.07585914418602682,1715517311.4028368,0.014542630682800765,59,0.006987161182151987,0.02152979186495275
4.910455703735352,8.810850143432617,252,0.07403549005101535,1715517311.6994553,0.013291783802750793,60,0.006573003503045184,0.019864787305795977
5.2325451374053955,9.132808923721313,277,0.07214260800945435,1715517312.021414,0.012020497946035285,61,0.00617439033513288,0.018194888281168164
5.591532945632935,9.491730451583862,305,0.07014207371798307,1715517312.3803356,0.010652416302158149,62,0.005774434280019068,0.016426850582177216
5.984269618988037,9.882155895233154,335,0.06551730469576328,1715517312.770761,0.02585435013391383,63,0.0055823081031702885,0.031436658237084115
6.425687074661255,10.323442459106445,369,0.06537319295855268,1715517313.2120476,0.00784266033100286,64,0.005038251931235122,0.012880912262237983
6.899586200714111,10.799885272979736,406,0.06467320563515494,1715517313.6884904,0.006395880962114568,65,0.004665839018780248,0.011061719980894816
7.410331964492798,11.310713768005371,446,0.06266878821177466,1715517314.199319,0.005091350468637367,66,0.004328689817228046,0.009420040285865412
7.989382743835449,11.887094259262085,491,0.06160604812807601,1715517314.7756994,0.004028582038955743,67,0.004038110864856691,0.008066692903812435
8.615704536437988,12.51570463180542,540,0.05929678089976023,1715517315.4043097,0.0035991064707124234,68,0.0038349771435617903,0.007434083614274214
9.31293773651123,13.212930679321289,594,0.05879734779603898,1715517316.1015358,0.0025194081380152627,69,0.0036622470769863196,0.006181655215001582
10.074647665023804,13.973771095275879,653,0.05784644522255391,1715517316.8623762,0.001897880771383641,70,0.003524361161992926,0.005422241933376567
10.90024995803833,14.799832582473755,718,0.054530258169454913,1715517317.6884377,0.0015922628626751955,71,0.0034219554860802043,0.0050142183487553995
11.830814361572266,15.730767011642456,790,0.04906413613300889,1715517318.6193721,0.0017593130827944967,72,0.0033305976542411086,0.005089910737035606
