step,loss_boundary,_step,l2_error,_timestamp,loss_interior,loss,time,_runtime
23,0.020548425549100788,23,0.09963970076436299,1715520933.831386,0.23640925817715341,0.2569576837262542,6.555208683013916,10.250226974487305
24,0.011757320612813368,24,0.06554975273153417,1715520934.040308,0.2121183557563753,0.22387567636918868,6.764042854309082,10.45914888381958
25,0.0105594288574087,25,0.10047002733126602,1715520934.248958,0.18384097926492987,0.19440040812233858,6.972820520401001,10.66779899597168
26,0.016312492880838424,26,0.10522420009901941,1715520934.4557283,0.1334388365379195,0.1497513294187579,7.179497718811035,10.874569177627563
27,0.01608320837537855,27,0.08994770510577625,1715520934.6646764,0.11424705303091703,0.13033026140629558,7.3884265422821045,11.08351731300354
28,0.013860139679480072,28,0.08767787831360527,1715520934.870662,0.10420029408738689,0.11806043376686697,7.59436559677124,11.2895028591156
29,0.01026858115738802,29,0.11835099217182293,1715520935.0870852,0.08266348929927943,0.09293207045666745,7.810313940048218,11.505926132202148
30,0.011572025542750608,30,0.13897020501882984,1715520935.2938652,0.06707304298692578,0.07864506852967638,8.017718076705933,11.712706089019775
31,0.012147607701767277,31,0.13061901981720522,1715520935.500832,0.05149857732526145,0.06364618502702873,8.224581003189087,11.919672966003418
32,0.010172538596520304,32,0.11942856260698308,1715520935.7157393,0.033505835676153416,0.04367837427267372,8.439089298248291,12.134580135345459
33,0.00892966720775761,33,0.09545667716754333,1715520935.9228032,0.027269265509642295,0.036198932717399906,8.646480560302734,12.341644048690796
34,0.007407246268071682,34,0.07804869029864198,1715520936.1332576,0.023301664229054053,0.030708910497125735,8.857002019882202,12.552098512649536
35,0.006631503172839043,35,0.0642234511351439,1715520936.3445003,0.020471738039878246,0.02710324121271729,9.068333864212036,12.763341188430786
36,0.006183308431272838,36,0.05466880393765772,1715520936.5516381,0.018768881877987104,0.024952190309259943,9.27531886100769,12.970479011535645
37,0.005785732693985576,37,0.04699660564115254,1715520936.758603,0.017447907318973985,0.02323364001295956,9.482253551483154,13.177443981170654
38,0.005248457797299985,38,0.04684732729440956,1715520936.9689736,0.015817083095129955,0.02106554089242994,9.692720890045166,13.38781452178955
39,0.005060433213915957,39,0.04761920696801749,1715520937.181013,0.014243194054532395,0.01930362726844835,9.904757738113403,13.599853992462158
40,0.004748711905677659,40,0.05111655363759883,1715520937.3894756,0.013007640944103728,0.017756352849781387,10.11327862739563,13.808316469192505
42,0.003928270609044238,41,0.06009790101577121,1715520937.8067365,0.010341792596624844,0.014270063205669082,10.530271530151367,14.225577354431152
46,0.003202479743010066,42,0.049139624274818966,1715520938.6207175,0.009007041974066161,0.012209521717076227,11.344120740890503,15.039558410644531
50,0.002982997794198905,43,0.04686309447068591,1715520939.4385772,0.006419824311861453,0.009402822106060357,12.16222095489502,15.857418060302734
55,0.002112410362503189,44,0.04611241865906037,1715520940.4675412,0.004151948476072681,0.00626435883857587,13.19125247001648,16.88638210296631
61,0.0018285708590527775,45,0.04196188122661681,1715520941.6827703,0.0027185742380194723,0.00454714509707225,14.406111001968384,18.101611137390137
67,0.0017049903404235279,46,0.037018305206181594,1715520942.8999944,0.002003629225359406,0.0037086195657829338,15.623825311660767,19.318835258483887
73,0.0014557579507721088,47,0.03823275021221387,1715520944.1193094,0.001434541147276489,0.0028902990980485977,16.84305691719055,20.538150310516357
81,0.0010316548001301099,48,0.029134896977738235,1715520945.7510846,0.0010063392982944724,0.0020379940984245823,18.474271535873413,22.169925451278687
