_step,_timestamp,step,time,loss_interior,loss_boundary,l2_error,loss,_runtime
48,1715516177.76784,81,24.70796298980713,9.67511191296982e-07,3.450602046973883e-07,0.0005736321783687403,1.3125713959943701e-06,28.592508792877197
49,1715516178.0140803,89,24.954277992248535,9.644501715229776e-07,3.421434266101565e-07,0.0005564124449104808,1.306593598133134e-06,28.838749170303345
50,1715516179.4602003,98,26.4003963470459,1.0023239026527272e-06,2.011802891440522e-07,0.00044566200904085226,1.2035041917967794e-06,30.28486919403076
51,1715516181.599488,107,28.539671659469604,7.659912554163058e-07,8.422022646946214e-08,0.00029001289599350067,8.502114818857679e-07,32.42415690422058
52,1715516182.3560038,118,29.29620337486267,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,33.18067264556885
53,1715516182.6079218,130,29.548112392425537,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,33.43259072303772
54,1715516182.879754,143,29.81993818283081,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,33.70442295074463
55,1715516183.177981,157,30.11817169189453,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,34.002649784088135
56,1715516183.498604,172,30.4387845993042,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,34.323272943496704
57,1715516183.8774922,190,30.817679405212402,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,34.70216107368469
58,1715516184.255034,208,31.19520902633667,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,35.079702854156494
59,1715516184.696125,229,31.63626003265381,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,35.52079391479492
60,1715516185.174971,252,32.11514902114868,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,35.99963998794556
61,1715516185.7015216,277,32.64170551300049,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,36.526190519332886
62,1715516186.290119,305,33.23031497001648,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,37.11478781700134
63,1715516186.9190881,335,33.85927700996399,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,37.743757009506226
64,1715516187.6280591,369,34.56825637817383,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,38.452728033065796
65,1715516188.4035594,406,35.343719482421875,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,39.22822833061218
66,1715516189.238635,446,36.17880153656006,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,40.06330394744873
67,1715516190.1933217,491,37.13335347175598,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,41.017990589141846
68,1715516191.219393,540,38.15955877304077,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,42.04406189918518
69,1715516192.350072,594,39.29024934768677,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,43.1747407913208
70,1715516193.5816116,653,40.5217969417572,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,44.406280517578125
71,1715516194.9425,718,41.882681369781494,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,45.76716899871826
72,1715516196.4509008,790,43.39107155799866,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,47.275569677352905
73,1715516198.096716,869,45.03689932823181,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,48.92138481140137
74,1715516199.915016,956,46.855175495147705,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,50.73968482017517
75,1715516201.929203,1052,48.869123697280884,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,52.75387191772461
76,1715516204.1350358,1157,51.07521390914917,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,54.959704637527466
77,1715516206.5342112,1272,53.474313735961914,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,57.358880043029785
78,1715516209.2004776,1400,56.14067196846008,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,60.025146484375
79,1715516212.0953925,1539,59.03557372093201,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,62.920061349868774
80,1715516215.3136117,1693,62.25257849693298,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,66.1382806301117
81,1715516218.8605514,1863,65.79967021942139,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,69.68522024154663
82,1715516222.764581,2049,69.70474696159363,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,73.58924984931946
83,1715516227.0377872,2254,73.97777533531189,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,77.86245608329773
84,1715516231.720676,2479,78.66087198257446,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,82.54534482955933
85,1715516236.8815753,2727,83.82177209854126,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,87.70624423027039
