_timestamp,loss,_runtime,l2_error,time,_step,step,loss_boundary,loss_interior
1715762261.2877078,0.0042050480337893,13.299302816390991,0.04342572889801692,9.25324296951294,42,46,0.003516388449319732,0.0006886595844695676
1715762261.9146767,0.002065595845883691,13.926271677017212,0.02107350239963683,9.88019847869873,43,50,0.0012453297423093846,0.0008202661035743064
1715762262.695357,0.0011624465307171344,14.706952095031738,0.015188465458833799,10.660658836364746,44,55,0.0006490676045057627,0.0005133789262113716
1715762263.6280005,0.0005245905855825395,15.63959550857544,0.0075481547419020256,11.593478441238403,45,61,0.0001858936997807511,0.0003386968858017884
1715762264.552332,0.0002187835619781367,16.563926935195923,0.005399809252938177,12.517706871032715,46,67,7.109369123119074e-05,0.00014768987074694596
1715762265.4613464,6.895352498475021e-05,17.472941398620605,0.0026670796564536923,13.4267258644104,47,73,2.8611086986423047e-05,4.034243799832716e-05
1715762266.637556,3.0761360257430115e-05,18.64915108680725,0.0015230553167122898,14.603062152862549,48,81,8.792755567675627e-06,2.196860468975449e-05
1715762267.817034,1.572514998691941e-05,19.82862901687622,0.0010772777723040848,15.78252387046814,49,89,4.36507376481736e-06,1.1360076222102048e-05
1715762269.1371481,7.84550046451478e-06,21.148743152618408,0.0006330584908140153,17.10266137123108,50,98,1.8266737677808535e-06,6.018826696733927e-06
1715762270.459266,4.185014364881875e-06,22.470860958099365,0.00044700368845416267,18.424646615982056,51,107,8.259084634216411e-07,3.3591059014602344e-06
1715762272.0740027,2.382250332181412e-06,24.08559775352478,0.000284533215187945,20.039306640625,52,118,4.70138721808226e-07,1.912111610373186e-06
1715762273.8356688,1.3949371674356191e-06,25.8472638130188,0.0002018242510151789,21.801170349121094,53,130,3.025155461914112e-07,1.092421621244208e-06
1715762275.829863,8.19237312317333e-07,27.841458082199097,0.0001659079773640563,23.795300006866455,54,143,1.7850056997722195e-07,6.407367423401111e-07
1715762278.0166805,4.586477058338918e-07,30.02827548980713,0.00016497671670960415,25.981886386871338,55,157,1.0953568824224939e-07,3.491120175916424e-07
1715762280.3806524,2.0989327956439268e-07,32.392247438430786,0.000122359665794034,28.346029043197632,56,172,6.809126280879197e-08,1.418020167556007e-07
1715762283.1230612,8.479380162730867e-08,35.13465619087219,9.201093674524413e-05,31.088502168655396,57,190,3.312626524045931e-08,5.1667536386849364e-08
1715762285.9063478,3.5808089323578614e-08,37.91794276237488,5.110345546626904e-05,33.871787786483765,58,208,1.2589941488200987e-08,2.321814783537763e-08
1715762289.047573,1.0971220835574908e-08,41.059168100357056,2.560874685940149e-05,37.01303553581238,59,229,2.6883710367879915e-09,8.282849798786915e-09
