_runtime,l2_error,loss_interior,loss,_step,loss_boundary,time,_timestamp,step
8.288748502731323,0.039694688778446126,0.0016784512953110199,0.004013995526237093,31,0.002335544230926073,4.493539810180664,1715518449.5953155,31
8.368902683258057,0.03935707411001227,0.001212983890653613,0.0034664117118278857,32,0.0022534278211742724,4.573643445968628,1715518449.6754696,32
8.45003867149353,0.03722411595274785,0.0012192050243944126,0.0033710295911922846,33,0.0021518245667978718,4.654828071594238,1715518449.7566056,33
8.54403305053711,0.03404875164055048,0.001028366479233867,0.0030435640907211384,34,0.0020151976114872712,4.748596906661987,1715518449.8506,34
8.64836573600769,0.03115604596866253,0.001014487895777002,0.0028840443289622287,35,0.001869556433185227,4.85272741317749,1715518449.9549327,35
8.745195627212524,0.029486491665517166,0.000828358722620808,0.0025465073080968305,36,0.0017181485854760226,4.949763536453247,1715518450.0517626,36
8.843640565872192,0.027003110104241876,0.0007834311193442523,0.0023725394588683577,37,0.0015891083395241053,5.048159837722778,1715518450.1502075,37
8.938016891479492,0.025778667756356642,0.0007978338282491331,0.002210025779945347,38,0.0014121919516962142,5.142567157745361,1715518450.2445838,38
9.0361168384552,0.02555013831655603,0.0006295270734915403,0.0019482706198045638,39,0.0013187435463130235,5.240739583969116,1715518450.3426838,39
9.131808042526245,0.025161186638600362,0.0007844844746893615,0.001975093263305769,40,0.0011906087886164073,5.3363988399505615,1715518450.438375,40
9.328366041183472,0.02450526444288702,0.00044491781359967675,0.0015727163608595233,41,0.0011277985472598465,5.533089637756348,1715518450.634933,42
9.703101634979248,0.020550004184711035,0.0003017989523756421,0.0010856441337655073,42,0.0007838451813898653,5.907473802566528,1715518451.0096686,46
10.033146619796753,0.018323341122872143,0.00019221993838727748,0.0007833385542340521,43,0.0005911186158467746,6.237940549850464,1715518451.3397136,50
10.452043056488037,0.014620387349311228,9.769065146988507e-05,0.0005345972548868007,44,0.00043690660341691564,6.656846284866333,1715518451.75861,55
10.925004482269287,0.011890674688145851,5.0412528426828856e-05,0.0002833899205093879,45,0.00023297739208255904,7.129775047302246,1715518452.2315714,61
11.457453727722168,0.0073639917225449105,3.217325955722854e-05,0.00016653843081667556,46,0.000134365171259447,7.661831378936768,1715518452.7640207,67
