_timestamp,loss,time,_runtime,l2_error,loss_boundary,loss_interior,step,_step
1715380952.2193394,9.965722651476555e-06,24.886759996414185,28.615273475646973,0.0011798848862520149,2.279067968913927e-06,7.686654682562628e-06,39,39
1715380952.6220627,9.070549920247248e-06,25.289851427078247,29.017996788024902,0.0011799012495256219,1.7554365439026037e-06,7.315113376344643e-06,40,40
1715380953.8173995,8.023681487151737e-06,26.485039710998535,30.21333360671997,0.0011937454418792703,1.6812915367793469e-06,6.342389950372389e-06,42,41
1715380957.28251,4.198236172476927e-06,29.949898958206177,33.678444147109985,0.000751681137927338,7.831884444591692e-07,3.415047728017758e-06,46,42
1715380960.1307533,2.5159268766944688e-06,32.79850625991821,36.52668738365173,0.00044849329533159675,3.1467869848308936e-07,2.2012481782113795e-06,50,43
1715380963.9472916,1.150877793515885e-06,36.61467933654785,40.343225717544556,0.00029513866137088305,1.4584296213368751e-07,1.0050348313821975e-06,55,44
1715380968.1548588,5.021775571877939e-07,40.82261776924133,44.550792932510376,0.00018700915049472128,7.76364534785326e-08,4.2454110370926134e-07,61,45
1715380973.2801874,1.45151523248682e-07,45.947635889053345,49.67612147331238,0.00018502643445982077,6.663278632230004e-08,7.851873692638196e-08,67,46
1715380980.757961,1.1331561575974018e-07,53.42531681060791,57.153895139694214,0.00016471068030837624,7.181412121136427e-08,4.1501494548375914e-08,73,47
1715380989.0301447,5.9091490467115576e-08,61.697620153427124,65.42607879638672,0.00011469580967283456,3.122613649179223e-08,2.7865353975323348e-08,81,48
1715380992.6401906,5.292884484612718e-08,65.30791211128235,69.03612470626831,0.00010836791249503217,2.5991553768306094e-08,2.693729107782108e-08,89,49
1715380996.9048457,4.64787900750556e-08,69.57230591773987,73.30077981948853,0.00010298750287084607,2.1502156256706688e-08,2.4976633818348912e-08,98,50
1715381001.8434596,3.885745241704705e-08,74.51111602783203,78.23939371109009,9.66393825380036e-05,1.843343815061405e-08,2.0424014266433e-08,107,51
1715381009.090024,3.376537132706235e-08,81.75743365287781,85.48595809936523,9.188747209575804e-05,1.7684670778049045e-08,1.6080700549013302e-08,118,52
1715381016.7214274,3.07468640724298e-08,89.38907170295715,93.11736154556274,8.687247837978352e-05,1.6344716564277733e-08,1.4402147508152066e-08,130,53
1715381023.0964494,2.636376763360896e-08,95.76410174369812,99.49238348007202,7.769606682350837e-05,1.3899642276263773e-08,1.2464125357345185e-08,143,54
1715381032.0711877,2.4510111078201647e-08,104.73863458633423,108.46712183952332,7.664111709956908e-05,1.4776025536722383e-08,9.734085541479263e-09,157,55
1715381038.0307567,2.1010143134240518e-08,110.698477268219,114.42669081687927,6.965775821086047e-05,1.1985029434540335e-08,9.025113699700183e-09,172,56
1715381049.3205905,1.7812208776914072e-08,121.98809862136841,125.71652460098267,6.805282802963103e-05,1.0382362174393476e-08,7.429846602520596e-09,190,57
1715381063.151972,1.518628853904253e-08,135.81961822509766,139.54790616035461,5.926304943568845e-05,8.851177677208156e-09,6.335110861834372e-09,208,58
1715381075.737606,1.3408017734775236e-08,148.40500855445862,152.13354015350342,5.656417229166961e-05,7.930414220324364e-09,5.4776035144508714e-09,229,59
1715381090.3833401,1.1367969241287274e-08,163.05074524879456,166.77927422523499,5.102577106367396e-05,7.091932314498018e-09,4.276036926789257e-09,252,60
1715381111.2047355,9.836277082005045e-09,183.87236762046814,187.60066962242126,5.015211230479165e-05,6.3811890148059085e-09,3.455088067199137e-09,277,61
1715381133.9046538,8.409994323980559e-09,206.57213163375854,210.30058789253235,4.8124944340589005e-05,6.208291517237185e-09,2.2017028067433732e-09,305,62
1715381168.6830468,6.4609245715264125e-09,241.3504877090454,245.07898092269897,4.489690714362835e-05,5.414841207185262e-09,1.0460833643411502e-09,335,63
1715381200.4058812,5.7070242997208585e-09,273.0733652114868,276.80181527137756,4.4885684788879235e-05,5.1564984172641346e-09,5.505258824567237e-10,369,64
1715381247.5918279,3.961223601015878e-09,320.2592031955719,323.9877619743347,3.7205307364786794e-05,3.6358019396919267e-09,3.2542166132395086e-10,406,65
1715381294.0092921,2.4331387811469604e-09,366.67666482925415,370.40522623062134,2.8077004673154186e-05,2.1332062178264097e-09,2.9993256332055056e-10,446,66
1715381363.0213506,1.3955233420253157e-09,435.6888313293457,439.41728472709656,2.043769875589395e-05,1.1916457903914305e-09,2.0387755163388509e-10,491,67
1715381448.7990975,5.162810350131951e-10,521.466465473175,525.1950316429138,1.1303447844463786e-05,3.8133741526513875e-10,1.3494361974805637e-10,540,68
1715381540.5761142,2.460418890282465e-10,613.2434787750244,616.9720482826233,7.212396865857362e-06,1.520980411647168e-10,9.394384786352973e-11,594,69
1715381629.9435046,1.7352775967071658e-10,702.6109149456024,706.3394386768341,6.149912938847676e-06,1.0364183603226414e-10,6.988592363845244e-11,653,70
1715381747.8795333,1.3389366168297563e-10,820.5468852519989,824.2754673957825,5.375363043498602e-06,7.651507901872359e-11,5.737858266425205e-11,718,71
