loss_interior,loss,time,l2_error,_runtime,loss_boundary,step,_step,_timestamp
0.00045579732523330673,0.002494337028060654,7.857240438461304,0.037705720541825256,11.596006155014038,0.0020385397028273473,42,41,1715516171.2569752
0.00032447555220000817,0.0020996349704673137,8.431082963943481,0.034300719022182645,12.1699857711792,0.0017751594182673055,46,42,1715516171.8309548
0.0002443086565878897,0.001819384592162737,8.99703073501587,0.032438729823486744,12.736004114151001,0.0015750759355748474,50,43,1715516172.3969731
0.00015695209649019666,0.0015383006406188575,9.699131727218628,0.030262640164457757,13.438022375106812,0.0013813485441286609,55,44,1715516173.0989914
7.776429793364891e-05,0.0012169954420433466,10.537368535995483,0.0270414731547288,14.276262044906616,0.0011392311441096978,61,45,1715516173.937231
5.5521480324160877e-05,0.0010434194264129918,11.386824369430542,0.025122666382461308,15.125791072845459,0.000987897946088831,67,46,1715516174.78676
4.08181976661351e-05,0.0008357280202497783,12.1931791305542,0.0227050759067889,15.932764291763306,0.0007949098225836432,73,47,1715516175.5937333
2.5175319642754724e-05,0.0006205647011197626,13.29932975769043,0.01980763360534731,17.038545608520508,0.0005953893814770078,81,48,1715516176.6995146
1.779934907175198e-05,0.0005039813371758335,14.457206010818481,0.014477349362846448,18.19639754295349,0.00048618198810408155,89,49,1715516177.8573666
1.1430020516184264e-05,0.0003208900948013404,15.73258924484253,0.01357968775806376,19.471665382385254,0.0003094600742851561,98,50,1715516179.1326344
6.752589005763095e-06,0.00021797242064815404,16.98575234413147,0.011107493321315066,20.724536418914795,0.00021121983164239095,107,51,1715516180.3855054
5.028958026932509e-06,0.000157195379019034,18.55173397064209,0.00880375175239386,22.290592908859253,0.00015216642099210147,118,52,1715516181.951562
5.269708997064022e-06,9.302231160315556e-05,20.242684841156006,0.007486705865386545,23.981820106506348,8.775260260609153e-05,130,53,1715516183.6427891
2.8987125416585715e-06,6.052327254336855e-05,22.08622980117798,0.0060612045192343905,25.825387001037598,5.7624560001709984e-05,143,54,1715516185.486356
2.940574701017326e-06,4.017250450351064e-05,24.075307607650757,0.004935910861728615,27.81460928916931,3.723192980249331e-05,157,55,1715516187.4755783
