l2_error,loss_boundary,loss,step,_step,loss_interior,time,_timestamp,_runtime
0.9367544349031668,0.7934731308308027,2.16066361952329,26,26,1.367190488692487,10.506265878677368,1715380330.160238,14.399558067321777
0.7692832513921206,0.8047318040727826,2.086753283222051,27,27,1.2820214791492683,10.841215133666992,1715380330.4950566,14.734376668930054
0.8040547620992364,0.58975066435447,1.5562319468508012,28,28,0.9664812824963314,11.205371618270874,1715380330.8594282,15.098748207092285
0.7960787306997327,0.6096246016984904,1.2361289395327246,29,29,0.6265043378342342,11.546222925186157,1715380331.2001932,15.439513206481934
0.752392141760056,0.5942639147522858,1.1014624432689382,30,30,0.5071985285166523,11.842230319976807,1715380331.4963825,15.735702514648438
0.7563349047619039,0.5493500775925665,1.029034755620691,31,31,0.47968467802812437,12.139982223510742,1715380331.7939386,16.03325867652893
0.7393726740493081,0.546505413740721,0.974772700511475,32,32,0.42826728677075393,12.474719762802124,1715380332.128755,16.368075132369995
0.6613558410137746,0.5281360286153647,0.9236642597925794,33,33,0.3955282311772147,12.819476127624512,1715380332.4734347,16.712754726409912
0.6667914282275422,0.4461018753213806,0.8102002800303952,34,34,0.3640984047090146,13.153316259384155,1715380332.8071103,17.046430349349976
0.6675682691034024,0.44640399980030626,0.7521895653661667,35,35,0.3057855655658604,13.508063554763794,1715380333.162122,17.401442050933838
0.6520638356795013,0.43884824061154476,0.7319016476925047,36,36,0.29305340708095984,13.855844974517822,1715380333.5096188,17.74893879890442
0.6461395954407324,0.4275517048021702,0.7083189286812535,37,37,0.2807672238790833,14.191981554031372,1715380333.846053,18.085372924804688
0.6272973291236725,0.41666598377256703,0.6872542374553162,38,38,0.2705882536827492,14.489445209503174,1715380334.1434915,18.382811546325684
0.6277724528663855,0.40139903993740256,0.6716304787659093,39,39,0.2702314388285067,14.820457696914673,1715380334.4746323,18.71395230293274
0.5827258845355727,0.39772822865560226,0.6516229383607861,40,40,0.2538947097051839,15.173501014709473,1715380334.8274343,19.06675434112549
0.5649857198908472,0.3502206748485592,0.5722358224433259,42,41,0.2220151475947667,15.872080564498901,1715380335.5260508,19.765370845794678
0.42006474485103423,0.21581362466687232,0.37312755732315117,46,42,0.15731393265627883,17.155407667160034,1715380336.8094566,21.048776626586914
0.38514915102758845,0.17095325419152343,0.3086752779215155,50,43,0.13772202372999204,18.485252380371094,1715380338.139159,22.37847900390625
0.35099807120676324,0.13941942688110617,0.2663443773161229,55,44,0.12692495043501673,20.041295766830444,1715380339.6953688,23.934688806533813
0.32327769527910827,0.11539032129907438,0.23393343134016098,61,45,0.1185431100410866,21.95995283126831,1715380341.616785,25.856105089187622
0.2947438806400242,0.0957001147642076,0.20605253373117982,67,46,0.1103524189669722,23.821681022644043,1715380343.4757626,27.71508264541626
0.26492630256707594,0.07552616748350569,0.1743427985920572,73,47,0.09881663110855153,25.76099467277527,1715380345.4147785,29.654098510742188
0.20632131273084006,0.044758795038089425,0.13574646240938792,81,48,0.09098766737129849,28.31169104576111,1715380347.9657729,32.205092906951904
