l2_error,_runtime,loss_boundary,time,_step,_timestamp,loss,step,loss_interior
0.04583174536885494,2955.2222604751587,9.834060069008339e-06,2951.328132867813,18,1716294445.4526086,1.612765279759099e-05,18,6.293592728582653e-06
0.04567245524691034,3131.132885694504,7.159859969796286e-06,3127.238537311554,19,1716294621.3632338,1.252494297148684e-05,19,5.365083001690554e-06
0.045663505747648964,3307.7161791324615,5.659638989819398e-06,3303.821706056595,20,1716294797.9465272,9.094735172630863e-06,20,3.4350961828114646e-06
0.045555175157937514,3483.4696950912476,5.122468527941654e-06,3479.575026035309,21,1716294973.7000432,7.765920853160727e-06,21,2.6434523252190727e-06
0.04555888389901062,3659.3153927326202,3.8440958898925965e-06,3655.420560359955,22,1716295149.5457408,5.736212903526479e-06,22,1.8921170136338827e-06
0.045456850183469684,3835.136219263077,3.1823805898199275e-06,3831.2413425445557,23,1716295325.3665674,4.493648132734362e-06,23,1.3112675429144344e-06
0.04544657504465831,4010.9822115898132,2.5113551172996683e-06,4007.0872151851654,24,1716295501.2125597,3.3785851253324785e-06,24,8.672300080328103e-07
0.045366140947733016,4186.8711042404175,2.1877414849613552e-06,4182.976016044617,25,1716295677.1014524,2.932752352605456e-06,25,7.450108676441007e-07
0.04536351300143381,4362.796945810318,1.7783065537174847e-06,4358.901822805405,26,1716295853.027294,2.400628030442756e-06,26,6.223214767252715e-07
0.04530150122348848,4538.678522825241,1.5892629384345442e-06,4534.783360719681,27,1716296028.908871,2.078396589626119e-06,27,4.891336511915747e-07
0.045303434346603784,4714.5356159210205,1.2479519488252199e-06,4710.640371322632,28,1716296204.765964,1.6658837221303576e-06,28,4.1793177330513765e-07
0.04526925302868982,4890.402733325958,1.0613273404119326e-06,4886.507346153259,29,1716296380.6330814,1.3630623874087584e-06,29,3.017350469968256e-07
0.04527206585275701,5066.219986915588,8.555413396640091e-07,5062.324489116669,30,1716296556.450335,1.1261876415730784e-06,30,2.706463019090693e-07
0.0452491950358775,5242.097426891327,7.481579437226231e-07,5238.202058553696,31,1716296732.327775,9.555826448524937e-07,31,2.0742470112987055e-07
0.04525326830591756,5417.94721865654,6.13420155471941e-07,5414.051748752594,32,1716296908.1775668,8.124578006301441e-07,32,1.9903764515820306e-07
0.04524172908208248,5593.780882835388,5.087492207171856e-07,5589.885469198227,33,1716297084.011231,6.308216511384948e-07,33,1.2207243042130917e-07
0.04524213931719932,5769.576041221619,4.205199276158997e-07,5765.680571079254,34,1716297259.8063893,5.374151820870135e-07,34,1.1689525447111386e-07
0.04522814757584612,5945.380053758621,3.5658862869889953e-07,5941.484603404999,35,1716297435.6104019,4.313959406405655e-07,35,7.480731194166594e-08
0.04522570722809133,6121.178673505783,2.8668431954016765e-07,6117.283182621002,36,1716297611.4090216,3.6571430365021145e-07,36,7.902998411004382e-08
0.04522187142967923,6297.035519599915,2.2689746861145059e-07,6293.140000343323,37,1716297787.2658677,2.667510927041531e-07,37,3.9853624092702515e-08
0.04521745563746689,6472.8694887161255,1.9262776406758964e-07,6468.973960876465,38,1716297963.0998368,2.3440126748590532e-07,38,4.177350341831568e-08
0.04521347757594334,6648.646533966064,1.6992037302364292e-07,6644.750925779343,39,1716298138.876882,2.0377488293152954e-07,39,3.3854509907886627e-08
0.04520819752635271,6824.373221874237,1.4804335000743697e-07,6820.477636814117,40,1716298314.60357,1.8929075099937756e-07,40,4.1247400991940585e-08
0.045201955050304214,7175.785918235779,1.170047842421441e-07,7171.8902814388275,41,1716298666.0162663,1.3962368392648265e-07,42,2.261889968433853e-08
0.04520950914697316,7878.330296278,4.3574013419136325e-08,7874.434518814087,42,1716299368.5606444,4.9328082778685365e-08,46,5.754069359549043e-09
0.045217922035720184,8580.93181681633,2.7694891600067388e-08,8577.036033153534,43,1716300071.162165,3.091418835937591e-08,50,3.21929675930852e-09
