step,time,_runtime,loss,_step,l2_error,loss_boundary,loss_interior,_timestamp
34,160.96165370941162,166.1878056526184,0.019786141301343197,34,0.19505971465164695,0.016912814084847863,0.0028733272164953336,1716301409.3076305
35,165.49753212928772,170.7236762046814,0.01677971545120532,35,0.19221107144323069,0.015422398473841255,0.001357316977364067,1716301413.843501
36,170.03157687187195,175.2577040195465,0.015000483380697196,36,0.1910294099201124,0.014919910628156946,8.057275254025021e-05,1716301418.377529
37,174.5665409564972,179.7926948070526,0.014844739315743014,37,0.18018820459494328,0.014711282009233682,0.00013345730650933196,1716301422.9125197
38,179.10105752944946,184.32724595069885,0.013881298098481034,38,0.18009024378491004,0.012832992791209592,0.001048305307271442,1716301427.4470708
39,183.63512539863586,188.86171650886536,0.013005928814982174,39,0.17990030277757074,0.012820964181080741,0.0001849646339014317,1716301431.9815414
40,188.17175602912903,193.39824271202087,0.012947974405039486,40,0.17363724187189997,0.012790032764405735,0.00015794164063375084,1716301436.5180676
42,197.0558385848999,202.2820327281952,0.01173288665925924,41,0.1697080150715016,0.011461414676336127,0.0002714719829231134,1716301445.4018576
46,214.63926482200623,219.86546897888184,0.010111760947487227,42,0.162021936051779,0.01004403506301212,6.77258844751073e-05,1716301462.9852939
50,232.26313757896423,237.48987817764282,0.06739432919894418,43,0.15545541313807365,0.011020804586677929,0.05637352461226625,1716301480.609703
55,254.2590959072113,259.4854578971863,0.012522288115543605,44,0.14631105313779338,0.010537573094979134,0.0019847150205644713,1716301502.6052828
61,280.617244720459,285.84391832351685,0.009156488040713697,45,0.13754469133124353,0.00901667587634693,0.00013981216436676587,1716301528.9637432
67,306.9664680957794,312.1928765773773,0.008070190217944629,46,0.1299249012756514,0.008012852102678637,5.733811526599095e-05,1716301555.3127015
73,333.3162226676941,338.5428948402405,0.007043706849122343,47,0.12238127290384951,0.006965625741333019,7.808110778932434e-05,1716301581.6627197
