_step,_timestamp,_runtime,l2_error,loss_boundary,loss,time,loss_interior,step
17,1715589258.1570225,7.997432470321655,1.4986742325390683,1.2444836658489076,127.71978890356064,2.615267515182495,126.47530523771174,17
18,1715589258.1788871,8.019297122955322,1.4949140072390763,1.2926078972071218,121.64811854547908,2.63761830329895,120.35551064827196,18
19,1715589258.1988783,8.03928828239441,1.4914134401948342,1.266306836867632,114.83822095784436,2.6570212841033936,113.57191412097673,19
20,1715589258.2163613,8.056771278381348,1.4874738242948509,1.2777972920224752,117.01043018260917,2.6745717525482178,115.7326328905867,20
21,1715589258.2344182,8.074828147888184,1.483731840029053,1.1133520886890602,125.37196830586393,2.6925854682922363,124.25861621717488,21
22,1715589258.2519352,8.092345237731934,1.4797666571355308,1.304452011150572,115.12230380397472,2.7101848125457764,113.81785179282414,22
23,1715589258.269574,8.109983921051025,1.475502731105412,1.23884212566552,123.26163117440247,2.727818727493286,122.02278904873695,23
24,1715589258.2872436,8.1276535987854,1.4708143678488188,1.1396070546435595,118.6525385203819,2.745469808578491,117.51293146573833,24
25,1715589258.3047442,8.145154237747192,1.4661734377554347,1.180713780321356,127.61156324035001,2.7629823684692383,126.43084946002865,25
26,1715589258.322206,8.16261601448059,1.461287505038269,1.3440383528753619,123.19216163442238,2.780480146408081,121.84812328154702,26
27,1715589258.3402395,8.180649518966675,1.455916306036575,1.3463318049509303,124.88868899850385,2.7984561920166016,123.54235719355292,27
28,1715589258.3579788,8.198388814926147,1.450527890225676,1.1611580374441464,116.87387246795677,2.816169500350952,115.71271443051262,28
29,1715589258.3755794,8.215989351272583,1.4450598130023087,1.330274710357766,122.83308617915216,2.8338522911071777,121.50281146879439,29
30,1715589258.393385,8.233794927597046,1.4394534943974269,1.0907073377429806,119.2266834031871,2.851577043533325,118.13597606544411,30
31,1715589258.4107778,8.251187801361084,1.4337567571333505,1.2486771051824557,120.50090384150903,2.8689942359924316,119.25222673632658,31
32,1715589258.4282436,8.268653631210327,1.4277136835187993,1.1440715009342084,117.62620238509056,2.8865272998809814,116.48213088415636,32
33,1715589258.4459348,8.286344766616821,1.4217088621564673,1.1711094060755736,117.10729460950158,2.9041450023651123,115.936185203426,33
34,1715589258.4639997,8.304409742355347,1.4154143869479583,1.1577339857413553,118.67537664038075,2.9221999645233154,117.51764265463939,34
35,1715589258.4819784,8.322388410568237,1.4091391631975005,1.0528379186568062,122.13034722428444,2.9402143955230713,121.07750930562763,35
36,1715589258.4995391,8.339949131011963,1.4026952237375985,1.118845677978532,122.38510732388858,2.9577319622039795,121.26626164591005,36
37,1715589258.5170152,8.357425212860107,1.3958801576340052,1.135964191752099,120.95870933303962,2.9752705097198486,119.82274514128753,37
38,1715589258.5344746,8.374884605407715,1.388871778282411,1.0797366770933166,119.80081194892787,2.9927008152008057,118.72107527183455,38
39,1715589258.5522206,8.392630577087402,1.3818724502634454,1.0625398312248084,116.43755138680902,3.0104434490203857,115.37501155558421,39
40,1715589258.5699477,8.41035771369934,1.3752909213549087,1.04192526780988,118.91193723661277,3.0281624794006348,117.87001196880288,40
41,1715589258.6018443,8.442254304885864,1.3613404341561706,1.1455501661279657,118.320193814381,3.0600099563598633,117.17464364825304,42
42,1715589258.661276,8.501686096191406,1.3336461917297608,1.0862650050950196,111.45345371256494,3.119394302368164,110.36718870746992,46
43,1715589258.730835,8.571244955062866,1.3058527166089389,0.9193352491269701,113.97056440468707,3.188899517059326,113.0512291555601,50
44,1715589258.8042352,8.64464521408081,1.2675725754151357,0.8963834158870732,117.19428152090607,3.2623400688171387,116.297898105019,55
45,1715589258.8945668,8.734976768493652,1.2173629933998587,0.7280315339202449,112.12682189130635,3.3526523113250732,111.3987903573861,61
46,1715589258.98194,8.822350025177002,1.1606788170217097,0.752783323366772,117.86324746471011,3.439973831176758,117.11046414134334,67
47,1715589259.0689008,8.909310817718506,1.0975142433161693,0.5873168302796273,115.06655455961939,3.5269408226013184,114.47923772933976,73
48,1715589259.1838992,9.024309158325195,1.0060677184562374,0.5150850916996877,108.76458040533865,3.6419754028320312,108.24949531363896,81
49,1715589259.299318,9.13972806930542,0.8997146775234043,0.3858302036882831,106.8822918375809,3.757387399673462,106.49646163389261,89
