l2_error,_timestamp,_step,step,time,_runtime,loss_boundary,loss_interior,loss
0.14250227039656846,1715589308.181306,42,46,3.450582265853882,7.236456871032715,0.019331440785633584,0.07655815503121526,0.09588959581684883
0.1367842483456403,1715589308.3019893,43,50,3.5712008476257324,7.357140302658081,0.017457309762720648,0.06708560281750038,0.08454291258022104
0.1258814626037302,1715589308.457873,44,55,3.727156162261963,7.513024091720581,0.016177466243991974,0.04618969300895898,0.06236715925295096
0.11509536227438281,1715589308.6216488,45,61,3.8909010887145996,7.676799774169922,0.013071046413947152,0.03295556208963086,0.04602660850357801
0.10557322157419594,1715589308.7858224,46,67,4.055049657821655,7.840973377227783,0.011540232158446767,0.02537778971737955,0.036918021875826317
0.103880953455139,1715589308.9501486,47,73,4.2193989753723145,8.00529956817627,0.010322131708350878,0.01991794863409536,0.03024008034244624
0.08701626403321203,1715589309.1789606,48,81,4.4481353759765625,8.234111547470093,0.007839467673085848,0.014249309104760187,0.022088776777846035
0.07733055393655458,1715589309.4073298,49,89,4.67660117149353,8.462480783462524,0.006061657071344073,0.010526595971242588,0.01658825304258666
0.07087152461724663,1715589309.6752405,50,98,4.944500684738159,8.730391502380371,0.0046799905569766915,0.0077801279572131754,0.012460118514189867
0.06277442369619234,1715589309.9821095,51,107,5.251291036605835,9.03726053237915,0.004124704671304055,0.005954037711355006,0.01007874238265906
0.052888013248132935,1715589310.3173585,52,118,5.586619853973389,9.372509479522705,0.002768459686949535,0.004440630060517335,0.00720908974746687
0.04536920255622253,1715589310.6800864,53,130,5.949352741241455,9.73523736000061,0.0019299455316560117,0.003390674349990777,0.005320619881646789
0.038014474199180526,1715589311.062509,54,143,6.331773042678833,10.11766004562378,0.001280565760679045,0.002465513706728133,0.003746079467407178
0.032694294633563124,1715589311.498683,55,157,6.767905235290527,10.553833961486816,0.000943838225635065,0.0019608610360307734,0.0029046992616658385
0.026449418477221355,1715589311.9712865,56,172,7.24053692817688,11.026437520980835,0.0005988647649970763,0.00155438420951829,0.0021532489745153664
0.018536453552260624,1715589312.4938073,57,190,7.763073444366455,11.54895830154419,0.0003076801180825347,0.0010420125196155872,0.001349692637698122
0.014306676494374216,1715589313.0485752,58,208,8.317840576171875,12.103726148605347,0.00021530102319405485,0.0007199266188887106,0.0009352276420827655
0.0111192548326135,1715589313.6925898,59,229,8.961787223815918,12.747740745544434,0.00011518896823978203,0.0003304699865262916,0.00044565895476607364
0.008607385807456347,1715589314.33072,60,252,9.599969625473022,13.385870933532715,7.079018516467573e-05,0.0002036570229102267,0.00027444720807490245
0.007272138242113911,1715589315.092805,61,277,10.361993312835693,14.147955894470215,5.3227538688432806e-05,0.00013988781448790678,0.00019311535317633957
0.006524016462961566,1715589315.9278793,62,305,11.19689154624939,14.983030319213867,4.449371156598916e-05,0.00010903589852871664,0.0001535296100947058
0.005750152837153927,1715589316.8342936,63,335,12.103466033935547,15.889444589614868,3.3484647845941e-05,7.947147640080934e-05,0.00011295612424675035
0.0055030286672923655,1715589317.8719883,64,369,13.141225814819336,16.927139282226562,2.7872680197360645e-05,5.7473857176195173e-05,8.534653737355582e-05
0.004725702423080994,1715589318.937287,65,406,14.20632553100586,17.992438077926636,2.6675995061601592e-05,4.987938409033911e-05,7.655537915194071e-05
0.0036661501553938393,1715589320.0226195,66,446,15.291859865188599,19.077770471572876,1.4675902086341553e-05,3.824324985419184e-05,5.2919151940533396e-05
0.002800263674848141,1715589321.3584597,67,491,16.627634286880493,20.413610696792603,7.749614248117119e-06,2.787693057693059e-05,3.562654482504771e-05
0.0023564131510291297,1715589322.7946584,68,540,18.063399076461792,21.849809408187866,5.007471687655749e-06,2.2809260470344168e-05,2.7816732157999917e-05
0.0019442415505258172,1715589324.3284786,69,594,19.59770107269287,23.38362956047058,3.148502426152648e-06,1.560785041689333e-05,1.8756352843045978e-05
0.0017943342665140167,1715589325.9961758,70,653,21.26544737815857,25.051326751708984,2.7334230925882892e-06,1.2714962347826864e-05,1.5448385440415152e-05
0.0015895483109275561,1715589327.8133357,71,718,23.08257532119751,26.868486642837524,2.4507711997778407e-06,8.887995066494758e-06,1.1338766266272599e-05
0.0013734762848124787,1715589329.873537,72,790,25.142761945724487,28.928688049316406,1.6833331643525557e-06,5.980462198621656e-06,7.663795362974212e-06
0.0013004407411523213,1715589332.0262742,73,869,27.295560836791992,31.081425189971924,1.5239142505125777e-06,4.561871148707101e-06,6.085785399219678e-06
0.001140825470753276,1715589334.5379574,74,956,29.807222604751587,33.59310841560364,1.2047818880549962e-06,3.896462565822314e-06,5.101244453877311e-06
0.0009747251047540413,1715589337.3593805,75,1052,32.62856388092041,36.41453146934509,9.708823684226395e-07,3.05838999784627e-06,4.02927236626891e-06
0.0008053656237761757,1715589340.4591727,76,1157,35.72814583778381,39.514323711395264,6.585240243091912e-07,2.3695934591088863e-06,3.0281174834180775e-06
0.0007385850919814505,1715589343.82598,77,1272,39.095221281051636,42.8811309337616,5.425426101465914e-07,1.7801857998040566e-06,2.3227284099506478e-06
0.0006640112649882943,1715589347.6056066,78,1400,42.874226570129395,46.660757541656494,4.99181239757383e-07,1.7873629052993927e-06,2.2865441450567758e-06
0.0006241185292748805,1715589351.7019832,79,1539,46.97115898132324,50.757134199142456,3.439979027172228e-07,1.1838848838500138e-06,1.5278827865672366e-06
0.0005452549744196096,1715589356.1451252,80,1693,51.414382219314575,55.200276136398315,2.640077104625582e-07,9.329433335891492e-07,1.1969510440517073e-06
0.00049787679738329,1715589361.0968685,81,1863,56.36584234237671,60.15201950073242,2.1840281987616295e-07,8.380968287750959e-07,1.0564996486512588e-06
0.00043781415169987767,1715589366.637187,82,2049,61.90642476081848,65.69233798980713,1.9633162238358678e-07,6.837482168217879e-07,8.800798392053747e-07
0.000385258808988266,1715589372.5583563,83,2254,67.827627658844,71.61350727081299,1.5423613062124046e-07,6.171666537880928e-07,7.714027844093333e-07
0.0003285163587220301,1715589378.943184,84,2479,74.21245908737183,77.99833488464355,1.138292457295071e-07,5.055766274976073e-07,6.194058732271144e-07
0.00031672755368089464,1715589386.2163036,85,2727,81.48547887802124,85.27145457267761,1.153973907098645e-07,4.1774845565677405e-07,5.331458463666385e-07
0.00027204584455077437,1715589393.9724991,86,3000,89.2410409450531,93.02765011787415,9.914508814524907e-08,4.6280362887280024e-07,5.619487170180493e-07
0.00024329535973264608,1715589402.552588,87,3299,97.82181859016418,101.6077389717102,5.50759410782831e-08,2.703617103172576e-07,3.254376513955407e-07
0.00021974968666633128,1715589411.9941933,88,3629,107.26342797279358,111.04934430122375,5.353285546228792e-08,2.2588576504299524e-07,2.794186205052832e-07
0.0002045341761967562,1715589422.3519135,89,3992,117.62080883979797,121.40706443786621,3.602273692760833e-08,1.7564594765181878e-07,2.116686845794271e-07
0.0001945875461061643,1715589433.9425404,90,4391,129.21176433563232,132.99769139289856,3.478961735498369e-08,1.5343805870197898e-07,1.8822767605696267e-07
0.00015511145154877042,1715589446.7608345,91,4831,142.0300965309143,145.81598544120789,2.4256493700241642e-08,1.4256330545771855e-07,1.668197991579602e-07
0.00013615121603207717,1715589460.7278004,92,5314,155.99670886993408,159.78295135498047,1.9563941497418563e-08,1.1029376698225901e-07,1.298577084796776e-07
0.00013138928837513162,1715589475.8477745,93,5845,171.117045879364,174.902925491333,1.758337684179661e-08,9.489935396959343e-08,1.1248273081139004e-07
0.00011501743689963251,1715589492.316766,94,6429,187.5859875679016,191.37191700935364,1.144362151811871e-08,8.60225629419033e-08,9.7466184460022e-08
9.67277036281423e-05,1715589510.4126942,95,7072,205.68164467811584,209.4678452014923,1.0000251413270206e-08,7.797697829302782e-08,8.797722970629802e-08
8.845447837973214e-05,1715589530.774305,96,7779,226.04350876808167,229.82945609092712,6.050778280328272e-09,6.187704803065638e-08,6.792782631098465e-08
7.971974479101936e-05,1715589553.141995,97,8557,248.4112184047699,252.1971459388733,6.319979696101066e-09,5.86034588399573e-08,6.492343853605837e-08
7.553347968602365e-05,1715589577.561693,98,9413,272.83069920539856,276.6168439388275,6.175221138091208e-09,5.727252690875737e-08,6.344774804684858e-08
