step,_runtime,l2_error,_timestamp,loss_boundary,time,_step,loss,loss_interior
22,9.357781171798706,1.4706060849390006,1715592860.350598,1.4025913995334387,5.5200183391571045,22,19.950113718862895,18.547522319329456
23,9.525949239730835,1.4640173303189088,1715592860.5187662,1.4535803661250337,5.68812108039856,23,19.1441732476759,17.690592881550867
24,9.69046139717102,1.4149476616223375,1715592860.6832783,1.4447549517480016,5.852641582489014,24,18.730749484277325,17.285994532529322
25,9.855265855789185,1.326440413440681,1715592860.8480828,1.3537571561343615,6.017304420471191,25,17.691508207105407,16.337751050971047
26,10.019753217697144,1.1982746867997873,1715592861.0125701,1.195885870548717,6.181928396224976,26,16.772157412586715,15.576271542037999
27,10.185210943222046,1.0540063781995912,1715592861.1780279,0.9926795288000543,6.347328186035156,27,15.877473931511137,14.884794402711082
28,10.350826263427734,0.9985936129596263,1715592861.3436432,0.7925938203313092,6.512874364852905,28,15.194122190137113,14.401528369805805
29,10.518236875534058,0.958050446999731,1715592861.5110538,0.7210185800593738,6.6801910400390625,29,14.83122430903281,14.110205728973437
30,10.68356704711914,1.0094929193037563,1715592861.676384,0.6584966839562295,6.845700025558472,30,14.09587109650964,13.43737441255341
31,10.848659753799438,1.1086327434895498,1715592861.8414767,0.6928383129793017,7.0107786655426025,31,13.659146057962715,12.966307744983414
32,11.017628908157349,1.203682024642237,1715592862.0104458,0.792369960237578,7.175554037094116,32,13.230096265890676,12.437726305653099
33,11.182053565979004,1.2696611027901017,1715592862.1748705,0.9107118364453407,7.344184875488281,33,12.748932533103712,11.838220696658372
34,11.346824169158936,1.3016979163926683,1715592862.339641,1.0121370192627948,7.508856296539307,34,12.344443043627063,11.332306024364268
35,11.511758089065552,1.3014821466088484,1715592862.504575,1.0766583457540677,7.673828601837158,35,11.96501760926902,10.888359263514953
36,11.676841974258423,1.2427799522179106,1715592862.669659,1.0944911021280388,7.838849782943726,36,11.325267743762984,10.230776641634945
37,11.841440439224243,1.1891079469603834,1715592862.8342574,1.0305769735988177,8.003548383712769,37,10.306708633806535,9.276131660207717
38,12.006882905960083,1.1208245740576428,1715592862.9996998,0.9569042555955867,8.168873310089111,38,9.99203388303506,9.035129627439472
39,12.173140525817871,1.0635064246163688,1715592863.1659575,0.8634365198681345,8.335130453109741,39,9.404281817468549,8.540845297600415
40,12.338041543960571,1.0457428715044674,1715592863.3308585,0.7840425416596728,8.500089406967163,40,8.820408644219471,8.036366102559798
42,12.667553186416626,1.1088599715119463,1715592863.66037,0.7532302467978429,8.829519510269165,41,8.264774088981266,7.511543842183423
46,13.314305305480957,1.2087194425316536,1715592864.3071222,0.981361571896244,9.476263761520386,42,5.915408797057698,4.934047225161454
50,13.967580318450928,1.0323268598878415,1715592864.9603972,0.7732771215551607,10.129430055618286,43,4.772691199445148,3.9994140778899876
55,14.774673461914062,1.118626524131393,1715592865.7674904,0.7895165478591292,10.93657112121582,44,3.7788506818730268,2.9893341340138977
61,15.744845390319824,1.04765940925297,1715592866.7376623,0.7803955209249419,11.906901597976685,45,2.7814529092976104,2.0010573883726686
67,16.71731472015381,0.9754031407076373,1715592867.7101316,0.6438527287835364,12.879270076751709,46,2.2867051191991807,1.6428523904156442
73,17.68885374069214,0.8322495518201148,1715592868.6816707,0.5466286188591228,13.85082745552063,47,1.6707140464489871,1.1240854275898642
81,18.986139059066772,0.5342174977562899,1715592869.978956,0.2486136111691355,15.1481614112854,48,0.9971682070945588,0.7485545959254233
89,20.280792474746704,0.398441290059888,1715592871.2736094,0.10090347291994194,16.44283962249756,49,0.5533904780585417,0.45248700513859974
