_runtime,l2_error,loss_boundary,loss_interior,_step,_timestamp,loss,step,time
8.327281475067139,0.4604747862325961,0.2148007482419005,1.2047632937189237,29,1715595806.5972114,1.4195640419608242,29,4.581380844116211
8.428697109222412,0.4453910892144117,0.19595012968970674,1.1167261608106647,30,1715595806.698627,1.3126762905003715,30,4.682864665985107
8.531455755233765,0.4341919099478792,0.18285778336621694,1.0118746105005914,31,1715595806.8013856,1.1947323938668082,31,4.785543203353882
8.636142253875732,0.41267659189646316,0.17283424822128712,0.9287787403125253,32,1715595806.9060721,1.1016129885338124,32,4.890124320983887
8.731004476547241,0.39840431916517627,0.1551507381704476,0.8070994391818928,33,1715595807.0009344,0.9622501773523404,33,4.985339403152466
8.832285165786743,0.385567694466994,0.1418467318797969,0.6703624097764864,34,1715595807.102215,0.8122091416562833,34,5.0863728523254395
8.935502529144287,0.37734105382816885,0.13255141044482596,0.5696617908695422,35,1715595807.2054324,0.7022132013143682,35,5.189582347869873
9.038912773132324,0.358780256648302,0.12683591902971814,0.5172001863583922,36,1715595807.3088427,0.6440361053881103,36,5.293141603469849
9.130978107452393,0.3490300551585017,0.11453403316404959,0.4343132958798569,37,1715595807.400908,0.5488473290439064,37,5.38531494140625
9.222877979278564,0.33203221246959613,0.10866475060408963,0.36338492664875455,38,1715595807.4928079,0.4720496772528442,38,5.477254152297974
9.31434440612793,0.3168976257368424,0.0980199397404243,0.2971811081713164,39,1715595807.5842743,0.3952010479117407,39,5.568706274032593
9.405762672424316,0.3028033304159025,0.09072697436718496,0.24970105679574903,40,1715595807.6756926,0.34042803116293396,40,5.660148859024048
9.584845781326294,0.2875352815082306,0.07877315583842283,0.18172236774239672,41,1715595807.8547757,0.26049552358081957,42,5.839236259460449
9.955254316329956,0.2802671327785781,0.07206174782846984,0.11470458936071601,42,1715595808.2251842,0.18676633718918584,46,6.209579229354858
10.31108808517456,0.26581583899623595,0.06555408543948218,0.07853318597704953,43,1715595808.581018,0.14408727141653171,50,6.565471887588501
10.754316806793213,0.23657462188428635,0.052440056567747854,0.05650542763917123,44,1715595809.0242467,0.10894548420691907,55,7.008693218231201
11.30658769607544,0.21768377411273074,0.042788776034768036,0.03876511821500381,45,1715595809.5765176,0.08155389424977184,61,7.560945272445679
11.857176065444946,0.19179680308382588,0.034284344635691556,0.028428166238155653,46,1715595810.127106,0.06271251087384722,67,8.111191987991333
12.423832178115845,0.17668901242008214,0.028010509704532723,0.021980815739059228,47,1715595810.693762,0.04999132544359195,73,8.678173303604126
13.209567308425903,0.15948059519459098,0.02248604888286853,0.016237107408923868,48,1715595811.4794972,0.0387231562917924,81,9.463959217071533
