step,time,_step,loss_boundary,loss,loss_interior,_runtime,l2_error,_timestamp
73,29.118715524673462,47,2.4563264600005668,12.443082403772534,9.986755943771968,33.73462128639221,1.9805932881305444,1715427317.8589842
81,32.0249707698822,48,2.456581696071294,11.193405191715097,8.736823495643803,36.64099359512329,1.9166072401645318,1715427320.7653565
89,35.04480242729187,49,2.482136207812527,10.182407371798554,7.700271163986028,39.66109490394592,1.9134962442606733,1715427323.7854578
98,38.39781141281128,50,2.468754032844931,9.626816668285178,7.158062635440247,43.013893365859985,1.9156367449653848,1715427327.1382563
107,41.570515394210815,51,2.441065233279365,9.260689826850735,6.819624593571369,46.18654155731201,1.9311388410869437,1715427330.3109045
118,45.61471509933472,52,2.212926745529831,8.368614586719875,6.155687841190043,50.230496406555176,1.8702173257469632,1715427334.3548594
130,49.853206634521484,53,2.2918686000722572,7.448182363671561,5.156313763599305,54.46918439865112,1.8126032169713304,1715427338.5935473
143,54.428157329559326,54,1.9583193062352124,6.759520868124201,4.8012015618889885,59.044158697128296,1.7585589626533893,1715427343.1685216
157,59.67281675338745,55,1.848286142570316,6.636074229316187,4.787788086745871,64.28883671760559,1.6996826390580269,1715427348.4131997
172,65.03157091140747,56,1.8892061000754548,5.953173423676535,4.063967323601081,69.64754843711853,1.6234495290129873,1715427353.7719114
190,71.77228856086731,57,1.5116976126086656,4.8409107260599065,3.3292131134512406,76.39164876937866,1.5145949676223298,1715427360.5160117
208,78.30528259277344,58,1.3997981155410217,4.264714048044616,2.864915932503594,82.9212646484375,1.434188634368012,1715427367.0456276
229,85.75293684005737,59,1.1538532873353347,3.3198748555957014,2.1660215682603665,90.36915254592896,1.340767359402007,1715427374.4935155
252,94.01384425163269,60,1.140800865755527,2.8754912376095505,1.7346903718540234,98.62976837158203,1.2447455555322045,1715427382.7541313
277,103.08787393569946,61,0.9011504763089224,2.5072104831296307,1.6060600068207083,107.70396971702576,1.1816336151657438,1715427391.8283327
305,113.49355459213257,62,0.8921678308821313,2.467914260914987,1.5757464300328556,118.10960459709167,1.127211477426973,1715427402.2339675
335,124.09315419197083,63,0.7544497236618903,2.2541037909684647,1.4996540673065746,128.7093117237091,1.0624107170678196,1715427412.8336747
369,136.83793473243713,64,0.6523679481055391,2.07584104753214,1.423473099426601,141.45395064353943,1.00557200487257,1715427425.5783136
406,150.23056769371033,65,0.607704573498445,1.8142077224477235,1.2065031489492786,154.84652042388916,0.9174612132633456,1715427438.9708834
446,164.66966199874878,66,0.44524230014710375,1.6495128088121342,1.2042705086650305,169.28632521629333,0.7936438542330717,1715427453.4106882
491,181.27579832077026,67,0.2837487336981313,1.441750881909128,1.1580021482109968,185.8918468952179,0.6653204415287095,1715427470.0162098
