step,time,_runtime,l2_error,_timestamp,loss,loss_interior,_step,loss_boundary
790,1012.4633822441101,1015.4234125614166,3.1842537093905854e-06,1743445022.2270765,5.969170697543542e-11,4.202132360244185e-11,72,1.767038337299357e-11
869,1113.4332592487335,1116.393357515335,2.9183534650085613e-06,1743445123.1970215,5.599103404117634e-11,4.378857124952825e-11,73,1.2202462791648094e-11
956,1224.6548755168915,1227.6150288581848,3.003096051903759e-06,1743445234.4186928,6.071393089036392e-11,4.737316947525375e-11,74,1.3340761415110172e-11
1052,1347.4453155994415,1350.4054763317108,3.051759966072492e-06,1743445357.2091403,5.466396396787346e-11,4.166598544066531e-11,75,1.2997978527208148e-11
1157,1481.6731102466583,1484.6333050727844,3.419089093346706e-06,1743445491.436969,4.964951765690876e-11,3.7171354520311086e-11,76,1.247816313659767e-11
1272,1628.6575305461884,1631.6176528930664,2.2708267670347073e-06,1743445638.4213169,4.051762068747986e-11,3.1342402277963145e-11,77,9.175218409516713e-12
1400,1792.3241212368011,1795.284194469452,2.7821520514298206e-06,1743445802.0878584,3.8994352262602274e-11,2.689636922592234e-11,78,1.2097983036679931e-11
1539,1970.006567955017,1972.96670794487,2.7262820914174903e-06,1743445979.770372,4.49709445095081e-11,3.399341435942745e-11,79,1.097753015008065e-11
1693,2166.899801969528,2169.8599269390106,2.6221599030839177e-06,1743446176.663591,3.3266799016849765e-11,2.5195993073842356e-11,80,8.07080594300741e-12
1863,2384.2431049346924,2387.2050580978394,2.55749846457023e-06,1743446394.008722,3.5219184098210414e-11,2.5910438870359704e-11,81,9.308745227850712e-12
2049,2622.082618713379,2625.0427169799805,2.0568450137603036e-06,1743446631.846381,2.6585675680282784e-11,2.027687575898661e-11,82,6.308799921296172e-12
2254,2884.097806930542,2887.057882785797,2.0489901994913582e-06,1743446893.8615468,3.2151911757652416e-11,2.481828136804252e-11,83,7.333630389609893e-12
2479,3171.788297891617,3174.7483916282654,2.167028317531e-06,1743447181.5520556,3.20074256144319e-11,2.583443821440841e-11,84,6.172987400023488e-12
2727,3488.812804222107,3491.772868156433,1.7727080762932628e-06,1743447498.5765321,2.6591604631922423e-11,1.911584799043984e-11,85,7.475756641482584e-12
3000,3837.8188302516937,3840.778964281082,1.8718005823903374e-06,1743447847.5826283,2.1748065842453298e-11,1.6039284914321845e-11,86,5.7087809281314525e-12
3299,4220.072483301163,4223.032554626465,1.974117885580046e-06,1743448229.8362186,2.0969962689377635e-11,1.574921776534686e-11,87,5.2207449240307756e-12
3629,4641.9501032829285,4644.910140037537,1.7244724116293624e-06,1743448651.713804,1.9864556172664075e-11,1.5567854624696476e-11,88,4.2967015479676e-12
3992,5105.900570392609,5108.860830783844,1.624746596754096e-06,1743449115.6644948,1.682820401000932e-11,1.2818121145458769e-11,89,4.0100828645505515e-12
4391,5616.20189499855,5619.1619873046875,1.6131292302147883e-06,1743449625.9656513,1.9487288864375167e-11,1.5593078286968265e-11,90,3.894210577406902e-12
4831,6178.685866355896,6181.645948886871,1.3631341276553798e-06,1743450188.4496129,1.2670342705804884e-11,9.841869505730638e-12,91,2.828473200074246e-12
5314,6796.196194887161,6799.156247377396,1.40422716013826e-06,1743450805.9599113,1.394186764214198e-11,1.0725606828974893e-11,92,3.216260813167086e-12
5474,7000.705122470856,7003.6652772426605,1.3221157689022335e-06,1743451010.4689412,1.164522818540744e-11,9.271190084880597e-12,93,2.3740381005268437e-12
