_step,_runtime,step,_timestamp,loss_interior,time,loss_boundary,loss,l2_error
21,57.42248773574829,21,1743227517.0283837,0.0013088159451622244,54.621987104415894,0.00012151766194609216,0.0014303336071083165,0.008453631187834187
22,59.19446349143982,22,1743227518.8003595,0.0008546338787660062,56.39379644393921,7.2451202213223e-05,0.0009270850809792292,0.008314090100423974
23,66.92852449417114,23,1743227526.5344205,0.0008483709228210267,64.12802243232727,6.39838841999587e-05,0.0009123548070209854,0.008761017027938668
24,69.60493397712708,24,1743227529.21083,0.0006990279288964573,66.80441784858704,7.068987019889824e-05,0.0007697177990953556,0.00835343104117953
25,77.06506991386414,25,1743227536.670966,0.0005992926536278283,74.26436614990234,6.767397949841228e-05,0.0006669666331262405,0.00797328492748193
26,79.64465928077698,26,1743227539.2505553,0.00054976657773968,76.84417343139648,5.504811096868785e-05,0.0006048146887083679,0.008296689280474086
27,81.59564876556396,27,1743227541.2015448,0.0005208729267677125,78.79502964019775,5.479881497372849e-05,0.000575671741741441,0.008151839832179816
28,83.38020300865173,28,1743227542.986099,0.0005021963217654895,80.57970952987671,5.65224959242599e-05,0.0005587188176897494,0.007998645751315453
29,90.82702374458313,29,1743227550.4329197,0.00048555587699374594,88.02602219581604,5.978005785610223e-05,0.0005453359348498481,0.006050864313445318
30,92.26738905906677,30,1743227551.873285,0.0005269311725924172,89.46688675880432,3.278369908635533e-05,0.0005597148716787725,0.004866343234943036
31,98.54313635826111,31,1743227558.1490324,0.0004915688653114913,95.74268412590027,2.2516120733374994e-05,0.0005140849860448662,0.004139000388670009
32,100.26100134849548,32,1743227559.8668973,0.0004319981931424004,97.46051335334778,2.185773597930086e-05,0.00045385592912170126,0.003800883002007783
33,104.73709154129028,33,1743227564.3429875,0.0004347657717918707,101.93634390830994,1.664815055712345e-05,0.0004514139223489941,0.004985594446768438
34,106.40658617019653,34,1743227566.0124822,0.00039340092379504347,103.60614895820618,2.3723967788018e-05,0.00041712489158306145,0.006522171089649108
35,108.21570324897766,35,1743227567.8215992,0.00037689103071190385,105.41525673866272,2.999747993477997e-05,0.00040688851064668384,0.006409260638604527
36,114.4951605796814,36,1743227574.1010566,0.0003297352304137212,111.69446325302124,3.2479722452352315e-05,0.0003622149528660735,0.009316811550939486
37,116.28790497779846,37,1743227575.893801,0.0002707730137399576,113.48738622665405,5.066822639275402e-05,0.0003214412401327116,0.010244644178647335
38,122.62528657913208,38,1743227582.2311826,0.00023618533241742066,119.82450723648071,5.7754034031679875e-05,0.00029393936644910056,0.011223924873160478
39,128.6259365081787,39,1743227588.2318325,0.00018205716427448278,125.8253333568573,6.950493767685976e-05,0.00025156210195134254,0.009981434674956975
40,130.7551052570343,40,1743227590.3610013,0.00014899853497886374,127.95463156700134,4.771174321530779e-05,0.00019671027819417153,0.00946582442876588
41,139.8604645729065,42,1743227599.4663606,9.889131309430016e-05,137.05967593193054,3.5477866673666785e-05,0.00013436917976796694,0.007223329833248063
42,156.39387392997742,46,1743227615.99977,6.333680576757519e-05,153.59315395355225,2.1376534502856912e-05,8.47133402704321e-05,0.005328070147724885
43,179.73298335075378,50,1743227639.3388793,3.950928374435362e-05,176.93197512626648,1.1694757893564722e-05,5.120404163791834e-05,0.0039509024145305514
44,213.20094323158264,55,1743227672.8068392,2.1419017057429463e-05,210.40014457702637,5.447919549945026e-06,2.686693660737449e-05,0.003211837560186135
45,243.00115942955017,61,1743227702.6070554,1.1974146413739491e-05,240.20046877861023,6.021276557712426e-06,1.7995422971451917e-05,0.002762008660264823
