time,_timestamp,loss_boundary,step,loss_interior,loss,_step,_runtime,l2_error
2.693004608154297,1715403622.4364507,0.4923080511508986,50,57.99651280551014,58.48882085666104,43,9.588430643081665,1.3265851428221787
2.7993674278259277,1715403622.54281,0.46534612476985227,55,38.66907255946723,39.13441868423708,44,9.69478988647461,1.0553910906171333
2.9261162281036377,1715403622.6694846,1.6587200459461011,61,22.752848636282685,24.411568682228786,45,9.821464538574219,1.6847850637207784
3.053252935409546,1715403622.79675,1.6497220572055291,67,16.83983851688716,18.48956057409269,46,9.948729991912842,1.2838567999387342
3.198385000228882,1715403622.9418857,1.4276182198557286,73,9.726289079386094,11.153907299241823,47,10.093865633010864,1.9609213707551076
3.359271287918091,1715403623.102407,1.9042195417358303,81,7.348918713793137,9.253138255528967,48,10.254386901855469,1.6640692683408291
3.5266330242156982,1715403623.269789,1.765055647515912,89,5.014857561195156,6.7799132087110685,49,10.4217689037323,1.7684342412967764
3.715250015258789,1715403623.4582133,1.7446216615131387,98,3.460135881148823,5.2047575426619614,50,10.610193252563477,1.6785644398030748
3.909121513366699,1715403623.652255,1.5279188982710101,107,2.6247106408934955,4.152629539164506,51,10.804234981536865,1.558924250017056
4.138514280319214,1715403623.8818269,1.351773803426353,118,2.124722837725884,3.476496641152237,52,11.033806800842285,1.5076639598008517
4.3872270584106445,1715403624.1306973,1.1138413671281606,130,1.8801408111254503,2.993982178253611,53,11.282677173614502,1.2697573483828697
4.6643571853637695,1715403624.4076116,0.7045261994059531,143,1.6173860482351987,2.321912247641152,54,11.55959153175354,1.0363773492011852
4.9558281898498535,1715403624.6991048,0.43059066262343176,157,1.67148816505348,2.102078827676912,55,11.85108470916748,0.83996128150119
5.266074895858765,1715403625.0092425,0.20579591558459287,172,1.2897530119016904,1.4955489274862832,56,12.161222457885742,0.5656687478117178
5.636197090148926,1715403625.3792992,0.0818705665748972,190,1.2160584623203963,1.2979290288952934,57,12.53127908706665,0.4070300059976097
6.006476879119873,1715403625.74962,0.04716194318772857,208,0.827977389943721,0.8751393331314496,58,12.901599884033203,0.2704849012064175
6.434148073196411,1715403626.177435,0.032278106119379896,229,0.6169060658094474,0.6491841719288273,59,13.32941484451294,0.18609295652178037
6.9134299755096436,1715403626.6566105,0.020604239582597085,252,0.4750433434445294,0.4956475830271265,60,13.808590412139893,0.15414797555465146
7.424195289611816,1715403627.1674578,0.016030249164020745,277,0.3603164535189999,0.3763467026830206,61,14.319437742233276,0.1298356099727162
7.999118328094482,1715403627.7423096,0.01314534102708117,305,0.1769107469907091,0.19005608801779028,62,14.894289493560791,0.09496180657674355
8.619665145874023,1715403628.363225,0.008810103085938725,335,0.12244642149291686,0.1312565245788556,63,15.515204906463623,0.10162727236941503
9.309635877609253,1715403629.0534656,0.008221211939690672,369,0.09957153486530652,0.1077927468049972,64,16.205445528030396,0.08988630651837057
10.057051181793213,1715403629.800588,0.005838025732709738,406,0.07126134847595625,0.07709937420866599,65,16.95256781578064,0.07404193479795299
10.87068486213684,1715403630.6139266,0.005404709346851123,446,0.060631371992067674,0.06603608133891879,66,17.76590657234192,0.08019331595107848
11.780357122421265,1715403631.5232558,0.006523396721585627,491,0.06239025626604314,0.06891365298762876,67,18.675235748291016,0.08554436633423668
12.784914493560791,1715403632.5279477,0.004300544739771427,540,0.04215742043742126,0.04645796517719269,68,19.679927587509155,0.07719641753937455
13.882838249206543,1715403633.6261702,0.004118024038769835,594,0.038519803452690855,0.04263782749146069,69,20.77815008163452,0.06730633332075495
15.09110140800476,1715403634.8342078,0.003506737818321849,653,0.0338646534695261,0.03737139128784795,70,21.98618769645691,0.05887275245013948
16.415924549102783,1715403636.1593533,0.0030011203211984016,718,0.03200941617915366,0.03501053650035207,71,23.311333179473877,0.055942567183208974
17.90410828590393,1715403637.6476343,0.00434232550750607,790,0.0354206815034596,0.039763007010965676,72,24.799614191055298,0.07417520278868046
19.5377938747406,1715403639.2818613,0.0029352776056033986,869,0.023374026209917725,0.026309303815521122,73,26.433841228485107,0.05650477546846753
21.331637620925903,1715403641.0755656,0.0028789008473420648,956,0.025274713378596995,0.02815361422593906,74,28.227545499801636,0.07399033557615328
23.291727781295776,1715403643.035514,0.002525221498056395,1052,0.019567787726361106,0.022093009224417502,75,30.187494039535522,0.04668551955994005
25.45783519744873,1715403645.2013178,0.0034280553699753877,1157,0.023670485133937394,0.02709854050391278,76,32.3532977104187,0.05910653333859629
27.834340572357178,1715403647.5782151,0.002256181812634785,1272,0.016233856072344177,0.018490037884978962,77,34.73019504547119,0.04613288162330418
30.452590942382812,1715403650.195922,0.0019017489420036383,1400,0.014250555443839592,0.01615230438584323,78,37.347901821136475,0.050134972751474126
33.31267023086548,1715403653.0564787,0.0017003632672528942,1539,0.013511325380836936,0.01521168864808983,79,40.20845866203308,0.045141492614575764
36.47921538352966,1715403656.2227151,0.0020586079029027127,1693,0.014434610802586371,0.016493218705489084,80,43.37469506263733,0.05385364971393945
39.999589920043945,1715403659.743058,0.0027648878400509187,1863,0.014780907601928864,0.017545795441979782,81,46.89503788948059,0.06450734526779539
43.77308177947998,1715403663.5161011,0.0015003311215311564,2049,0.011206523403999307,0.012706854525530463,82,50.66808104515076,0.04094443611532225
47.96284484863281,1715403667.7061875,0.002819230226946987,2254,0.016305623096225044,0.01912485332317203,83,54.85816740989685,0.06981461591399146
52.57867407798767,1715403672.322738,0.0011630670788305686,2479,0.009904083429647792,0.011067150508478361,84,59.47471785545349,0.04276897457044057
57.71309685707092,1715403677.4563777,0.0008471081100561193,2727,0.0070985371707651375,0.007945645280821256,85,64.60835766792297,0.03192964614021267
63.255812644958496,1715403682.999826,0.0008281562718827001,3000,0.005942123126777034,0.006770279398659734,86,70.15180587768555,0.027212031312964423
69.3535406589508,1715403689.0969117,0.0006436486655060042,3299,0.005439769087487595,0.006083417752993599,87,76.24889159202576,0.04567236773968139
76.07302951812744,1715403695.8169718,0.0005899200547829939,3629,0.005320949136330877,0.005910869191113871,88,82.96895170211792,0.02624652243675985
