_step,loss,time,loss_boundary,step,loss_interior,_runtime,l2_error,_timestamp
35,0.014288210726610446,4.423389196395874,0.011469327386814505,35,0.002818883339795941,8.466967344284058,0.09364872389927888,1715373444.5893342
36,0.012339985035859445,4.497018098831177,0.010345022736742345,36,0.0019949622991171003,8.540610551834106,0.08144814892051536,1715373444.6629775
37,0.01195840646569127,4.572825908660889,0.007918406636365788,37,0.004039999829325482,8.616429328918457,0.08016383446973964,1715373444.7387962
38,0.009517133573190907,4.645306348800659,0.007765832446131754,38,0.0017513011270591523,8.688870429992676,0.07755248836194215,1715373444.8112373
39,0.008752161603944543,4.723641395568848,0.00743887740086004,39,0.001313284203084503,8.767406225204468,0.07161046677514245,1715373444.8897731
40,0.00830787020651888,4.797453165054321,0.0067339822665886525,40,0.0015738879399302286,8.841084957122803,0.059437213965319396,1715373444.9634519
41,0.006476842705966621,4.9397218227386475,0.005266405665254656,42,0.001210437040711965,8.98331356048584,0.05667109453641632,1715373445.1056805
42,0.0051204497136978135,5.229158878326416,0.003268347018327954,46,0.0018521026953698594,9.273013830184937,0.04949592322080258,1715373445.3953807
43,0.0037270518867747126,5.530909776687622,0.0023514285382905094,50,0.0013756233484842032,9.574526309967041,0.03686949355231401,1715373445.6968932
44,0.002138141188316704,5.894619941711426,0.0018542891750622935,55,0.0002838520132544103,9.938229322433472,0.03385011646789947,1715373446.0605962
45,0.001261874824614523,6.324021339416504,0.0010462283913024463,61,0.00021564643331207676,10.367611408233643,0.022636522596601746,1715373446.4899783
46,0.0006607184545840111,6.7552649974823,0.0005431641342064105,67,0.00011755432037760064,10.79885482788086,0.01590268430928268,1715373446.9212217
47,0.00036768748111916274,7.186375141143799,0.00027604810727731554,73,9.163937384184719e-05,11.230004787445068,0.013550677008796549,1715373447.3523717
