loss_interior,time,l2_error,step,_runtime,loss_boundary,_timestamp,loss,_step
0.08184854758168567,15.982804775238037,0.13500600873366939,50,19.712091207504272,0.023218638506043183,1715370022.4217303,0.10506718608772884,43
0.06340897991451458,17.407602310180664,0.13601612126433527,55,21.136988878250122,0.020788864871681183,1715370023.846628,0.08419784478619577,44
0.05983693803600466,19.082858085632324,0.1334946009163487,61,22.81210494041443,0.02035078874190425,1715370025.521744,0.0801877267779089,45
0.047999176820263174,20.763507843017578,0.1273707254252595,67,24.492902755737305,0.018556941365221076,1715370027.2025418,0.06655611818548425,46
0.0429890644269986,22.39570116996765,0.12269571487296285,73,26.124945640563965,0.01759633765865254,1715370028.8345847,0.060585402085651135,47
0.03669210098394909,24.566904544830322,0.11644454272714211,81,28.295988082885742,0.01616208696737601,1715370031.0056272,0.0528541879513251,48
0.03142501821525819,26.733967781066895,0.10987009423889664,89,30.46302628517151,0.014859273849542389,1715370033.1726654,0.04628429206480058,49
0.02799135533181433,29.181583166122437,0.10294156101960814,98,32.911126375198364,0.01374530629689029,1715370035.6207654,0.04173666162870462,50
0.02552796668504712,31.62283968925476,0.09952465198868242,107,35.35196137428284,0.012963960495037065,1715370038.0616004,0.038491927180084186,51
0.02207030507520244,34.62869071960449,0.09271329213316212,118,38.35805678367615,0.011914257005602497,1715370041.0676959,0.033984562080804935,52
0.018898259826444705,37.95720887184143,0.08662589530123486,130,41.68638229370117,0.010828749870494087,1715370044.3960214,0.02972700969693879,53
0.01631290156122317,41.557013511657715,0.0820676301688749,143,45.286633014678955,0.009905168280274892,1715370047.996272,0.026218069841498062,54
0.01441589459293452,45.452439069747925,0.07706093951448642,157,49.18150043487549,0.009216053896193743,1715370051.8911395,0.023631948489128262,55
0.01316057003267515,49.63430690765381,0.07197524681029199,172,53.36394453048706,0.00849537980765428,1715370056.0735836,0.021655949840329432,56
0.010875194731251002,54.68820118904114,0.06516655765576776,190,58.41736602783203,0.007540778430429938,1715370061.127005,0.01841597316168094,57
0.009124548935117896,59.67979288101196,0.06004464197890049,208,63.40886044502258,0.006827993767086386,1715370066.1184995,0.01595254270220428,58
0.00759957976079143,65.51773166656494,0.05534983069572358,229,69.24714374542236,0.0061613785374884785,1715370071.9567828,0.013760958298279908,59
0.006343986241824842,71.90410327911377,0.052438911047809754,252,75.63337445259094,0.005748466664589962,1715370078.3430135,0.012092452906414804,60
0.005064925776017298,78.82209539413452,0.050066824228386465,277,82.55132985115051,0.005317294036772648,1715370085.260969,0.010382219812789945,61
0.0039593057808380485,86.61642932891846,0.048445923824582106,305,90.3458878993988,0.004933744719563068,1715370093.055527,0.008893050500401116,62
0.003244587838346113,94.98899340629578,0.04699337426073108,335,98.71820282936096,0.004524905609469788,1715370101.427842,0.007769493447815901,63
0.0023398805586811516,104.3975305557251,0.04565219316611989,369,108.12698769569397,0.0041953598893359634,1715370110.8366268,0.006535240448017115,64
0.0019398425904903357,114.59381055831909,0.04484458094724691,406,118.32303047180176,0.00397905810697751,1715370121.0326695,0.005918900697467845,65
0.0014836243004837366,125.68321061134338,0.04361965650779081,446,129.41269183158875,0.0036960823216044113,1715370132.122331,0.0051797066220881476,66
0.0011936286911169974,138.12532925605774,0.042576584218107616,491,141.85450768470764,0.003481266793425085,1715370144.5641468,0.004674895484542082,67
0.0009774431674335826,151.65429949760437,0.041468680698468936,540,155.38376379013062,0.0032789692179254065,1715370158.0934029,0.004256412385358989,68
0.0008662688373488815,166.55619406700134,0.0408036982926665,594,170.2855110168457,0.003157846960651467,1715370172.99515,0.004024115798000348,69
0.000765283871180226,182.9450261592865,0.03990515828729397,653,186.67476224899292,0.0030191264386346356,1715370189.3844013,0.0037844103098148615,70
0.0006806496188392676,201.17926597595215,0.039038642057959115,718,204.90893626213074,0.002870882083634174,1715370207.6185753,0.0035515317024734415,71
0.0006226061070797363,220.94017672538757,0.03783925295808315,790,224.66966152191162,0.002690630610967348,1715370227.3793006,0.0033132367180470843,72
0.0005657728381453356,242.5708191394806,0.036794506131444076,869,246.30024933815002,0.0025427388978680808,1715370249.0098884,0.0031085117360134164,73
0.0005034960940869288,266.31122517585754,0.03564316213688885,956,270.0408079624176,0.0023765500725902535,1715370272.750447,0.0028800461666771823,74
0.00046296910233389085,292.5668296813965,0.03437819128122671,1052,296.29634165763855,0.002206008165694462,1715370299.0059807,0.0026689772680283524,75
0.00043549551726582863,321.48009514808655,0.03333685689311049,1157,325.20955896377563,0.0020728921592436263,1715370327.919198,0.002508387676509455,76
0.0003981714514475486,353.46138048171997,0.03182468953160783,1272,357.19135332107544,0.0018815153694004617,1715370359.9009924,0.00227968682084801,77
0.0003629725803423282,387.9593868255615,0.030149952690582224,1400,391.68885588645935,0.001684297530688293,1715370394.398495,0.0020472701110306212,78
0.00033131148483415724,425.88490104675293,0.02827075884051731,1539,429.6143169403076,0.0015027518575474687,1715370432.323956,0.001834063342381626,79
0.0003063220445089854,468.3771104812622,0.026771390083753028,1693,472.1065514087677,0.0013219535671003563,1715370474.8161905,0.0016282756116093417,80
0.00027266857487299816,515.7093930244446,0.024818678887279375,1863,519.4387562274933,0.001128705661978205,1715370522.1483953,0.001401374236851203,81
0.0002305559764823638,567.8307499885559,0.022096191478950845,2049,571.5602235794067,0.000894825151350917,1715370574.2698627,0.0011253811278332808,82
0.00019673402758790004,625.1813943386078,0.019187310767270923,2254,628.9107229709625,0.0006751582746130029,1715370631.620362,0.000871892302200903,83
0.00017282700327159157,687.5482084751129,0.01631657490480579,2479,691.2776651382446,0.00048412026909739535,1715370693.9873042,0.0006569472723689869,84
0.00015668115157946956,754.9453685283661,0.013032974718975956,2727,758.6748106479645,0.00031406836403563706,1715370761.3844497,0.0004707495156151066,85
0.0001495927567240965,829.4144523143768,0.010752420421679723,3000,833.1438579559326,0.00021649705087914666,1715370835.853497,0.0003660898076032432,86
0.0001386643063260829,910.7760579586029,0.009018783675309804,3299,914.505464553833,0.00015477657959971907,1715370917.2151036,0.00029344088592580197,87
0.00013213115934254205,1000.2382986545563,0.008103187552246814,3628,1003.9683933258057,0.00012618920161024867,1715371006.6780324,0.0002583203609527907,88
