loss,time,_runtime,loss_boundary,step,_step,_timestamp,loss_interior,l2_error
0.09566412003546312,7.212417364120483,10.971263408660889,0.036662056260934064,46,42,1715367024.1833825,0.05900206377452906,0.20361147453993256
0.071416654324927,7.670427560806274,11.42935299873352,0.031935808543715354,50,43,1715367024.641472,0.03948084578121165,0.19587509915304807
0.051512176757190456,8.236238718032837,11.995100975036621,0.026109522107072874,55,44,1715367025.20722,0.025402654650117578,0.18071488320558493
0.03922624573327938,8.922300338745117,12.681171655654907,0.020947882676652162,61,45,1715367025.8932908,0.01827836305662722,0.16140853147713374
0.030529499588263877,9.604894638061523,13.363755702972412,0.016888677299709155,67,46,1715367026.5758748,0.013640822288554722,0.13829007492979697
0.021839923352839515,10.291433095932007,14.050326824188232,0.011838502429964107,73,47,1715367027.262446,0.010001420922875408,0.10845090851814965
0.01680269451370861,11.200937509536743,14.959885597229004,0.010745686651388309,81,48,1715367028.1720047,0.006057007862320303,0.09795208334830467
0.011204657158507153,12.110089778900146,15.869171619415283,0.007689868147973376,89,49,1715367029.0812907,0.0035147890105337778,0.08253423432877484
0.007519467674745558,13.134138345718384,16.89307737350464,0.005640518853418064,98,50,1715367030.1051965,0.0018789488213274944,0.06642528576535485
0.005438564205280739,14.165879964828491,17.924753427505493,0.0045373184530703384,107,51,1715367031.1368725,0.0009012457522104008,0.05710702049903131
0.003181750829879927,15.431872367858887,19.190828800201416,0.002817918554333822,118,52,1715367032.402948,0.0003638322755461052,0.03820581801560465
0.0013677315299525157,16.796690225601196,20.55557417869568,0.0011794337879405912,130,53,1715367033.7676933,0.00018829774201192462,0.023478819906951196
0.0004281084484547195,18.278053522109985,22.03694438934326,0.00037126850128498743,143,54,1715367035.2490635,5.6839947169732094e-05,0.014015547239044926
0.00012854033107366806,19.868271589279175,23.627196550369263,9.267311529215893e-05,157,55,1715367036.8393157,3.5867215781509117e-05,0.007538306539251792
4.5853397062813384e-05,21.572269916534424,25.331257104873657,2.602913081992563e-05,172,56,1715367038.5433762,1.9824266242887758e-05,0.004201438303417096
2.0495983475312547e-05,23.651910305023193,27.410903692245483,9.360766229571806e-06,190,57,1715367040.6230228,1.1135217245740742e-05,0.0023452425962073756
1.0405406216760156e-05,25.736303329467773,29.495387077331543,4.735893799314697e-06,208,58,1715367042.7075062,5.669512417445458e-06,0.0016318725648592092
5.991577681325243e-06,28.185836791992188,31.94479751586914,2.6755407364773763e-06,229,59,1715367045.1569166,3.316036944847867e-06,0.001194107300326281
3.812660925886325e-06,30.82491970062256,34.58385396003723,1.6537176390353332e-06,252,60,1715367047.795973,2.158943286850992e-06,0.000927860158820013
